weather,city,scenario,time_slice,severity,weather_year,analysis_state_sha256,zone,zone_label,floor,area_m2,high_tail_pct,mean_p_tail,mean_warm_tail,mean_cold_tail,mean_expected_tsv
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,perimeter_bot_zn_1,Bottom P1,bottom,207.34,42.792145593869726,0.204324199818005,0.1837406944157578,0.02058350540224721,0.6046153943128559
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,perimeter_bot_zn_4,Bottom P4,bottom,131.25,5.064655172413793,0.08819783526352652,0.05834759077480084,0.02985024448872568,0.192917319625057
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,perimeter_mid_zn_3,Middle P3,middle,207.34,13.212404214559387,0.10769388540216943,0.0799728345737094,0.027721050828460013,0.2605560275756557
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,perimeter_mid_zn_2,Middle P2,middle,131.26,8.866139846743296,0.09714236725430338,0.06851992649442143,0.02862244075988194,0.22780124545216107
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,perimeter_mid_zn_1,Middle P1,middle,207.34,35.06944444444444,0.18682970032812074,0.16431420002448446,0.022515500303636277,0.5363951598192782
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,perimeter_mid_zn_4,Middle P4,middle,131.25,7.363505747126436,0.09366785847600935,0.06504268723776853,0.02862517123824082,0.21624171053739896
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,core_bottom,Core bottom,bottom,983.54,8.866139846743296,0.10367518815525459,0.07446389171380507,0.029211296441449524,0.23369088904177734
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,core_mid,Core middle,middle,983.54,20.55795019157088,0.1231384628231127,0.09606644056305437,0.027072022260058316,0.30153470959870293
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,core_top,Core top,top,983.54,16.169779693486593,0.1121035857653331,0.08359064957572118,0.02851293618961191,0.2540963047116419
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_top_zn_3,Top P3,top,207.34,21.857040229885058,0.13177951434615187,0.10505255427657782,0.026726960069574063,0.33021472512914146
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_top_zn_2,Top P2,top,131.26,18.259099616858236,0.12117388665357927,0.09407467237850776,0.0270992142750715,0.30560809858583077
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_top_zn_1,Top P1,top,207.34,42.1036877394636,0.20007403519088662,0.17787518638920555,0.022198848801681065,0.5712792301110495
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_top_zn_4,Top P4,top,131.25,13.864942528735632,0.11033525032123886,0.08263419510816068,0.027701055213078182,0.2648334665712518
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_bot_zn_3,Bottom P3,bottom,207.34,17.037835249042146,0.11911171381314949,0.09165117100282158,0.027460542810327906,0.28399169508943173
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_bot_zn_2,Bottom P2,bottom,131.26,14.906609195402298,0.11487519422735204,0.08687912837044208,0.027996065856909967,0.2820710867107563
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_bot_zn_1,Bottom P1,bottom,207.34,57.189894636015325,0.24557611132356746,0.2272275844129459,0.01834852691062158,0.7372748972018719
