weather,city,scenario_raw,time_slice,severity,weather_year,scenario,watts_person,met,bsa_m2,zone,zone_label,floor,position,position_name,rows,mean_p_tail,median_p_tail,p90_p_tail,p95_p_tail,high_tail_pct,mean_warm_tail,mean_cold_tail
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,S-real,93.2,0.932,1.7182130584192439,perimeter_mid_zn_4,Middle P4,middle,P4,P4 west,16704,0.09310650569018582,0.0811412543526477,0.13056388533562605,0.17486457567043404,1.4487547892720307,0.0581831471410724,0.03492335854911341
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,S-real,93.2,0.932,1.7182130584192439,core_top,Core top,top,core,Core,16704,0.09137840536731814,0.0811412543526477,0.12853819447617715,0.150762211947657,0.9758141762452108,0.054757004064124155,0.03662140130319398
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,S-real,93.2,0.932,1.7182130584192439,perimeter_top_zn_1,Top P1,top,P1,P1 south,16704,0.1316098286813347,0.10419419808487335,0.24687898874965003,0.2833233641790694,10.895593869731801,0.10315892752548772,0.02845090115584696
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,S-real,93.2,0.932,1.7182130584192439,perimeter_top_zn_2,Top P2,top,P2,P2 east,16704,0.09579504156530941,0.08636971229531028,0.1336059289547662,0.17464377055169894,1.933668582375479,0.06086676134773055,0.03492828021757887
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,S-real,93.2,0.932,1.7182130584192439,perimeter_top_zn_3,Top P3,top,P3,P3 north,16704,0.09910674906276964,0.08636971229531026,0.150762211947657,0.18724130715485085,2.5203544061302683,0.06501106323266045,0.03409568583010921
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,S-real,93.2,0.932,1.7182130584192439,perimeter_top_zn_4,Top P4,top,P4,P4 west,16704,0.09175216088773096,0.08114125435264768,0.12806176071544592,0.17385079829448197,1.5146072796934866,0.056146469927067004,0.03560569096066395
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Med,100.0,1.0,1.7182130584192439,core_bottom,Core bottom,bottom,core,Core,16704,0.12459345471257846,0.11875734749858499,0.16105015673981188,0.18724130715485082,2.1132662835249043,0.06333395828301626,0.06125949642956221
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Med,100.0,1.0,1.7182130584192439,perimeter_bot_zn_1,Bottom P1,bottom,P1,P1 south,16704,0.19177694656285527,0.17031576261741227,0.3101632266759955,0.36747268077191353,32.974137931034484,0.1562323288141401,0.03554461774871521
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Med,100.0,1.0,1.7182130584192439,perimeter_bot_zn_2,Bottom P2,bottom,P2,P2 east,16704,0.12709217492847402,0.11479869487721547,0.1735899498731355,0.19278547539417107,4.2684386973180075,0.06997482001077276,0.057117354917701264
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Med,100.0,1.0,1.7182130584192439,perimeter_bot_zn_3,Bottom P3,bottom,P3,P3 north,16704,0.12693641161565028,0.11133196355190283,0.1897434317750309,0.2014177301836993,5.034722222222222,0.07021625339382498,0.05672015822182532
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Med,100.0,1.0,1.7182130584192439,perimeter_bot_zn_4,Bottom P4,bottom,P4,P4 west,16704,0.12185248745056547,0.11479869487721546,0.16023173683583983,0.1897434317750309,2.957375478927203,0.06254609595897895,0.05930639149158652
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Med,100.0,1.0,1.7182130584192439,core_mid,Core middle,middle,core,Core,16704,0.1281766785625127,0.11479869487721546,0.1897434317750309,0.2030697984391626,5.5136494252873565,0.07274742177802698,0.05542925678448571
