scenario,watts_person,met,zone,zone_label,floor,position,position_name,cases,rows,mean_p_tail,p95_case_mean_p_tail,mean_high_tail_pct,median_case_high_tail_pct,p95_case_high_tail_pct,mean_warm_tail,mean_cold_tail
COMP-Med,100.0,1.0,perimeter_top_zn_2,Top P2,top,P2,P2 east,144,2405376,0.12505246455560032,0.15108286722740924,6.681574938803746,5.310105363984674,19.16487068965517,0.06978025245027876,0.05527221210532157
COMP-Med,100.0,1.0,perimeter_top_zn_3,Top P3,top,P3,P3 north,144,2405376,0.1284304180921964,0.16169394766400935,8.928375439016602,7.201867816091954,24.92456896551724,0.0735021612760924,0.05492825681610401
COMP-Med,100.0,1.0,perimeter_top_zn_4,Top P4,top,P4,P4 west,144,2405376,0.12234175930836526,0.1540945008690837,5.348103581311197,4.169659961685824,14.469588122605364,0.06557330144228023,0.05676845786608501
EQ-Max,108.0,1.08,core_bottom,Core bottom,bottom,core,Core,144,2405376,0.1415153272392463,0.17723980694787056,11.710019556194124,9.584530651340998,25.880028735632184,0.11499612777599354,0.02651919946325278
EQ-Max,108.0,1.08,perimeter_bot_zn_1,Bottom P1,bottom,P1,P1 south,144,2405376,0.21885352560614854,0.31357878544252066,36.0237235259685,36.209889846743295,64.62434147509578,0.19630814262978424,0.02254538297636429
EQ-Max,108.0,1.08,perimeter_bot_zn_2,Bottom P2,bottom,P2,P2 east,144,2405376,0.1433269906136756,0.20234811890703297,14.123779400808855,13.164511494252874,29.382183908045977,0.11483098249902118,0.02849600811465439
EQ-Max,108.0,1.08,perimeter_bot_zn_3,Bottom P3,bottom,P3,P3 north,144,2405376,0.14937017951902853,0.19981145198214667,17.803536744359302,15.966235632183908,31.183848180076627,0.11890687650855727,0.030463303010471256
EQ-Max,108.0,1.08,perimeter_bot_zn_4,Bottom P4,bottom,P4,P4 west,144,2405376,0.13604834518949976,0.1802186305920923,11.277737867177523,10.117337164750957,25.993773946360154,0.10746091213741582,0.028587433052083944
EQ-Max,108.0,1.08,core_mid,Core middle,middle,core,Core,144,2405376,0.15119437598821117,0.19911424085005036,17.492483503618562,15.38852969348659,33.47072557471264,0.12501933881038993,0.0261750371778212
EQ-Max,108.0,1.08,perimeter_mid_zn_1,Middle P1,middle,P1,P1 south,144,2405376,0.21724802473801316,0.2943876838039278,35.936543808535546,35.65014367816092,58.644636015325666,0.19518311148674428,0.022064913251268886
EQ-Max,108.0,1.08,perimeter_mid_zn_2,Middle P2,middle,P2,P2 east,144,2405376,0.14897782215081642,0.20463922795783396,15.23025921934866,14.098419540229884,30.458572796934867,0.12204638833496902,0.0269314338158474
EQ-Max,108.0,1.08,perimeter_mid_zn_3,Middle P3,middle,P3,P3 north,144,2405376,0.16667499839037095,0.22088066075649013,22.14776400862069,20.89020593869732,37.65714798850574,0.13945728620065445,0.027217712189716494
EQ-Max,108.0,1.08,perimeter_mid_zn_4,Middle P4,middle,P4,P4 west,144,2405376,0.1439022301753364,0.19237552318106815,13.568107439335888,12.362308429118773,27.530830938697314,0.1166222604337781,0.027279969741558288
EQ-Max,108.0,1.08,core_top,Core top,top,core,Core,144,2405376,0.1431697170216745,0.1886188929223543,14.784590849829714,12.637691570881225,30.13829022988506,0.11464830473351911,0.0285214122881554
EQ-Max,108.0,1.08,perimeter_top_zn_1,Top P1,top,P1,P1 south,144,2405376,0.20019998858579324,0.2731634824975325,30.8198801351639,31.36075191570881,51.954022988505756,0.17608007831937997,0.024119910266413268
EQ-Max,108.0,1.08,perimeter_top_zn_2,Top P2,top,P2,P2 east,144,2405376,0.15016142132830035,0.205990306707992,15.557193553107705,14.664152298850574,29.89104406130268,0.12207844821719828,0.028082973111102097
EQ-Max,108.0,1.08,perimeter_top_zn_3,Top P3,top,P3,P3 north,144,2405376,0.1590034749916657,0.22076312391391065,19.38532686781609,17.97772988505747,33.65780651340996,0.12949011335229443,0.029513361639371294
EQ-Max,108.0,1.08,perimeter_top_zn_4,Top P4,top,P4,P4 west,144,2405376,0.14212571601317675,0.18229519280533724,12.876656289910601,11.506226053639846,24.610871647509576,0.1132094445099581,0.028916271503218682
COMP-Hi,110.0,1.1,core_bottom,Core bottom,bottom,core,Core,144,2405376,0.10449364258554933,0.13870297142257446,7.969897429757343,5.283165708812261,23.51742097701148,0.07525386748902246,0.029239775096526865
COMP-Hi,110.0,1.1,perimeter_bot_zn_1,Bottom P1,bottom,P1,P1 south,144,2405376,0.16592132048786143,0.24482037726665065,31.054147043954874,28.840397509578544,57.80771072796934,0.14139297965221487,0.02452834083564655
COMP-Hi,110.0,1.1,perimeter_bot_zn_2,Bottom P2,bottom,P2,P2 east,144,2405376,0.10617869983487047,0.15534342088360825,10.898545591209025,9.392959770114942,26.849856321839084,0.07508166656585195,0.031097033269018512
COMP-Hi,110.0,1.1,perimeter_bot_zn_3,Bottom P3,bottom,P3,P3 north,144,2405376,0.11053246699663907,0.15691537174444362,12.127792079076203,10.213122605363985,27.732579022988503,0.07829242486520802,0.03224004213143106
COMP-Hi,110.0,1.1,perimeter_bot_zn_4,Bottom P4,bottom,P4,P4 west,144,2405376,0.10087150005568872,0.1392831002745635,8.799871620902513,7.519157088122605,24.317528735632184,0.06946191092933465,0.03140958912635406
COMP-Hi,110.0,1.1,core_mid,Core middle,middle,core,Core,144,2405376,0.11082041645474149,0.15463239338122592,13.524372073222647,11.096144636015326,29.920977011494255,0.08230666160093367,0.02851375485380782
