case_id,city,scenario,time_slice,severity,weather_year,outdoor_temp_bin,occupied_steps,mean_outdoor_temp_c,mean_zone_operative_temp_c,mean_zone_rh_pct,mean_zone_cooling_rate_w,mean_p_tail,high_tail_pct
ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,25--30,4555,27.78929473106476,25.811614592315642,51.0913762417957,106019.0356134186,0.10942469194793833,8.957189901207464
ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,30--35,5454,32.31870737073707,26.56301291416717,51.72683642837513,116198.11301557372,0.16093620451507834,27.796112944627797
ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,>=35,3265,38.06095712098009,27.091245877211648,53.43854703538979,116322.55179861694,0.19957514172560625,43.52220520673813
ahmedabad_ssp245_mid_2050s_typical_2058,Ahmedabad,ssp245,mid_2050s,typical,2058,<20,1637,16.3511850946854,24.842129478233794,40.12758921290717,81070.753759411,0.07933247707479991,0.0
ahmedabad_ssp245_mid_2050s_typical_2058,Ahmedabad,ssp245,mid_2050s,typical,2058,20--25,2319,22.915178956446745,25.275586880434922,45.596765126455765,99808.09059891086,0.08828518843237192,0.258732212160414
ahmedabad_ssp245_mid_2050s_typical_2058,Ahmedabad,ssp245,mid_2050s,typical,2058,25--30,5397,27.768276820455807,25.72476566750345,50.2234590544285,110205.93232531351,0.1053846128758904,4.817491198814157
ahmedabad_ssp245_mid_2050s_typical_2058,Ahmedabad,ssp245,mid_2050s,typical,2058,30--35,4658,32.254453628166594,26.13183758081809,52.17491488644962,113498.00036561201,0.12271999316676574,12.83812795191069
ahmedabad_ssp245_mid_2050s_typical_2058,Ahmedabad,ssp245,mid_2050s,typical,2058,>=35,2693,37.46573338284441,26.486435175109573,52.29766280312597,115585.87094549372,0.14555787437467815,21.760118826587448
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,<20,1217,16.94594289235826,24.76122989988518,41.5967190076655,78546.63420641868,0.0722121937030029,0.0
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,20--25,1981,22.87336698637052,25.229694680084815,47.41158010931269,98571.09696691473,0.07898529552336361,0.05047955577990913
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,25--30,5221,27.792348209155328,25.726758765242245,51.04908263146292,107194.60401019396,0.10414861178588451,6.416395326565792
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,30--35,5275,32.23568483412322,26.100006109547472,51.562373297244456,113534.30845632587,0.12285148774794528,12.909952606635072
