case_id,left,right,spearman_rho,n_hours
ahmedabad_ssp585_mid_2050s_typical_2055,mean_operative_temp_c,cold_discomfort_probability,-0.8671382362621326,4437
ahmedabad_ssp585_mid_2050s_typical_2055,mean_rh_pct,discomfort_probability,0.1385311411075504,4437
ahmedabad_ssp585_mid_2050s_typical_2055,zone_cooling_rate_w,discomfort_probability,0.5763702732912849,4437
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,outdoor_temp_c,mean_operative_temp_c,0.5565944028156287,4437
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,outdoor_temp_c,zone_cooling_rate_w,0.28316428966175783,4437
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,epw_ghi_w_m2,mean_operative_temp_c,0.5063869024954006,4437
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,epw_ghi_w_m2,zone_cooling_rate_w,0.66644881751953,4437
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,epw_outdoor_rh_pct,mean_rh_pct,0.449400490217927,4437
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,mean_operative_temp_c,discomfort_probability,0.8814968173142732,4437
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,mean_operative_temp_c,warm_discomfort_probability,0.9027791447734207,4437
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,mean_operative_temp_c,cold_discomfort_probability,-0.9193006077678063,4437
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,mean_rh_pct,discomfort_probability,0.32697306011112043,4437
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,zone_cooling_rate_w,discomfort_probability,0.4774468375483248,4437
ahmedabad_ssp585_near_2030s_hot_2037,outdoor_temp_c,mean_operative_temp_c,0.5565944028156287,4437
ahmedabad_ssp585_near_2030s_hot_2037,outdoor_temp_c,zone_cooling_rate_w,0.28316428966175783,4437
ahmedabad_ssp585_near_2030s_hot_2037,epw_ghi_w_m2,mean_operative_temp_c,0.5063869024954006,4437
ahmedabad_ssp585_near_2030s_hot_2037,epw_ghi_w_m2,zone_cooling_rate_w,0.66644881751953,4437
ahmedabad_ssp585_near_2030s_hot_2037,epw_outdoor_rh_pct,mean_rh_pct,0.449400490217927,4437
ahmedabad_ssp585_near_2030s_hot_2037,mean_operative_temp_c,discomfort_probability,0.8814968173142732,4437
ahmedabad_ssp585_near_2030s_hot_2037,mean_operative_temp_c,warm_discomfort_probability,0.9027791447734207,4437
ahmedabad_ssp585_near_2030s_hot_2037,mean_operative_temp_c,cold_discomfort_probability,-0.9193006077678063,4437
ahmedabad_ssp585_near_2030s_hot_2037,mean_rh_pct,discomfort_probability,0.32697306011112043,4437
ahmedabad_ssp585_near_2030s_hot_2037,zone_cooling_rate_w,discomfort_probability,0.4774468375483248,4437
ahmedabad_ssp585_near_2030s_typical_2031,outdoor_temp_c,mean_operative_temp_c,0.6488602060383708,4437
