weather,city,scenario_raw,time_slice,severity,weather_year,rows,mean_agg_p_tail_spread_mean,mean_agg_p_tail_spread_p95,max_zone_p_tail_spread_mean,max_zone_p_tail_spread_p95,mean_agg_threshold_flip_rows,mean_agg_threshold_flip_pct,max_zone_threshold_flip_rows,max_zone_threshold_flip_pct,sreal_mean_hidden_rows,sreal_mean_hidden_pct,sreal_zone_hidden_rows,sreal_zone_hidden_pct,direction_flip_rows,direction_flip_pct,sreal_mean_high_tail_pct,sreal_any_zone_high_tail_pct
beijing_ssp245_mid_2050s_hot_2050,Beijing,ssp245,mid_2050s,hot,2050,16704,0.06303562223911285,0.1834368333220479,0.09278963506221771,0.24124862253665924,1444,8.64463601532567,5351,32.03424329501915,1437,8.602729885057471,4957,29.67552681992337,1876,11.230842911877396,2.6999521072796933,12.02705938697318
beijing_ssp245_mid_2050s_typical_2056,Beijing,ssp245,mid_2050s,typical,2056,16704,0.05536718666553497,0.11752505749464029,0.08006348460912704,0.21863361522555297,1045,6.255986590038313,5467,32.7286877394636,1045,6.255986590038313,4889,29.268438697318004,2409,14.421695402298852,0.4489942528735632,10.859674329501916
beijing_ssp245_near_2030s_heatwave_extreme_2039,Beijing,ssp245,near_2030s,heatwave_extreme,2039,16704,0.049705225974321365,0.07781367637217045,0.0696352869272232,0.14354488253593445,746,4.465996168582375,5027,30.094588122605366,746,4.465996168582375,4272,25.57471264367816,2463,14.744971264367814,0.0,10.554358237547893
beijing_ssp245_near_2030s_hot_2034,Beijing,ssp245,near_2030s,hot,2034,16704,0.05167774483561516,0.08538534194231023,0.0770687684416771,0.1842680424451828,831,4.974856321839081,5739,34.35704022988506,831,4.974856321839081,5163,30.908764367816094,2267,13.571599616858238,0.011973180076628351,8.90205938697318
beijing_ssp245_near_2030s_typical_2035,Beijing,ssp245,near_2030s,typical,2035,16704,0.05417059361934662,0.08793275654315948,0.0782398134469986,0.18399196863174438,1073,6.423611111111111,5625,33.674568965517246,1073,6.423611111111111,4924,29.477969348659006,2091,12.517959770114942,0.0,10.356800766283525
beijing_ssp585_baseline_2020s_heatwave_extreme_2029,Beijing,ssp585,baseline_2020s,heatwave_extreme,2029,16704,0.055164825171232224,0.10702597498893715,0.0806935653090477,0.2005070298910141,1409,8.435105363984674,5649,33.81824712643678,1405,8.411159003831417,4848,29.022988505747126,2047,12.254549808429118,0.02993295019157088,12.362308429118773
beijing_ssp585_baseline_2020s_hot_2029,Beijing,ssp585,baseline_2020s,hot,2029,16704,0.055164825171232224,0.10702597498893715,0.0806935653090477,0.2005070298910141,1409,8.435105363984674,5649,33.81824712643678,1405,8.411159003831417,4848,29.022988505747126,2047,12.254549808429118,0.02993295019157088,12.362308429118773
beijing_ssp585_baseline_2020s_typical_2026,Beijing,ssp585,baseline_2020s,typical,2026,16704,0.04802490025758743,0.07469816729426379,0.06905556470155716,0.1405012160539627,732,4.3821839080459775,4543,27.197078544061306,692,4.14272030651341,3818,22.856800766283524,2673,16.002155172413794,0.23946360153256704,12.721503831417625
beijing_ssp585_late_2080s_heatwave_extreme_2089,Beijing,ssp585,late_2080s,heatwave_extreme,2089,16704,0.07088662683963776,0.21182039529085156,0.10771667212247849,0.2549172043800354,2149,12.865181992337165,6184,37.02107279693487,2134,12.775383141762454,5770,34.542624521072796,2017,12.074952107279694,4.0888409961685825,14.774904214559387
beijing_ssp585_late_2080s_hot_2089,Beijing,ssp585,late_2080s,hot,2089,16704,0.07088662683963776,0.21182039529085156,0.10771667212247849,0.2549172043800354,2149,12.865181992337165,6184,37.02107279693487,2134,12.775383141762454,5770,34.542624521072796,2017,12.074952107279694,4.0888409961685825,14.774904214559387
beijing_ssp585_late_2080s_typical_2084,Beijing,ssp585,late_2080s,typical,2084,16704,0.06711820513010025,0.20325897783040991,0.09673648327589035,0.2467750757932663,1847,11.057231800766283,5198,31.118295019157088,1836,10.991379310344827,4777,28.597940613026818,2189,13.104645593869732,3.7595785440613025,13.409961685823754
beijing_ssp585_mid_2050s_heatwave_extreme_2052,Beijing,ssp585,mid_2050s,heatwave_extreme,2052,16704,0.06804448366165161,0.20351204350590704,0.09840459376573563,0.24581962823867798,1991,11.919300766283525,5653,33.84219348659004,1967,11.775622605363985,5105,30.56154214559387,1871,11.200909961685824,3.4542624521072796,15.828544061302683
beijing_ssp585_mid_2050s_hot_2052,Beijing,ssp585,mid_2050s,hot,2052,16704,0.06804448366165161,0.20351204350590704,0.09840459376573563,0.24581962823867798,1991,11.919300766283525,5653,33.84219348659004,1967,11.775622605363985,5105,30.56154214559387,1871,11.200909961685824,3.4542624521072796,15.828544061302683
beijing_ssp585_mid_2050s_typical_2053,Beijing,ssp585,mid_2050s,typical,2053,16704,0.052373576909303665,0.09605218172073347,0.08033784478902817,0.19586095213890076,847,5.070641762452107,5440,32.56704980842912,847,5.070641762452107,4965,29.723419540229884,2367,14.170258620689655,0.0,8.369252873563218
beijing_ssp585_near_2030s_heatwave_extreme_2030,Beijing,ssp585,near_2030s,heatwave_extreme,2030,16704,0.05851816385984421,0.1298428565263747,0.08742214739322662,0.22672004997730255,1739,10.410680076628353,6284,37.61973180076628,1635,9.788074712643677,5497,32.90828544061303,1814,10.859674329501916,0.6645114942528735,14.792863984674328
beijing_ssp585_near_2030s_hot_2037,Beijing,ssp585,near_2030s,hot,2037,16704,0.058287642896175385,0.13271514028310755,0.08881084620952606,0.22249992191791534,2106,12.607758620689655,6088,36.446360153256705,1715,10.267001915708812,5431,32.51317049808429,2181,13.056752873563218,2.412595785440613,14.59530651340996
beijing_ssp585_near_2030s_typical_2032,Beijing,ssp585,near_2030s,typical,2032,16704,0.052687596529722214,0.09450116753578171,0.08068496733903885,0.2012101411819458,853,5.1065613026819925,5300,31.728927203065133,853,5.1065613026819925,4879,29.208572796934867,2042,12.224616858237548,0.0,8.518917624521073
guangzhou_ssp245_baseline_2020s_heatwave_extreme_2028,Guangzhou,ssp245,baseline_2020s,heatwave_extreme,2028,16704,0.056324589997529984,0.16736463159322726,0.10197992622852325,0.26171109080314636,1905,11.404454022988505,4421,26.466714559386972,1902,11.386494252873563,4290,25.682471264367816,3775,22.599377394636015,0.34123563218390807,4.454022988505748
guangzhou_ssp245_baseline_2020s_hot_2027,Guangzhou,ssp245,baseline_2020s,hot,2027,16704,0.04985826089978218,0.13629354313015932,0.09708646684885025,0.24628283083438873,1392,8.333333333333332,4731,28.32255747126437,1392,8.333333333333332,4665,27.92744252873563,3692,22.10249042145594,0.0,2.3946360153256707
guangzhou_ssp245_baseline_2020s_typical_2025,Guangzhou,ssp245,baseline_2020s,typical,2025,16704,0.05831881985068321,0.1832774341106414,0.10350153595209122,0.25494158267974854,2178,13.038793103448276,4741,28.38242337164751,2171,12.996886973180077,4622,27.67001915708812,3768,22.557471264367816,0.37116858237547895,4.753352490421456
