weather,city,scenario,time_slice,severity,weather_year,max_abs_zone_p_tail_error,mean_abs_zone_p_tail_error,max_abs_zone_expected_tsv_error,mean_abs_zone_expected_tsv_error,max_abs_equal_p_tail_error,max_abs_equal_expected_tsv_error,max_abs_mean_pmv_error,mean_abs_mean_pmv_error
ahmedabad_ssp585_mid_2050s_typical_2055,Ahmedabad,ssp585,mid_2050s,typical,2055,0.3266878016679756,0.008266610731318593,0.8434553228654073,0.029757671523456364,0.18791331638178688,0.598758490763293,0.42333333333333345,0.025504869093231162
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,Ahmedabad,ssp585,near_2030s,heatwave_extreme,2037,0.33389369146702375,0.009439766067993767,0.8186992171610212,0.03175204299231886,0.20412122507525327,0.5806905400595814,0.42200000000000004,0.026877394636015326
ahmedabad_ssp585_near_2030s_hot_2037,Ahmedabad,ssp585,near_2030s,hot,2037,0.33389369146702375,0.009439766067993767,0.8186992171610212,0.03175204299231886,0.20412122507525327,0.5806905400595814,0.42200000000000004,0.026877394636015326
ahmedabad_ssp585_near_2030s_typical_2031,Ahmedabad,ssp585,near_2030s,typical,2031,0.32287742255449814,0.009145969594898636,0.7685142274040937,0.03046001745118788,0.20960323344630258,0.5334373540764596,0.42200000000000004,0.025482798531289912
beijing_ssp245_baseline_2020s_heatwave_extreme_2025,Beijing,ssp245,baseline_2020s,heatwave_extreme,2025,0.2535067243412122,0.005199330309748028,0.8581548468534957,0.02187193309743893,0.14958730925740021,0.42948392368868865,0.30266666666666675,0.021376037675606644
beijing_ssp245_baseline_2020s_hot_2025,Beijing,ssp245,baseline_2020s,hot,2025,0.2535067243412122,0.005199330309748028,0.8581548468534957,0.02187193309743893,0.14958730925740021,0.42948392368868865,0.30266666666666675,0.021376037675606644
beijing_ssp245_baseline_2020s_typical_2026,Beijing,ssp245,baseline_2020s,typical,2026,0.2530050748647401,0.004194083440872285,0.714295849207058,0.019616589690041094,0.11442751452411068,0.38363877990495177,0.3033333333333334,0.019886254789272036
beijing_ssp245_late_2080s_heatwave_extreme_2084,Beijing,ssp245,late_2080s,heatwave_extreme,2084,0.46315859659469977,0.00659298698825768,0.751739689152264,0.024768468623930347,0.1904818578362515,0.5380896289183834,0.3646666666666668,0.022639407726692214
beijing_ssp245_late_2080s_hot_2084,Beijing,ssp245,late_2080s,hot,2084,0.46315859659469977,0.00659298698825768,0.751739689152264,0.024768468623930347,0.1904818578362515,0.5380896289183834,0.3646666666666668,0.022639407726692214
beijing_ssp245_late_2080s_typical_2083,Beijing,ssp245,late_2080s,typical,2083,0.33084199454361896,0.006639270340969821,0.7492503441113941,0.02496544103158738,0.13328788588156001,0.45002766631277297,0.5013333333333339,0.023045098978288638
beijing_ssp245_mid_2050s_heatwave_extreme_2050,Beijing,ssp245,mid_2050s,heatwave_extreme,2050,0.3400583995780942,0.006153734935573407,0.8353394254849085,0.0236362449365144,0.15730821474758314,0.545076242378957,0.4786666666666669,0.022068486590038315
beijing_ssp245_mid_2050s_hot_2050,Beijing,ssp245,mid_2050s,hot,2050,0.3400583995780942,0.006153734935573407,0.8353394254849085,0.0236362449365144,0.15730821474758314,0.545076242378957,0.4786666666666669,0.022068486590038315
beijing_ssp245_mid_2050s_typical_2056,Beijing,ssp245,mid_2050s,typical,2056,0.2488281765451355,0.005206935761239821,0.720434971032049,0.021859441425076856,0.1377351637495154,0.44087031493041406,0.30333333333333334,0.021744891443167307
beijing_ssp245_near_2030s_heatwave_extreme_2039,Beijing,ssp245,near_2030s,heatwave_extreme,2039,0.286650523228193,0.004261858990452679,0.6694732636464837,0.020086384889164536,0.15938937371089132,0.4550117715282936,0.32266666666666666,0.020900143678160923
beijing_ssp245_near_2030s_hot_2034,Beijing,ssp245,near_2030s,hot,2034,0.2530050748647401,0.004954027055448003,0.751716897837099,0.021596838139368836,0.18552615801104566,0.6480054342578867,0.42200000000000015,0.021590996168582375
beijing_ssp245_near_2030s_typical_2035,Beijing,ssp245,near_2030s,typical,2035,0.28414839860801294,0.004795757062925646,0.6513321449144718,0.020995543364444043,0.10692873627122247,0.3634718980291839,0.28266666666666673,0.021407966155810986
beijing_ssp585_baseline_2020s_heatwave_extreme_2029,Beijing,ssp585,baseline_2020s,heatwave_extreme,2029,0.2619036514318709,0.00501013424538362,0.6648553554633991,0.02161897318450281,0.12584844830325906,0.4426305230757271,0.298,0.02194300766283525
beijing_ssp585_baseline_2020s_hot_2029,Beijing,ssp585,baseline_2020s,hot,2029,0.2619036514318709,0.00501013424538362,0.6648553554633991,0.02161897318450281,0.12584844830325906,0.4426305230757271,0.298,0.02194300766283525
beijing_ssp585_baseline_2020s_typical_2026,Beijing,ssp585,baseline_2020s,typical,2026,0.28414839860801294,0.0042928064038443,0.63736319137622,0.02014744797450362,0.12630312116273723,0.4761450889564782,0.3226666666666667,0.02031070402298851
beijing_ssp585_late_2080s_heatwave_extreme_2089,Beijing,ssp585,late_2080s,heatwave_extreme,2089,0.3797846889952152,0.00740756223249788,0.7760415758983493,0.026295563716936338,0.1639271993469621,0.5294374204172557,0.3919999999999999,0.023519755747126433
beijing_ssp585_late_2080s_hot_2089,Beijing,ssp585,late_2080s,hot,2089,0.3797846889952152,0.00740756223249788,0.7760415758983493,0.026295563716936338,0.1639271993469621,0.5294374204172557,0.3919999999999999,0.023519755747126433
beijing_ssp585_late_2080s_typical_2084,Beijing,ssp585,late_2080s,typical,2084,0.36225061797405445,0.006747865954227808,0.7844665452500461,0.024808228934712236,0.15223402785562712,0.47809406984624564,0.4206666666666663,0.022682511174968077
beijing_ssp585_mid_2050s_heatwave_extreme_2052,Beijing,ssp585,mid_2050s,heatwave_extreme,2052,0.3400583995780942,0.006577332152158623,0.7818261301304938,0.024732142073459733,0.15694981028105964,0.5370335903744943,0.3833333333333335,0.023328583971902937
beijing_ssp585_mid_2050s_hot_2052,Beijing,ssp585,mid_2050s,hot,2052,0.3400583995780942,0.006577332152158623,0.7818261301304938,0.024732142073459733,0.15694981028105964,0.5370335903744943,0.3833333333333335,0.023328583971902937
beijing_ssp585_mid_2050s_typical_2053,Beijing,ssp585,mid_2050s,typical,2053,0.28035825126757896,0.005021025149342379,0.6832523931038617,0.02133920369625485,0.11688952868696056,0.4522248611906322,0.28800000000000003,0.021383461047254144
