group_scope,model,event,city,n_steps,n_cases,equal_zone_mean_mean,area_weighted_mean_mean,zone_p90_mean,any_zone_mean,cold_equal_mean,warm_equal_mean,cold_area_mean,warm_area_mean,expected_tsv_equal_mean,expected_tsv_area_mean,time_slice,scenario,severity
city_scenario_time_slice,nominal,broad_tail,Phoenix,50112,3,0.11541563145682163,0.10717760591932271,0.17150025302914262,0.20714562320879698,0.029994636568426325,0.0854209948883953,0.03180787862034994,0.07536972729897277,0.2223718658926586,0.1870472152164607,baseline_2020s,ssp245,
city_scenario_time_slice,nominal,broad_tail,Phoenix,50112,3,0.14586045360841124,0.13373346042256004,0.2156350895265896,0.255000639644386,0.02996972205813547,0.1158907315502758,0.03203157432602197,0.10170188609653807,0.3010974301017198,0.2526291383259539,late_2080s,ssp245,
city_scenario_time_slice,nominal,broad_tail,Phoenix,50112,3,0.1384960599813602,0.12775848352681393,0.20139921825065157,0.23831610209215254,0.029370447291871882,0.10912561268948831,0.031090841018438866,0.09666764250837509,0.28435041490436114,0.24327171764885594,mid_2050s,ssp245,
city_scenario_time_slice,nominal,broad_tail,Phoenix,50112,3,0.13292658185702197,0.12204836178525895,0.19636931841894262,0.23158165106785922,0.029837457312542868,0.1030891245444791,0.03167705555006875,0.09037130623519021,0.2688998930093935,0.2267762086359463,near_2030s,ssp245,
city_scenario_time_slice,nominal,broad_tail,Phoenix,50112,3,0.1284901626259764,0.11865262569091371,0.1884623309606383,0.22450849990030475,0.030154618456255524,0.09833554416972089,0.03194666312025731,0.08670596257065637,0.2523952078548739,0.21337988730846677,baseline_2020s,ssp585,
city_scenario_time_slice,nominal,broad_tail,Phoenix,50112,3,0.1860539131591614,0.1737483382316611,0.25639362631602447,0.2948773888231637,0.028916828095415684,0.1571370850637457,0.030639995315669567,0.1431083429159915,0.40568449899926434,0.35931487675654045,late_2080s,ssp585,
city_scenario_time_slice,nominal,broad_tail,Phoenix,50112,3,0.14097047261562556,0.13028512123358732,0.20413130905529142,0.2403026630247148,0.03038933451044689,0.11058113810517867,0.032200028918317816,0.09808509231526948,0.2847600311445542,0.24257931398138588,mid_2050s,ssp585,
city_scenario_time_slice,nominal,broad_tail,Phoenix,50112,3,0.13300976355920885,0.12267860005317606,0.19559390711085847,0.23317133406898582,0.03065440379984306,0.1023553597593658,0.032706590306903885,0.08997200974627217,0.2626458142129697,0.21985170093316558,near_2030s,ssp585,
city_scenario_time_slice,nominal,outermost,Ahmedabad,50112,3,0.035027580767046214,0.03128095527291107,0.06358792420451705,0.0823502534191757,0.002595251489535237,0.032432329277510975,0.002617061865889117,0.02866389340702195,0.28451539602285153,0.2501179318625407,baseline_2020s,ssp245,
city_scenario_time_slice,nominal,outermost,Ahmedabad,50112,3,0.03694321657497679,0.03277527934032278,0.0677283759735976,0.085940877896436,0.002596629853500862,0.03434658672147593,0.0026232035999947346,0.03015207574032806,0.30623276097685864,0.26995710292645453,late_2080s,ssp245,
city_scenario_time_slice,nominal,outermost,Ahmedabad,50112,3,0.03632404403797341,0.032687739322285414,0.0637337033746539,0.08144371814364915,0.0025786052692964444,0.03374543876867696,0.002603645794569014,0.030084093527716398,0.29295394427579563,0.26066115913982535,mid_2050s,ssp245,
city_scenario_time_slice,nominal,outermost,Ahmedabad,50112,3,0.03094434318962651,0.02764780136591143,0.055868182672765464,0.07318505766454315,0.0026032501604479016,0.028341093029178612,0.0026162034183749017,0.025031597947536528,0.2374756466659198,0.20779467215670624,near_2030s,ssp245,
city_scenario_time_slice,nominal,outermost,Ahmedabad,50112,3,0.0401130096039657,0.036687801904551225,0.06779936871328618,0.0866345753074795,0.002535743370644507,0.03757726623332119,0.0025652577325638018,0.03412254417198742,0.3300009137508571,0.29822012804100145,baseline_2020s,ssp585,
city_scenario_time_slice,nominal,outermost,Ahmedabad,50112,3,0.04281598920551539,0.03919543090731345,0.07445192448718538,0.09481695182987585,0.0024933908289056323,0.040322598376609765,0.0025302111039890696,0.03666521980332437,0.3758318489763127,0.3437652637826351,late_2080s,ssp585,
