weather,city,scenario,time_slice,severity,weather_year,n_steps,corrected_mean_pmv_mean,corrected_mean_pmv_sd,corrected_mean_pmv_p05,corrected_mean_pmv_p50,corrected_mean_pmv_p95,corrected_mean_pmv_min,corrected_mean_pmv_max,corrected_mean_abs_pmv,corrected_area_pmv_mean,corrected_abs_pmv_ge_0p5_pct,corrected_abs_pmv_ge_1p0_pct,corrected_abs_pmv_ge_2p0_pct,stored_mean_pmv_mean,stored_mean_pmv_sd,stored_mean_pmv_p05,stored_mean_pmv_p50,stored_mean_pmv_p95,stored_mean_pmv_min,stored_mean_pmv_max,stored_mean_abs_pmv,stored_abs_pmv_ge_0p5_pct,stored_abs_pmv_ge_1p0_pct,stored_abs_pmv_ge_2p0_pct,corrected_minus_stored_pmv_mean,corrected_vs_stored_pmv_mae,corrected_vs_stored_pmv_mse,corrected_vs_stored_pmv_rmse,corrected_vs_stored_pmv_max_abs,corrected_vs_stored_pmv_pearson_r,corrected_pmv_vs_expected_tsv_pearson_r,corrected_abs_pmv_vs_p_tail_pearson_r,stored_abs_pmv_vs_stored_p_tail_pearson_r,corrected_abs_pmv_vs_no_pmv_p_tail_pearson_r,no_pmv_abs_expected_tsv_vs_p_tail_pearson_r,corrected_pmv_central_but_tail_020_pct,stored_pmv_central_but_tail_020_pct,corrected_pmv_central_but_no_pmv_tail_020_pct
ahmedabad_ssp585_mid_2050s_typical_2055,Ahmedabad,ssp585,mid_2050s,typical,2055,16704,0.3524032966155811,0.2911136500554456,-0.017333333333333333,0.29000000000000004,0.9465666666666657,-0.3206666666666667,1.4840000000000004,0.36241151819923373,0.31596964529175914,24.88625478927203,3.807471264367816,0.0,0.35874580938697315,0.2928469964592351,-0.013999999999999985,0.2966666666666666,0.9566666666666668,-0.3206666666666667,1.4840000000000004,0.36850810185185184,25.538793103448278,4.011015325670498,0.0,-0.006342512771392061,0.025504869093231162,0.0020773970306513403,0.04557847113113098,0.42333333333333345,0.9880696590941933,0.8682007289141354,0.8844437718252653,0.8832855480418786,0.8998436546928495,0.9792450493259242,0.005986590038314176,0.005986590038314176,0.011973180076628351
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,Ahmedabad,ssp585,near_2030s,heatwave_extreme,2037,16704,0.4160098978288634,0.3477719438568348,-0.024,0.3360000000000001,1.1099999999999999,-0.38333333333333336,1.7553333333333332,0.4270817369093231,0.378990541779887,32.29166666666667,7.650862068965517,0.0,0.4225261015325671,0.34884956176887877,-0.02,0.3426666666666667,1.1172333333333324,-0.3833333333333333,1.7553333333333332,0.43332774584929756,33.04597701149425,7.902298850574713,0.0,-0.006516203703703686,0.026877394636015326,0.0021080939229459346,0.04591398395854943,0.42200000000000004,0.9914916328025289,0.8930689619629635,0.8946440323942505,0.8933956523393436,0.9043078640657193,0.982586289866729,0.005986590038314176,0.005986590038314176,0.005986590038314176
ahmedabad_ssp585_near_2030s_hot_2037,Ahmedabad,ssp585,near_2030s,hot,2037,16704,0.4160098978288634,0.3477719438568348,-0.024,0.3360000000000001,1.1099999999999999,-0.38333333333333336,1.7553333333333332,0.4270817369093231,0.378990541779887,32.29166666666667,7.650862068965517,0.0,0.4225261015325671,0.34884956176887877,-0.02,0.3426666666666667,1.1172333333333324,-0.3833333333333333,1.7553333333333332,0.43332774584929756,33.04597701149425,7.902298850574713,0.0,-0.006516203703703686,0.026877394636015326,0.0021080939229459346,0.04591398395854943,0.42200000000000004,0.9914916328025289,0.8930689619629635,0.8946440323942505,0.8933956523393436,0.9043078640657193,0.982586289866729,0.005986590038314176,0.005986590038314176,0.005986590038314176
ahmedabad_ssp585_near_2030s_typical_2031,Ahmedabad,ssp585,near_2030s,typical,2031,16704,0.3899586925287356,0.40261662045020385,-0.09266666666666669,0.27866666666666673,1.2225666666666657,-0.568,1.9880000000000002,0.4155361190932311,0.35764510084586043,29.669540229885055,10.428639846743296,0.0,0.3956891762452107,0.40418521744358415,-0.09,0.2833333333333333,1.2312333333333323,-0.568,1.988,0.42090812579821196,30.17241379310345,10.715996168582375,0.0,-0.005730483716475081,0.025482798531289912,0.0020057596583652614,0.0447857081931866,0.42200000000000004,0.99394567596754,0.9170832124886815,0.9262718256734783,0.9247919571600777,0.9376590498093794,0.9854100629103072,0.005986590038314176,0.005986590038314176,0.02993295019157088
beijing_ssp245_baseline_2020s_heatwave_extreme_2025,Beijing,ssp245,baseline_2020s,heatwave_extreme,2025,16704,-0.1398562021072797,0.5231162227247059,-1.004,-0.06999999999999999,0.7466666666666666,-2.189333333333333,1.6073333333333335,0.4067561861430396,-0.1072159916356737,34.15948275862069,7.6209291187739465,0.017959770114942528,-0.14085500478927201,0.5296388232011968,-1.0205666666666666,-0.0693333333333333,0.7573333333333334,-2.349333333333333,1.6073333333333335,0.41110316890166027,34.46479885057471,8.016044061302683,0.02993295019157088,0.0009988026819923396,0.021376037675606644,0.0011758325351213282,0.03429041462451757,0.30266666666666675,0.9979566163681349,0.8330507611766179,0.5148907577584773,0.5055820663220042,0.49563126322361595,0.8867463854312132,0.0,0.0,0.0
beijing_ssp245_baseline_2020s_hot_2025,Beijing,ssp245,baseline_2020s,hot,2025,16704,-0.1398562021072797,0.5231162227247059,-1.004,-0.06999999999999999,0.7466666666666666,-2.189333333333333,1.6073333333333335,0.4067561861430396,-0.1072159916356737,34.15948275862069,7.6209291187739465,0.017959770114942528,-0.14085500478927201,0.5296388232011968,-1.0205666666666666,-0.0693333333333333,0.7573333333333334,-2.349333333333333,1.6073333333333335,0.41110316890166027,34.46479885057471,8.016044061302683,0.02993295019157088,0.0009988026819923396,0.021376037675606644,0.0011758325351213282,0.03429041462451757,0.30266666666666675,0.9979566163681349,0.8330507611766179,0.5148907577584773,0.5055820663220042,0.49563126322361595,0.8867463854312132,0.0,0.0,0.0
beijing_ssp245_baseline_2020s_typical_2026,Beijing,ssp245,baseline_2020s,typical,2026,16704,-0.23430854885057467,0.46342179815859724,-1.0500000000000003,-0.12333333333333332,0.34856666666666564,-2.0446666666666666,1.1833333333333336,0.3802545098978289,-0.19264575691241514,30.771072796934867,6.459530651340996,0.005986590038314176,-0.23616614782886333,0.47079509625276283,-1.0718999999999999,-0.1226666666666666,0.3546666666666667,-2.194666666666667,1.1833333333333336,0.3846955220306513,30.998563218390807,6.752873563218391,0.02993295019157088,0.001857598978288636,0.019886254789272036,0.0010405999361430395,0.03225833126717871,0.3033333333333334,0.997747734538028,0.7174594297147602,0.42608924599754305,0.41194441534759024,0.40674846265273656,0.6408104726474357,0.0,0.0,0.0
beijing_ssp245_late_2080s_heatwave_extreme_2084,Beijing,ssp245,late_2080s,heatwave_extreme,2084,16704,0.012431912515964271,0.6441349656302895,-0.8873333333333332,-0.03333333333333333,1.4185666666666656,-1.8959999999999997,2.4306666666666668,0.4654313537675606,0.03153938206122969,34.95569923371647,11.637931034482758,0.8201628352490421,0.012423491379310328,0.6485732594667828,-0.896,-0.032,1.4213333333333331,-2.033333333333333,2.4306666666666668,0.46941064016602807,35.18917624521073,11.991139846743296,0.8261494252873564,8.421136653895969e-06,0.022639407726692214,0.0013479823063005535,0.0367148785412747,0.3646666666666668,0.9984102641748024,0.8890645343691824,0.8011224591785655,0.7946943538553034,0.7984375571427804,0.9750599467866242,0.0,0.0,0.0
beijing_ssp245_late_2080s_hot_2084,Beijing,ssp245,late_2080s,hot,2084,16704,0.012431912515964271,0.6441349656302895,-0.8873333333333332,-0.03333333333333333,1.4185666666666656,-1.8959999999999997,2.4306666666666668,0.4654313537675606,0.03153938206122969,34.95569923371647,11.637931034482758,0.8201628352490421,0.012423491379310328,0.6485732594667828,-0.896,-0.032,1.4213333333333331,-2.033333333333333,2.4306666666666668,0.46941064016602807,35.18917624521073,11.991139846743296,0.8261494252873564,8.421136653895969e-06,0.022639407726692214,0.0013479823063005535,0.0367148785412747,0.3646666666666668,0.9984102641748024,0.8890645343691824,0.8011224591785655,0.7946943538553034,0.7984375571427804,0.9750599467866242,0.0,0.0,0.0
beijing_ssp245_late_2080s_typical_2083,Beijing,ssp245,late_2080s,typical,2083,16704,-0.04589395753512131,0.6421972415059605,-0.9699,-0.08133333333333334,1.2793333333333334,-2.1653333333333333,1.9873333333333334,0.48887735472541516,-0.017953904427301846,40.31968390804598,13.685344827586206,0.011973180076628351,-0.0464666746487867,0.6482193933882769,-0.9865666666666664,-0.0806666666666666,1.2826666666666668,-2.3186666666666667,1.9873333333333336,0.49357690772669216,40.63098659003831,14.194204980842912,0.017959770114942528,0.0005727171136653892,0.023045098978288638,0.0013903349829714772,0.03728719596552518,0.5013333333333339,0.9983740206591567,0.8979646194396202,0.7196348926083582,0.7118945083016822,0.7087250525876897,0.9667111727252256,0.0,0.0,0.0
