group_scope,event,threshold,aggregator,n_steps,stored_high_count,corrected_high_count,both_high_count,union_high_count,stored_only_count,corrected_only_count,disagreement_count,stored_high_pct,corrected_high_pct,corrected_minus_stored_pp,disagreement_pct,jaccard
global,broad_tail,0.17,equal_zone_mean,2405376,401631,393230,378784,416077,22847,14446,37293,16.69722321998723,16.347963894210302,-0.34925932577692637,1.5504020992975736,0.9103699555611101
global,broad_tail,0.17,zone_p90,2405376,812369,803030,774114,841285,38255,28916,67171,33.77305668635589,33.38480137824606,-0.388255308109834,2.7925363851638996,0.9201566651016005
global,broad_tail,0.18,any_zone,2405376,1016428,1006333,970612,1052149,45816,35721,81537,42.25651207960834,41.83682717379736,-0.4196849058109834,3.389781888569604,0.9225043221064697
global,broad_tail,0.18,area_weighted_mean,2405376,342294,333618,323791,352121,18503,9827,28330,14.230373962324395,13.869681912515963,-0.3606920498084291,1.1777784429544487,0.9195447019632456
global,broad_tail,0.18,equal_zone_mean,2405376,372083,364046,350879,385250,21204,13167,34371,15.468808202958705,15.134681646445298,-0.33412655651340994,1.428924209770115,0.9107826086956522
global,broad_tail,0.18,zone_p90,2405376,782815,773551,744638,811728,38177,28913,67090,32.54439222807577,32.159254935610896,-0.3851372924648787,2.789168928267348,0.9173491612954093
global,broad_tail,0.19,any_zone,2405376,937445,927806,885609,979642,51836,42197,94033,38.97290901713495,38.572181646445294,-0.4007273706896552,3.90928486856109,0.9040128945063605
global,broad_tail,0.19,area_weighted_mean,2405376,320450,312197,302643,330004,17807,9554,27361,13.322241512345679,12.979135070774797,-0.3431064415708812,1.1374936808216263,0.9170888837711058
global,broad_tail,0.19,equal_zone_mean,2405376,346597,338980,326682,358895,19915,12298,32213,14.409264913260964,14.092599244359302,-0.31666566890166026,1.3392085062792678,0.9102439432145892
global,broad_tail,0.19,zone_p90,2405376,721029,711882,682094,750817,38935,29788,68723,29.975729366219667,29.595456178160916,-0.38027318805874843,2.857058522243508,0.9084690410579409
global,broad_tail,0.2,any_zone,2405376,890763,881406,836568,935601,54195,44838,99033,37.03217293263091,36.64316930076628,-0.3890036318646233,4.117152578224776,0.8941503910320746
global,broad_tail,0.2,area_weighted_mean,2405376,299378,291773,282186,308965,17192,9587,26779,12.446203836739038,12.13003705034057,-0.3161667863984674,1.1132978794167732,0.9133267522211254
global,broad_tail,0.2,equal_zone_mean,2405376,323481,316242,304512,335211,18969,11730,30699,13.448250917943804,13.14730004789272,-0.30095087005108556,1.2762661637931034,0.908418876468851
global,broad_tail,0.2,zone_p90,2405376,678168,669417,640972,706613,37196,28445,65641,28.19384578544061,27.83003571998723,-0.3638100654533844,2.7289288660068114,0.9071047376711155
global,broad_tail,0.21,any_zone,2405376,820857,811934,769018,863773,51839,42916,94755,34.12593291028097,33.75497219561516,-0.37096071466581526,3.9393009658365266,0.8903010397407652
global,broad_tail,0.21,area_weighted_mean,2405376,278696,271505,262016,288185,16680,9489,26169,11.586379842486165,11.28742450244785,-0.2989553400383142,1.0879380188378034,0.9091937470721932
global,broad_tail,0.21,equal_zone_mean,2405376,301755,294923,283758,312920,17997,11165,29162,12.545024145913155,12.260993707428693,-0.28403043848446147,1.2123676298424861,0.9068068515914611
global,broad_tail,0.21,zone_p90,2405376,645352,637299,609567,673084,35785,27732,63517,26.829568433375904,26.49477670019157,-0.33479173318433375,2.6406266629416772,0.9056328779171693
global,broad_tail,0.22,any_zone,2405376,820825,811904,768991,863738,51834,42913,94747,34.124602556939124,33.753724989357174,-0.3708775675819498,3.938968377501064,0.8903058566370821
global,broad_tail,0.22,area_weighted_mean,2405376,259364,252581,243534,268411,15830,9047,24877,10.782680129842486,10.50068679491273,-0.2819933349297573,1.0342250026607067,0.9073175093420165
global,broad_tail,0.22,equal_zone_mean,2405376,281475,274939,264098,292316,17377,10841,28218,11.701912715517242,11.43018804544487,-0.2717246700723712,1.173122206257982,0.9034674803979256
global,broad_tail,0.22,zone_p90,2405376,638878,630903,603712,666069,35166,27191,62357,26.560421322903366,26.228872325989784,-0.33154899691358025,2.592401354299702,0.9063805701811675
global,broad_tail,0.23,any_zone,2405376,820672,811753,768877,863548,51795,42876,94671,34.118241805023416,33.74744738452533,-0.3707944204980843,3.935808788314176,0.8903697304608429
global,broad_tail,0.23,area_weighted_mean,2405376,240660,234151,225223,249588,15437,8928,24365,10.005088601532568,9.734486417092379,-0.2706021844401873,1.0129393491911451,0.9023791207910636
global,broad_tail,0.23,equal_zone_mean,2405376,261544,255259,244829,271974,16715,10430,27145,10.873310451255854,10.6120207402086,-0.2612897110472542,1.128513795764155,0.9001926654753764
global,broad_tail,0.23,zone_p90,2405376,631812,623854,596727,658939,35085,27127,62212,26.26666267560664,25.935820428905913,-0.3308422467007237,2.586373190719455,0.9055876188842973
global,broad_tail,0.24,any_zone,2405376,820547,811629,768802,863374,51745,42827,94572,34.11304511228182,33.742292265325666,-0.3707528469561515,3.931693007662835,0.8904623025479109
global,broad_tail,0.24,area_weighted_mean,2405376,222219,216130,207390,230959,14829,8740,23569,9.238430914750957,8.98528961792252,-0.25314129682843767,0.9798468098126862,0.8979515844803623
global,broad_tail,0.24,equal_zone_mean,2405376,242335,236428,226327,252436,16008,10101,26109,10.074724284269902,9.829149372073223,-0.24557491219667943,1.0854436063218391,0.8965718043385255
global,broad_tail,0.24,zone_p90,2405376,586338,578754,552903,612189,33435,25851,59286,24.376147429757346,24.060853687739463,-0.31529374201787996,2.464729007024266,0.9031573582668098
