group_scope,model,event,threshold,city,n_steps,n_zone_steps,area_zone_time_mass,unweighted_zone_high_count,equal_zone_mean_high_count,area_weighted_mean_high_count,zone_p90_high_count,any_zone_high_count,hidden_any_zone_count,hidden_p90_count,equal_zone_mean_high_pct,area_weighted_mean_high_pct,zone_p90_high_pct,any_zone_high_pct,hidden_any_zone_pct,hidden_p90_pct,area_weighted_zone_time_high_pct,unweighted_zone_time_high_pct,time_slice,scenario,severity
scenario_time_slice_severity,ordinal,broad_tail,0.22,,100224,1503360,6393.2837346628685,118439,6050,5273,19614,26842,20792,13564,6.036478288633461,5.261214878671775,19.570162835249043,26.782008301404854,20.745530012771393,13.533684546615582,6.3789947863414636,7.878285972754363,baseline_2020s,ssp585,typical
scenario_time_slice_severity,ordinal,broad_tail,0.22,,100224,1503360,25491.396662913296,402740,26576,25713,42107,48832,22256,15531,26.516602809706256,25.655531609195403,42.012891123882504,48.722860791826314,22.20625798212005,15.496288314176246,25.434423554151998,26.78932524478502,late_2080s,ssp585,heatwave_extreme
scenario_time_slice_severity,ordinal,broad_tail,0.22,,100224,1503360,25898.493672461304,406283,26732,26066,41593,48230,21498,14861,26.67225415070243,26.00774265644955,41.50003991060026,48.12220625798212,21.449952107279692,14.82778575989783,25.840610704483264,27.024997339293318,late_2080s,ssp585,hot
scenario_time_slice_severity,ordinal,broad_tail,0.22,,100224,1503360,17592.09501243429,288926,18045,17144,35735,43396,25351,17690,18.004669540229884,17.105683269476373,35.655132503192846,43.29901021711366,25.29434067688378,17.650462962962962,17.55277679241927,19.218683482332906,late_2080s,ssp585,typical
scenario_time_slice_severity,ordinal,broad_tail,0.22,,100224,1503360,15373.596831915282,257160,16075,15163,32819,40198,24123,16744,16.039072477650063,15.129110791826308,32.745649744572155,40.10815772669221,24.069085249042146,16.706577266922096,15.339236941167067,17.105683269476373,mid_2050s,ssp585,heatwave_extreme
scenario_time_slice_severity,ordinal,broad_tail,0.22,,100224,1503360,14952.919521334994,249742,15606,14790,32021,39682,24076,16415,15.57112068965517,14.756944444444445,31.949433269476373,39.59331098339719,24.022190293742018,16.3783125798212,14.91949984168961,16.6122552149851,mid_2050s,ssp585,hot
scenario_time_slice_severity,ordinal,broad_tail,0.22,,100224,1503360,8793.513135789683,155291,9098,8095,22464,29485,20387,13366,9.077666028097063,8.076907726692209,22.413793103448278,29.41910121328225,20.341435185185187,13.336127075351214,8.773859690083894,10.329595040442742,mid_2050s,ssp585,typical
scenario_time_slice_severity,ordinal,broad_tail,0.22,,100224,1503360,7549.3467972919525,138354,7529,6550,22080,29809,22280,14551,7.512172733077906,6.535360791826308,22.03065134099617,29.74237707535121,22.230204342273307,14.518478607918265,7.53247405540784,9.202985312899106,near_2030s,ssp585,heatwave_extreme
scenario_time_slice_severity,ordinal,broad_tail,0.22,,100224,1503360,7610.095506193059,139702,7482,6422,22639,30964,23482,15157,7.465277777777778,6.40764687100894,22.588401979565774,30.894795657726693,23.429517879948914,15.123124201787993,7.593086991332474,9.292651128139633,near_2030s,ssp585,hot
scenario_time_slice_severity,ordinal,broad_tail,0.22,,100224,1503360,6471.084828157898,117496,6161,5352,18678,25909,19748,12517,6.147230204342273,5.340038314176245,18.63625478927203,25.851093550446997,19.703863346104725,12.489024584929757,6.456621994889346,7.81555981268625,near_2030s,ssp585,typical
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,7853.192349147663,141563,6906,6082,22045,30154,23248,15139,6.890565134099617,6.068406768837804,21.99572956577267,30.086606002554277,23.196040868454663,15.105164431673051,7.8356405143954175,9.416440506598553,baseline_2020s,ssp245,heatwave_extreme
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,7383.577962703148,135121,6386,5492,21847,29814,23428,15461,6.371727330779055,5.479725415070242,21.7981720945083,29.747365900383144,23.37563856960409,15.426444763729247,7.36707571310579,8.987933695189444,baseline_2020s,ssp245,hot
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,5722.979533096891,106919,4521,3844,18458,25793,21272,13937,4.510895593869732,3.835408684546616,18.41674648786718,25.735352809706256,21.224457215836527,13.905850893997446,5.710188710385626,7.112002447850149,baseline_2020s,ssp245,typical
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,15430.700266348731,260842,15314,14190,32990,40698,25384,17676,15.279773307790547,14.158285440613028,32.91626756066412,40.60704022988506,25.32726692209451,17.636494252873565,15.396212749789203,17.350601319710517,late_2080s,ssp245,heatwave_extreme
