weather,city,scenario_raw,time_slice,severity,weather_year,scenario,watts_person,met,bsa_m2,rows,mean_mu,mean_p_tail_mean_agg,p95_p_tail_mean_agg,high_tail_mean_agg_pct,mean_max_zone_p_tail,p95_max_zone_p_tail,any_zone_high_tail_pct,mean_p90_zone_p_tail,mean_zones_high_tail,warm_dominant_pct,cold_dominant_pct
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,COMP-Hi,110.0,1.1,1.7182130584192439,16704,0.3596171438694,0.13678190112113953,0.2984352871775627,19.21096743295019,0.2597988247871399,0.5244166851043701,59.43486590038314,0.21243375539779663,3.3326149425287355,66.32543103448276,0.6345785440613027
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,LEGACY,120.0,1.2,1.7182130584192439,16704,0.36213356256484985,0.1622827649116516,0.3091746047139168,25.880028735632184,0.28286024928092957,0.5213558077812195,66.31944444444444,0.23895210027694702,4.0119731800766285,75.6764846743295,0.7303639846743295
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,COMP-Lo,90.0,0.9,1.7182130584192439,16704,0.057927586138248444,0.0958702564239502,0.1510520614683628,0.5687260536398467,0.1500006765127182,0.2975656986236572,13.73323754789272,0.12818726897239685,0.29747365900383144,39.87667624521073,6.142241379310344
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,S-real,93.2,0.932,1.7182130584192439,16704,0.06705164909362793,0.09488586336374283,0.14961687475442878,0.5328065134099617,0.15266506373882294,0.3006022274494171,16.073994252873565,0.12959906458854675,0.3541666666666667,41.19971264367816,5.268199233716475
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,COMP-Med,100.0,1.0,1.7182130584192439,16704,0.004973342176526785,0.12693355977535248,0.1867519825696945,3.38242337164751,0.19500485062599182,0.37435781955718994,35.9794061302682,0.1691051423549652,1.028316570881226,36.29669540229885,33.872126436781606
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,EQ-Max,108.0,1.08,1.7182130584192439,16704,0.376526802778244,0.1532425582408905,0.32597554624080644,21.94683908045977,0.303744375705719,0.624157190322876,54.94492337164751,0.24933268129825592,2.7764607279693485,89.9485153256705,0.07183908045977011
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,COMP-Hi,110.0,1.1,1.7182130584192439,16704,0.28411880135536194,0.11518573015928268,0.2501599565148353,10.39272030651341,0.2278566062450409,0.5244166851043701,48.78472222222222,0.18432623147964478,2.126676245210728,57.26173371647509,0.8261494252873564
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,LEGACY,120.0,1.2,1.7182130584192439,16704,0.29473698139190674,0.13893471658229828,0.27174855172634105,15.211925287356323,0.25200751423835754,0.45902225375175476,56.46551724137932,0.21087734401226044,2.7366499042145596,68.5823754789272,0.9458812260536399
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,COMP-Lo,90.0,0.9,1.7182130584192439,16704,0.10444232821464539,0.10903651267290115,0.18520684987306588,3.1190134099616857,0.17280256748199463,0.36242175102233887,21.80316091954023,0.1481200009584427,0.6014128352490421,52.071360153256705,7.207854406130268
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,S-real,93.2,0.932,1.7182130584192439,16704,0.1177251935005188,0.1077607125043869,0.182435654848814,2.7658045977011496,0.1760227233171463,0.36242175102233887,24.14990421455939,0.15000101923942566,0.6467911877394636,52.73587164750958,6.579262452107279
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,COMP-Med,100.0,1.0,1.7182130584192439,16704,0.07551714777946472,0.1422419250011444,0.23054401353001588,10.961446360153257,0.22306500375270844,0.375043660402298,48.77274904214559,0.1936465948820114,1.9476772030651341,47.497605363984675,27.328783524904214
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,EQ-Max,108.0,1.08,1.7182130584192439,16704,0.46327176690101624,0.18599681556224823,0.3983860343694687,34.28520114942529,0.35445499420166016,0.6271936893463135,68.9176245210728,0.2955976128578186,4.419719827586207,91.18175287356321,0.11374521072796935
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,COMP-Hi,110.0,1.1,1.7182130584192439,16704,0.3707018792629242,0.14272204041481018,0.31221184581518174,21.00095785440613,0.2716599404811859,0.5259472131729126,63.086685823754785,0.22502437233924866,3.7148587164750957,67.28927203065133,1.6463122605363985
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,LEGACY,120.0,1.2,1.7182130584192439,16704,0.3645835816860199,0.16706064343452454,0.32487537413835516,27.975335249042143,0.2918735146522522,0.5244118213653564,69.41451149425288,0.24885641038417816,4.346264367816092,76.41283524904215,1.933668582375479
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,COMP-Lo,90.0,0.9,1.7182130584192439,16704,0.10444232821464539,0.10903651267290115,0.18520684987306588,3.1190134099616857,0.17280256748199463,0.36242175102233887,21.80316091954023,0.1481200009584427,0.6014128352490421,52.071360153256705,7.207854406130268
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,S-real,93.2,0.932,1.7182130584192439,16704,0.1177251935005188,0.1077607125043869,0.182435654848814,2.7658045977011496,0.1760227233171463,0.36242175102233887,24.14990421455939,0.15000101923942566,0.6467911877394636,52.73587164750958,6.579262452107279
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,COMP-Med,100.0,1.0,1.7182130584192439,16704,0.07551714777946472,0.1422419250011444,0.23054401353001588,10.961446360153257,0.22306500375270844,0.375043660402298,48.77274904214559,0.1936465948820114,1.9476772030651341,47.497605363984675,27.328783524904214
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,EQ-Max,108.0,1.08,1.7182130584192439,16704,0.46327176690101624,0.18599681556224823,0.3983860343694687,34.28520114942529,0.35445499420166016,0.6271936893463135,68.9176245210728,0.2955976128578186,4.419719827586207,91.18175287356321,0.11374521072796935
