scope,rows,weather_cases,city,mean_agg_threshold_flip_rows,mean_agg_threshold_flip_pct,max_zone_threshold_flip_rows,max_zone_threshold_flip_pct,sreal_mean_hidden_rows,sreal_mean_hidden_pct,sreal_zone_hidden_rows,sreal_zone_hidden_pct,direction_flip_rows,direction_flip_pct,mean_agg_p_tail_spread_mean,mean_agg_p_tail_spread_p95,max_zone_p_tail_spread_mean,max_zone_p_tail_spread_p95,sreal_mean_high_tail_pct,sreal_any_zone_high_tail_pct,time_slice,severity
city_time_slice,100224,6,Guangzhou,11981,11.954222541507024,29045,28.980084610472538,11964,11.937260536398467,28355,28.291626756066414,21590,21.54174648786718,0.05675694843133291,0.16853627488017073,0.1044129841029644,0.25655152251323043,0.18358876117496808,4.161677841634738,baseline_2020s,
city_time_slice,100224,6,Guangzhou,24900,24.84434865900383,36179,36.098140166028095,24718,24.662755427841635,34823,34.74517081736909,15767,15.73176085568327,0.08851986875136693,0.2223678565273682,0.1487274890144666,0.31580064594745627,7.452306832694764,20.18478607918263,late_2080s,
city_time_slice,100224,6,Guangzhou,18816,18.773946360153257,34867,34.789072477650066,18771,18.7290469348659,34016,33.93997445721584,18292,18.25111749680715,0.06830627098679543,0.20640110609432058,0.12373938287297885,0.28023307174444195,1.0526420817369093,8.741419220945083,mid_2050s,
city_time_slice,100224,6,Guangzhou,14344,14.311941251596425,31234,31.16419220945083,14326,14.293981481481483,30491,30.422852809706256,21990,21.940852490421456,0.060233919570843376,0.18073985104759527,0.10931748524308205,0.25699317852656045,0.3033205619412516,4.929956896551724,near_2030s,
city_time_slice,100224,6,Houston,16252,16.215676883780333,29717,29.650582694763727,16225,16.18873722860792,28850,28.78552043422733,16193,16.156808748403577,0.06358759167293708,0.18386204888423283,0.11026064803202947,0.2630493074655532,0.226492656449553,6.507423371647509,baseline_2020s,
city_time_slice,100224,6,Houston,22196,22.14639208173691,30993,30.92373084291188,22067,22.017680395913157,30287,30.219308748403577,15408,15.373563218390803,0.07952999944488208,0.22145053197940187,0.12880359217524529,0.3001055382192127,3.314575351213282,13.800087803320562,late_2080s,
city_time_slice,100224,6,Houston,18580,18.53847381864623,30761,30.692249361430395,18536,18.494572158365262,29934,29.867097701149426,17481,17.441930076628353,0.06833200467129548,0.20458794695635632,0.11558734998106956,0.26834803993503253,0.7802522349936143,8.879110791826308,mid_2050s,
city_time_slice,100224,6,Houston,17186,17.14758939974457,31623,31.552322796934867,17163,17.124640804597703,30643,30.574513090676884,17039,17.000917943805874,0.065073832248648,0.19395592187841726,0.11333462595939636,0.2653208126624425,0.3562021072796935,7.33955938697318,near_2030s,
city_time_slice,100224,6,Kolkata,17702,17.662436143039592,39969,39.879669540229884,17662,17.622525542784164,38842,38.7551883780332,21314,21.266363346104725,0.06606191086272399,0.19832050688564773,0.13174604500333467,0.2947657421231269,1.3539671136653895,8.250518837803321,baseline_2020s,
city_time_slice,100224,6,Kolkata,29619,29.552801724137932,40519,40.42844029374202,29264,29.19859514687101,38750,38.66339399744572,15155,15.121128671775224,0.09805693353215854,0.22857192407051719,0.17230381071567535,0.33226747189958883,10.26301085568327,27.609155491698594,late_2080s,
city_time_slice,100224,6,Kolkata,26059,26.000758301404854,41360,41.26756066411239,25812,25.754310344827587,39789,39.70007183908046,16899,16.86123084291188,0.09005885198712349,0.22553656063973895,0.16194538275400797,0.3277057260274887,7.38346104725415,21.120689655172413,mid_2050s,
city_time_slice,100224,6,Kolkata,18203,18.162316411238823,37974,37.88912835249042,18126,18.085488505747126,37052,36.96918901660281,21582,21.53376436781609,0.06703027275701363,0.2004607458909352,0.12774148707588515,0.2896431664625803,1.0975415070242656,8.165708812260537,near_2030s,
city_time_slice,100224,6,Phoenix,17686,17.646471902937417,52531,52.413593550447004,17428,17.389048531289912,49406,49.2955779054917,17070,17.03184865900383,0.07485768323143323,0.15597523190081108,0.1530993382136027,0.33057292476296424,1.3839000638569605,15.110153256704981,baseline_2020s,
city_time_slice,100224,6,Phoenix,23677,23.624082056194126,45678,45.575909961685824,22871,22.819883461047255,42204,42.109674329501914,14305,14.273028416347383,0.09195114051302274,0.2129710007458925,0.17821436127026877,0.339717298746109,9.93574393358876,27.627115261813536,late_2080s,
city_time_slice,100224,6,Phoenix,22271,22.221224457215836,50106,49.99401340996169,21723,21.674449233716476,46834,46.72932630906769,14378,14.345865261813536,0.0823698341846466,0.19165616383155182,0.16288117319345474,0.33460232118765515,4.448036398467433,20.071040868454663,mid_2050s,
city_time_slice,100224,6,Phoenix,22152,22.10249042145594,51994,51.87779374201787,21710,21.66147828863346,48535,48.42652458492976,14730,14.697078544061304,0.07939122741421063,0.17408417090773576,0.16190112133820853,0.33617038528124493,2.838641443167305,18.146352171136655,near_2030s,
