example_kind,weather,city,scenario_raw,time_slice,severity,weather_year,month,day,hour,current_time,outdoor_temp_c,mean_operative_temp_c,mean_rh_pct,example_score,mean_p_tail_min,mean_p_tail_max,mean_p_tail_spread,mean_min_scenario,mean_max_scenario,max_zone_p_tail_min,max_zone_p_tail_max,max_zone_p_tail_spread,zone_min_scenario,zone_max_scenario
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,11,21,14,14.5,33.31,26.04678572899842,46.70555726156908,0.4958113133907318,0.10675223171710968,0.1996968388557434,0.09294460713863373,S-real,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,1,8,17,17.75,32.75,25.873354598544815,47.50893486977141,0.4958113133907318,0.1031356155872345,0.1706954687833786,0.0675598531961441,S-real,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_late_2080s_hot_2088,Ahmedabad,ssp585,late_2080s,hot,2088,2,20,14,14.5,29.875,26.09263455941325,46.09724621284302,0.4958113133907318,0.10761786252260208,0.2073068469762802,0.09968898445367813,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,3,1,15,15.5,35.085,26.224562266140143,46.30095931464511,0.4958113133907318,0.11794089525938034,0.2123960256576538,0.09445513039827347,S-real,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,2,12,12,12.25,31.2575,26.227848044264416,45.9630035884289,0.4958113133907318,0.11493317782878876,0.2067379206418991,0.09180474281311035,S-real,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_mid_2050s_typical_2055,Ahmedabad,ssp585,mid_2050s,typical,2055,2,6,13,13.5,30.244999999999997,26.022708054975745,46.4075890173632,0.4958113133907318,0.11696593463420868,0.21218912303447723,0.09522318840026855,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,12,11,16,16.75,32.347500000000004,25.9875693026744,46.8189785075816,0.4958113133907318,0.10323766618967056,0.18182255327701569,0.07858488708734512,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,11,21,12,13.0,29.78,25.92625378419166,46.793886265697445,0.4958113133907318,0.11420731246471405,0.2027921974658966,0.08858488500118256,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,11,13,13,13.75,31.3475,26.01866954932728,47.02975170340289,0.4958113133907318,0.10739955306053162,0.19791732728481293,0.09051777422428131,S-real,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,11,14,14,14.5,32.03,26.08558862421262,46.37746581295448,0.4958113133907318,0.11390655487775803,0.20681308209896088,0.09290652722120285,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
