city,scenario_raw,time_slice,severity,weather_year,weather,occupied_records,mean_zone_high_tail_pct,any_zone_high_tail_pct,hidden_any_zone_high_tail_pct,area_weighted_zone_time_high_tail_pct,area_weighted_mean_p_tail,mean_zone_mean_p_tail,any_zone_mean_p_tail_max,zone_time_high_tail_pct_unweighted
Beijing,ssp585,mid_2050s,heatwave_extreme,2052,beijing_ssp585_mid_2050s_heatwave_extreme_2052,16704,9.464798850574713,20.791427203065137,11.326628352490422,9.600698213857685,0.1076583384425934,0.10623960084836623,0.1630546651208527,9.996408045977013
Beijing,ssp585,late_2080s,typical,2084,beijing_ssp585_late_2080s_typical_2084,16704,10.344827586206897,20.348419540229884,10.003591954022989,10.465315396449817,0.10925565138524362,0.1079934767431977,0.1607940675318856,10.760696040868455
Beijing,ssp585,late_2080s,hot,2089,beijing_ssp585_late_2080s_hot_2089,16704,12.27250957854406,24.568965517241377,12.296455938697317,12.331852050778823,0.11386356444435815,0.11249406651730191,0.1711098183695433,12.670418263090678
Beijing,ssp585,late_2080s,heatwave_extreme,2089,beijing_ssp585_late_2080s_heatwave_extreme_2089,16704,12.27250957854406,24.568965517241377,12.296455938697317,12.331852050778823,0.11386356444435815,0.11249406651730191,0.1711098183695433,12.670418263090678
Guangzhou,ssp245,baseline_2020s,typical,2025,guangzhou_ssp245_baseline_2020s_typical_2025,16704,7.764607279693486,23.503352490421456,15.73874521072797,7.0872269461561554,0.09101166690755771,0.09380468543740982,0.1433948837752795,8.24433269476373
Guangzhou,ssp245,baseline_2020s,hot,2027,guangzhou_ssp245_baseline_2020s_hot_2027,16704,4.2923850574712645,20.031130268199234,15.73874521072797,4.061904314951467,0.08224414135528604,0.0847343592638457,0.13418083153067714,4.8603128991060025
Guangzhou,ssp245,baseline_2020s,heatwave_extreme,2028,guangzhou_ssp245_baseline_2020s_heatwave_extreme_2028,16704,6.357758620689655,22.12045019157088,15.762691570881227,5.813737844547104,0.08773654004133064,0.09036720894934,0.14120317674265354,6.819125159642401
Guangzhou,ssp245,near_2030s,typical,2031,guangzhou_ssp245_near_2030s_typical_2031,16704,5.92073754789272,22.192289272030653,16.271551724137932,5.64958915025051,0.0871267753547942,0.08940962482374495,0.140243736651252,6.518997445721583
Guangzhou,ssp245,near_2030s,hot,2038,guangzhou_ssp245_near_2030s_hot_2038,16704,9.812021072796934,29.154693486590038,19.342672413793103,9.613799490278623,0.09832084427019307,0.10142612830480008,0.15806050100133015,10.94308748403576
Guangzhou,ssp245,near_2030s,heatwave_extreme,2034,guangzhou_ssp245_near_2030s_heatwave_extreme_2034,16704,5.938697318007663,21.485871647509576,15.547174329501914,5.941226838216116,0.08790690838762394,0.09021198321565294,0.13858988965356353,6.842273307790549
Guangzhou,ssp245,mid_2050s,typical,2054,guangzhou_ssp245_mid_2050s_typical_2054,16704,9.536637931034484,31.495450191570885,21.958812260536398,8.71804564458217,0.09738284582931073,0.10119243524116467,0.16561975098244558,10.253432311621967
Guangzhou,ssp245,mid_2050s,hot,2051,guangzhou_ssp245_mid_2050s_hot_2051,16704,11.835488505747128,30.531609195402297,18.69612068965517,10.762867590583712,0.1025521014748752,0.1057996459233252,0.16482696635769312,12.243773946360154
Guangzhou,ssp245,mid_2050s,heatwave_extreme,2055,guangzhou_ssp245_mid_2050s_heatwave_extreme_2055,16704,11.949233716475096,31.87859195402299,19.92935823754789,11.323826345880809,0.10252159928268306,0.10658370264337896,0.17029513334139662,12.780172413793103
Guangzhou,ssp245,late_2080s,typical,2084,guangzhou_ssp245_late_2080s_typical_2084,16704,9.698275862068966,32.21384099616858,22.515565134099617,8.807149490815787,0.09838375171331756,0.10228114809853599,0.16872446735897867,10.493694125159642
Guangzhou,ssp245,late_2080s,hot,2083,guangzhou_ssp245_late_2080s_hot_2083,16704,15.906369731800766,41.5948275862069,25.68845785440613,14.976861505490987,0.11423949845591877,0.11858023211677877,0.19385799270932902,16.898946360153257
Guangzhou,ssp245,late_2080s,heatwave_extreme,2088,guangzhou_ssp245_late_2080s_heatwave_extreme_2088,16704,20.88122605363985,42.223419540229884,21.342193486590038,19.023611505523675,0.12513869785311088,0.12890855195362153,0.20111248308468707,20.736350574712645
Guangzhou,ssp585,baseline_2020s,typical,2025,guangzhou_ssp585_baseline_2020s_typical_2025,16704,4.932950191570881,24.16786398467433,19.23491379310345,5.442090269120984,0.08712741370343124,0.08979140706357824,0.14399478012492517,6.477490421455939
Guangzhou,ssp585,baseline_2020s,hot,2028,guangzhou_ssp585_baseline_2020s_hot_2028,16704,7.52514367816092,24.359434865900383,16.834291187739463,6.83161848029501,0.09118907873259949,0.09367806930942289,0.1466655534820038,7.8528097062579825
Guangzhou,ssp585,baseline_2020s,heatwave_extreme,2026,guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,16704,8.147749042145595,25.718390804597703,17.57064176245211,8.105525137243843,0.09378338758088628,0.09616095792843381,0.1462168987448653,9.157088122605364
Guangzhou,ssp585,near_2030s,typical,2039,guangzhou_ssp585_near_2030s_typical_2039,16704,5.4238505747126435,22.569444444444446,17.1455938697318,5.71046400852634,0.08777266961445454,0.0898174643874171,0.13979083549282248,6.548930395913155
Guangzhou,ssp585,near_2030s,hot,2033,guangzhou_ssp585_near_2030s_hot_2033,16704,9.90780651340996,28.861350574712645,18.953544061302683,9.088006849170691,0.09808437693258519,0.10138717299573388,0.1592808953370112,10.612228607918263
Guangzhou,ssp585,near_2030s,heatwave_extreme,2033,guangzhou_ssp585_near_2030s_heatwave_extreme_2033,16704,9.90780651340996,28.861350574712645,18.953544061302683,9.088006849170691,0.09808437693258519,0.10138717299573388,0.1592808953370112,10.612228607918263
Guangzhou,ssp585,mid_2050s,typical,2050,guangzhou_ssp585_mid_2050s_typical_2050,16704,12.990900383141762,32.06417624521073,19.073275862068968,11.852419767968291,0.10436617024928495,0.10757308791423269,0.16809348520370637,13.243534482758621
Guangzhou,ssp585,mid_2050s,hot,2057,guangzhou_ssp585_mid_2050s_hot_2057,16704,11.673850574712644,34.375,22.701149425287355,11.039840626872305,0.10313876850954169,0.1068187490976045,0.17511741232664352,12.583014048531291
Guangzhou,ssp585,mid_2050s,heatwave_extreme,2059,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,16704,13.709291187739463,38.05675287356322,24.347461685823752,13.51499416880784,0.11027793428944344,0.11411674882310983,0.18415427831288086,15.194763729246489
Guangzhou,ssp585,late_2080s,typical,2087,guangzhou_ssp585_late_2080s_typical_2087,16704,19.86949233716475,50.58069923371647,30.711206896551722,19.91445736370038,0.12594251501133452,0.13025543781862098,0.22133747944620435,21.61198914431673
Guangzhou,ssp585,late_2080s,hot,2086,guangzhou_ssp585_late_2080s_hot_2086,16704,38.18247126436782,55.92672413793104,17.74425287356322,36.87953709744377,0.17261985879536224,0.1757109829415866,0.26827496859043604,37.7662037037037
Guangzhou,ssp585,late_2080s,heatwave_extreme,2086,guangzhou_ssp585_late_2080s_heatwave_extreme_2086,16704,38.18247126436782,55.92672413793104,17.74425287356322,36.87953709744377,0.17261985879536224,0.1757109829415866,0.26827496859043604,37.7662037037037
Houston,ssp245,baseline_2020s,typical,2027,houston_ssp245_baseline_2020s_typical_2027,16704,4.130747126436781,17.043821839080458,12.913074712643677,3.8513358192994556,0.08194091109171837,0.08484949442957729,0.13045953750679778,4.75933908045977
Houston,ssp245,baseline_2020s,hot,2026,houston_ssp245_baseline_2020s_hot_2026,16704,8.536877394636015,26.945641762452105,18.40876436781609,7.355780072141872,0.09315149679763271,0.09756101243017874,0.15524548447665226,9.106002554278417
Houston,ssp245,baseline_2020s,heatwave_extreme,2026,houston_ssp245_baseline_2020s_heatwave_extreme_2026,16704,8.536877394636015,26.945641762452105,18.40876436781609,7.355780072141872,0.09315149679763271,0.09756101243017874,0.15524548447665226,9.106002554278417
Houston,ssp245,near_2030s,typical,2033,houston_ssp245_near_2030s_typical_2033,16704,9.997605363984674,23.976293103448278,13.978687739463602,8.524513238569577,0.0954969348757316,0.09903529914997707,0.14843315766576703,10.1352969348659
Houston,ssp245,near_2030s,hot,2038,houston_ssp245_near_2030s_hot_2038,16704,9.722222222222223,30.465756704980844,20.743534482758623,8.761269627566648,0.09769170054184034,0.10262302708821766,0.1670981515191717,10.660121328224777
Houston,ssp245,near_2030s,heatwave_extreme,2039,houston_ssp245_near_2030s_heatwave_extreme_2039,16704,10.949473180076629,24.377394636015325,13.427921455938696,9.17224574912851,0.09750061784552817,0.10115641586173661,0.15258637654540158,10.769476372924649
Houston,ssp245,mid_2050s,typical,2052,houston_ssp245_mid_2050s_typical_2052,16704,10.859674329501916,23.53927203065134,12.679597701149426,9.524224521461923,0.0960860128561541,0.09918203355254253,0.1466876422733586,10.888809067688378
