artifact_type,path,bytes,sha256
selected_epw,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_mid_2050s_hot_2053.epw,1363912,a09bfc4434422f5e90cd6f4a080d8548b172d01406f1542e7b773fdb16ca2137
selected_epw,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_mid_2050s_typical_2058.epw,1364071,9f7d87a7f6c7288fa4c87c22ca4edcc13bef9c3ae27f39265d811aaaae19bf32
selected_epw,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_near_2030s_heatwave_extreme_2039.epw,1363672,a043315fd57abb00f1b81da21485cce585b9a5ff13d9d9b0c7def089d2c3b530
selected_epw,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_near_2030s_hot_2031.epw,1364171,04baa2910d9d3353d754299af6eb4155f10f35c558a433c5dfc815654a9ac809
selected_epw,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_near_2030s_typical_2036.epw,1367624,4d279250d80d723abf1ee950f269cda595ab8d523809d71c8e73044287d360c3
selected_epw,checksum-only://selected_weather/ssp245/Phoenix/phoenix_ssp245_baseline_2020s_heatwave_extreme_2025.epw,1361240,739b4c9b78036682d78249c67c6fc7362661ae5857d6c3e9b44dfcac23506764
selected_epw,checksum-only://selected_weather/ssp245/Phoenix/phoenix_ssp245_baseline_2020s_hot_2028.epw,1364667,b050175649159794b951d8a0aca50cf751c68e395e61b795de0a7f183372f49b
selected_epw,checksum-only://selected_weather/ssp245/Phoenix/phoenix_ssp245_baseline_2020s_typical_2026.epw,1361545,3da444e057a0d6749af7508d999b8790a4cbd1a6650280ab611fbbd793f6d53e
selected_epw,checksum-only://selected_weather/ssp245/Phoenix/phoenix_ssp245_late_2080s_heatwave_extreme_2086.epw,1362217,f87b95955ecfd2b6a1983be6d0a8a8064ddef92f32e1af75b5930dcedb340920
selected_epw,checksum-only://selected_weather/ssp245/Phoenix/phoenix_ssp245_late_2080s_hot_2086.epw,1362204,ca7283687dd5e03154fc5578eb9b525c4c6f67a840255a4474c55657d2925319
selected_epw,checksum-only://selected_weather/ssp245/Phoenix/phoenix_ssp245_late_2080s_typical_2081.epw,1360748,e68fbf2aa074ed620e60a10cf8bd3b17cb0104f87d65d1f2cf8751e546ee2721
selected_epw,checksum-only://selected_weather/ssp245/Phoenix/phoenix_ssp245_mid_2050s_heatwave_extreme_2051.epw,1360995,8f62d9d501e0f382c60eea88fcf88bc68303433450e1384ccb4f8e9df4ab7a4e
selected_epw,checksum-only://selected_weather/ssp245/Phoenix/phoenix_ssp245_mid_2050s_hot_2058.epw,1361521,2e4c803ad433e62f9a163dbcff3dfc51896d549adfd1f8566e4fcf38d001981b
selected_epw,checksum-only://selected_weather/ssp245/Phoenix/phoenix_ssp245_mid_2050s_typical_2054.epw,1360960,e464afb09bea5b81339c4e64403f872dfff64de604cc6270dc67f025c117fe74
selected_epw,checksum-only://selected_weather/ssp245/Phoenix/phoenix_ssp245_near_2030s_heatwave_extreme_2039.epw,1360426,bd4baf3eed1e2a657459b5f832045977e877231ab86dd49d2379d8ae25ac199a
selected_epw,checksum-only://selected_weather/ssp245/Phoenix/phoenix_ssp245_near_2030s_hot_2039.epw,1360413,e72acc010128473b227a68d326342d7ee4d48f5a88a1539a12f914ec05baa59d
selected_epw,checksum-only://selected_weather/ssp245/Phoenix/phoenix_ssp245_near_2030s_typical_2034.epw,1361467,f368f185ccf0f2aeb9e9328d89ce92476450866d315f39ee97ac8d2035a5ba6c
selected_epw,checksum-only://selected_weather/ssp585/Ahmedabad/ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027.epw,1366568,91b9c6df0f88068df51e23418b8e5370f807f98e89d64cf61c11b60863262acd
selected_epw,checksum-only://selected_weather/ssp585/Ahmedabad/ahmedabad_ssp585_baseline_2020s_hot_2027.epw,1366555,6257c1d045e88e782ffba17ea9828a9e00462715fac2f8c7ca8b861916995c6a
