case_id,city,scenario,time_slice,severity,weather_year,manifest_mean_temp_c,manifest_cdh18_c_hour,manifest_max_temp_c,manifest_hours_temp_ge_35,manifest_mean_rh_pct,epw_path,data_rows,calendar_years,invalid_field_width_rows,body_sha256,transform_sha256,mean_temp_c,min_temp_c,max_temp_c,cdh18_c_hour,hours_temp_ge_35,mean_rh_pct,min_rh_pct,max_rh_pct,dewpoint_above_drybulb_rows,min_pressure_pa,max_pressure_pa,annual_ghi_kwh_m2,max_ghi_w_m2,max_dni_w_m2,max_dhi_w_m2,max_wind_m_s,broad_range_violation_rows,mean_temp_difference_c,max_temp_difference_c,cdh18_difference_c_hour,hours_ge_35_difference,mean_rh_difference_pct_point
beijing_ssp245_late_2080s_heatwave_extreme_2084,Beijing,ssp245,late_2080s,heatwave_extreme,2084,16.177915,35390.321765,39.979187,254,56.198282,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_late_2080s_heatwave_extreme_2084.epw,8784,2084,0,522121311c489c4558e3a58902e0045ebbe0eacf6c951a009d62e7b7c2a70f67,1e51f9d0e4688b05d388fffce6b50a1cc15c45dfee95a40160e059d80abe77a7,16.17790869763206,-9.48,39.98,35390.28,255,56.20184426229508,27.0,93.0,0,99407.0,104012.0,1741.226,873.0,728.0,612.0,12.66,0,-6.302367939525766e-06,0.0008129999999937354,-0.0417650000017602,1,0.00356226229508394
beijing_ssp245_late_2080s_hot_2084,Beijing,ssp245,late_2080s,hot,2084,16.177915,35390.321765,39.979187,254,56.198282,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_late_2080s_hot_2084.epw,8784,2084,0,522121311c489c4558e3a58902e0045ebbe0eacf6c951a009d62e7b7c2a70f67,1e51f9d0e4688b05d388fffce6b50a1cc15c45dfee95a40160e059d80abe77a7,16.17790869763206,-9.48,39.98,35390.28,255,56.20184426229508,27.0,93.0,0,99407.0,104012.0,1741.226,873.0,728.0,612.0,12.66,0,-6.302367939525766e-06,0.0008129999999937354,-0.0417650000017602,1,0.00356226229508394
beijing_ssp245_late_2080s_typical_2083,Beijing,ssp245,late_2080s,typical,2083,14.95623,32002.105599,38.462551,152,56.213789,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_late_2080s_typical_2083.epw,8760,2083,0,548bbff76bee81d0bee5006966d28fa933c9724267046abcc829dd7da4df4b14,30c413b4b6ab5b64e7eb9fd266313f9b8f8cbd528c002028ee554d036dc8d868,14.95624315068493,-10.6,38.46,32002.22,153,56.214497716894975,27.0,93.0,0,99119.0,104665.0,1680.219,876.0,727.0,603.0,9.57,0,1.3150684930351986e-05,-0.0025509999999968613,0.1144010000025446,1,0.0007087168949766465
beijing_ssp245_mid_2050s_heatwave_extreme_2050,Beijing,ssp245,mid_2050s,heatwave_extreme,2050,15.911342,33146.445686,41.480051,161,56.245852,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_mid_2050s_heatwave_extreme_2050.epw,8760,2050,0,6d7ffb99a5c7c5a4b5c8508332a20cf4dcffd34d0520c709c9114fef8a44cb8b,4b8ad6535675a00072ba22b3cf172599ee767b94800d3be709e35477a6883ae5,15.911307077625569,-8.7,41.48,33146.18,161,56.25547945205479,27.0,94.0,0,99345.0,104645.0,1710.469,897.0,728.0,565.0,9.1,0,-3.492237443047941e-05,-5.10000000062405e-05,-0.2656859999988228,0,0.00962745205479365
beijing_ssp245_mid_2050s_hot_2050,Beijing,ssp245,mid_2050s,hot,2050,15.911342,33146.445686,41.480051,161,56.245852,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_mid_2050s_hot_2050.epw,8760,2050,0,6d7ffb99a5c7c5a4b5c8508332a20cf4dcffd34d0520c709c9114fef8a44cb8b,4b8ad6535675a00072ba22b3cf172599ee767b94800d3be709e35477a6883ae5,15.911307077625569,-8.7,41.48,33146.18,161,56.25547945205479,27.0,94.0,0,99345.0,104645.0,1710.469,897.0,728.0,565.0,9.1,0,-3.492237443047941e-05,-5.10000000062405e-05,-0.2656859999988228,0,0.00962745205479365
beijing_ssp245_mid_2050s_typical_2056,Beijing,ssp245,mid_2050s,typical,2056,13.836386,28629.57452,35.821441,16,56.203445,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_mid_2050s_typical_2056.epw,8784,2056,0,7c8a14e4da9aeaafd2361c3d94f2fc0c1cd4d019fc5f810652137d3cde4ed6d0,7cb0e3446b9a7fb4f09f5af64a9c37327673c3156a6833cfb28178b609110931,13.836416211293262,-12.73,35.82,28629.77,16,56.20389344262295,27.0,93.0,0,98898.0,104771.0,1637.788,887.0,727.0,551.0,10.75,0,3.0211293262638605e-05,-0.0014409999999998035,0.19548000000213506,0,0.0004484426229467431
beijing_ssp245_near_2030s_heatwave_extreme_2039,Beijing,ssp245,near_2030s,heatwave_extreme,2039,12.716815,23705.363877,36.561024,8,56.254054,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_near_2030s_heatwave_extreme_2039.epw,8760,2039,0,5b3ec10bd62d85baf976fafa1876e95917501b8ea6d3bc5d1dbc2770f1263686,013c3d5904a475e1b034d42c7975a6390b47cae288e168e4aed77dd43683b02c,12.716832191780822,-14.11,36.56,23705.4,8,56.25673515981735,27.0,93.0,0,99474.0,104767.0,1542.518,831.0,728.0,368.0,9.67,0,1.7191780822045644e-05,-0.001024000000001024,0.03612300000168034,0,0.0026811598173566153
beijing_ssp245_near_2030s_hot_2034,Beijing,ssp245,near_2030s,hot,2034,13.676108,25930.034675,35.467135,7,56.234342,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_near_2030s_hot_2034.epw,8760,2034,0,4b566ec592c7386c10876a7b2728b3bdc93345ea60c9f344f4a3ba18521f4d86,5a0ede4791cfe0fe73cebbf8c2b6df4f44f63bff6c1a32e43c6df05fed1e3f19,13.676070776255708,-12.3,35.47,25929.780000000002,7,56.23710045662101,27.0,93.0,0,99195.0,104347.0,1617.191,864.0,728.0,476.0,11.12,0,-3.722374429138142e-05,0.0028649999999998954,-0.2546749999964959,0,0.0027584566210094863
beijing_ssp245_near_2030s_typical_2035,Beijing,ssp245,near_2030s,typical,2035,12.562019,24892.614296,34.861485,0,56.236791,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_near_2030s_typical_2035.epw,8760,2035,0,ac45890d2a099cdd99b2bbd07ab35b33f3afe9590bc046d9e0f4e53a94314838,e4564de457bcaf8673d4b24d9a5e3ad81ee3fd220e7ea49babd258d7f59c447b,12.562023972602738,-13.24,34.86,24892.769999999997,0,56.239497716894974,27.0,93.0,0,99276.0,104686.0,1535.793,760.0,728.0,512.0,11.66,0,4.9726027384622284e-06,-0.001485000000002401,0.15570399999705842,0,0.002706716894977035
beijing_ssp585_baseline_2020s_heatwave_extreme_2029,Beijing,ssp585,baseline_2020s,heatwave_extreme,2029,13.001206,25597.389777,35.826267,14,56.273923,checksum-only://selected_weather/ssp585/Beijing/beijing_ssp585_baseline_2020s_heatwave_extreme_2029.epw,8760,2029,0,fc7ee2a2821718a92ee217eed43b6d3ebe4a4ab13c0e2c099efaa707d7537cdd,071710f2a0feb2e98478d862e83d265a13558b7a882a8025cc8d1e47fc1af10c,13.001245433789954,-17.62,35.83,25597.460000000003,14,56.2791095890411,27.0,94.0,0,99307.0,104442.0,1601.965,838.0,728.0,490.0,11.28,0,3.94337899543018e-05,0.0037329999999968777,0.07022300000244286,0,0.0051865890410951465
