city,scenario,weather_year,case_id_canonical,source_csv,epw_path,source_rows,epw_rows,expected_transform_sha256,epw_transform_sha256,exact_transform_match
Houston,ssp245,2052,houston_ssp245_mid_2050s_typical_2052,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Houston/forecast_Houston_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Houston/houston_ssp245_mid_2050s_typical_2052.epw,8784,8784,3e8eb0c7a6145a43c2d916cd972b07e915569ac4b3c66045cd1baa00a870b633,3e8eb0c7a6145a43c2d916cd972b07e915569ac4b3c66045cd1baa00a870b633,True
Houston,ssp245,2056,houston_ssp245_mid_2050s_hot_2056,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Houston/forecast_Houston_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Houston/houston_ssp245_mid_2050s_hot_2056.epw,8784,8784,22966c462db1650dfaa1316b6c8a43beb2a1eddf6576cd308cb9f0cd70bd7db3,22966c462db1650dfaa1316b6c8a43beb2a1eddf6576cd308cb9f0cd70bd7db3,True
Houston,ssp245,2058,houston_ssp245_mid_2050s_heatwave_extreme_2058,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Houston/forecast_Houston_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Houston/houston_ssp245_mid_2050s_heatwave_extreme_2058.epw,8760,8760,8adc8bd82437411b7b51386e439f88dbec61dd0dd0062a368741bd9defc3c4e1,8adc8bd82437411b7b51386e439f88dbec61dd0dd0062a368741bd9defc3c4e1,True
Houston,ssp245,2081,houston_ssp245_late_2080s_heatwave_extreme_2081,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Houston/forecast_Houston_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Houston/houston_ssp245_late_2080s_heatwave_extreme_2081.epw,8760,8760,f02528da635222e0e0ebbdcc82c5f43c52a1266cb1b8b2f7a51132984fc0d47f,f02528da635222e0e0ebbdcc82c5f43c52a1266cb1b8b2f7a51132984fc0d47f,True
Houston,ssp245,2085,houston_ssp245_late_2080s_hot_2085,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Houston/forecast_Houston_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Houston/houston_ssp245_late_2080s_hot_2085.epw,8760,8760,909736b795eccf11a9e6edb00db2abdbae77a3432b1079e8c8982e7bccb43680,909736b795eccf11a9e6edb00db2abdbae77a3432b1079e8c8982e7bccb43680,True
Houston,ssp245,2086,houston_ssp245_late_2080s_typical_2086,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Houston/forecast_Houston_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Houston/houston_ssp245_late_2080s_typical_2086.epw,8760,8760,ba08980c85d8ad8f05b30fabe90faa97598547dc6b824bc144e85c35dd06b36a,ba08980c85d8ad8f05b30fabe90faa97598547dc6b824bc144e85c35dd06b36a,True
Kolkata,ssp245,2026,kolkata_ssp245_baseline_2020s_typical_2026,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Kolkata/forecast_Kolkata_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_baseline_2020s_typical_2026.epw,8760,8760,c2d77d4983833e2354860d932f2e9843eb7e9565e67c1ca99f2e8e6baf8e1caa,c2d77d4983833e2354860d932f2e9843eb7e9565e67c1ca99f2e8e6baf8e1caa,True
Kolkata,ssp245,2027,kolkata_ssp245_baseline_2020s_heatwave_extreme_2027,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Kolkata/forecast_Kolkata_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_baseline_2020s_heatwave_extreme_2027.epw,8760,8760,3652383524600dd9f5f8244f82cd502b8d3c90387dce96ba180bc2dbfd6af5b7,3652383524600dd9f5f8244f82cd502b8d3c90387dce96ba180bc2dbfd6af5b7,True
Kolkata,ssp245,2028,kolkata_ssp245_baseline_2020s_hot_2028,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Kolkata/forecast_Kolkata_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_baseline_2020s_hot_2028.epw,8784,8784,889b61afbbfe32e449dd0641ef46d14a8b65fae4f52554b9566c2ad30d991add,889b61afbbfe32e449dd0641ef46d14a8b65fae4f52554b9566c2ad30d991add,True
Kolkata,ssp245,2031,kolkata_ssp245_near_2030s_hot_2031,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Kolkata/forecast_Kolkata_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_near_2030s_hot_2031.epw,8760,8760,7f6290014eecce7a360e0eb5121ee942f857833eb3161f857d8f715182b2d817,7f6290014eecce7a360e0eb5121ee942f857833eb3161f857d8f715182b2d817,True
