model,component,bin_left,bin_right,n,mean_predicted_probability,observed_frequency,absolute_calibration_error,binomial_se
nominal,warm_endpoint,0.5,1.0,157,0.6880841490763505,0.7452229299363057,0.05713878085995516,0.03477550520116883
nominal,broad_tail,0.0,0.01,2,0.007817254415104643,0.0,0.007817254415104643,0.0
nominal,broad_tail,0.01,0.025,211,0.018983841837663856,0.014218009478672985,0.004765832358990871,0.00815020648857059
nominal,broad_tail,0.025,0.05,687,0.03963363634268636,0.03056768558951965,0.00906595075316671,0.006567675040675547
nominal,broad_tail,0.05,0.075,1506,0.06399208454396477,0.055776892430278883,0.008215192113685883,0.0059136005205177875
nominal,broad_tail,0.075,0.1,2198,0.08823682367098164,0.0705186533212011,0.017718170349780543,0.005460828031641175
nominal,broad_tail,0.1,0.15,4820,0.12308949966081142,0.11120331950207468,0.011886180158736742,0.0045283143620301015
nominal,broad_tail,0.15,0.2,4082,0.17441862941131991,0.16805487506124447,0.00636375435007544,0.005852432293539498
nominal,broad_tail,0.2,0.3,4660,0.24233310936750832,0.2369098712446352,0.005423238122873125,0.006228544015059145
nominal,broad_tail,0.3,0.5,2892,0.3745584903536102,0.3983402489626556,0.023781758609045356,0.009103395909669259
nominal,broad_tail,0.5,1.0,1165,0.6609350125489841,0.711587982832618,0.050652970283633914,0.013272661421869811
