weather,city,scenario,time_slice,severity,weather_year,trace_path,file_bytes,file_mtime_ns,analysis_state_sha256,occupied_steps,reused_previous_state_inference,corrected_zone_npz,corrected_zone_npz_sha256
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,Ahmedabad,ssp585,near_2030s,heatwave_extreme,2037,checksum-only://simulation_traces/ahmedabad_ssp585_near_2030s_heatwave_extreme_2037_diagnostic_reference.csv,70356102,1781603599540337968,468b3e53a7f6a6177a4fa444d418ec938c50b48d71f0566cd58a3900cf0619e1,16704,False,checksum-only://corrected_zone_npz/468b3e53a7f6a6177a4fa444d418ec938c50b48d71f0566cd58a3900cf0619e1.npz,3f728a8297a9c18ccbbd71aecdc2bdf2752f41df0dcdabdea3d4bc67bdbd3bb7
ahmedabad_ssp585_near_2030s_hot_2037,Ahmedabad,ssp585,near_2030s,hot,2037,checksum-only://simulation_traces/ahmedabad_ssp585_near_2030s_hot_2037_diagnostic_reference.csv,69900582,1781603657987645962,468b3e53a7f6a6177a4fa444d418ec938c50b48d71f0566cd58a3900cf0619e1,16704,True,checksum-only://corrected_zone_npz/468b3e53a7f6a6177a4fa444d418ec938c50b48d71f0566cd58a3900cf0619e1.npz,3f728a8297a9c18ccbbd71aecdc2bdf2752f41df0dcdabdea3d4bc67bdbd3bb7
ahmedabad_ssp585_near_2030s_typical_2031,Ahmedabad,ssp585,near_2030s,typical,2031,checksum-only://simulation_traces/ahmedabad_ssp585_near_2030s_typical_2031_diagnostic_reference.csv,70050997,1781603716446638270,0a6fae5b8c3feb580e078949424689e87e4b5cd03cf31a91e41a0ab2ddd61e09,16704,False,checksum-only://corrected_zone_npz/0a6fae5b8c3feb580e078949424689e87e4b5cd03cf31a91e41a0ab2ddd61e09.npz,b747f4ecff388e8d3c83291a045acfb6f5cff99d5a002c8f822a1cdf1cbd06c2
beijing_ssp245_baseline_2020s_heatwave_extreme_2025,Beijing,ssp245,baseline_2020s,heatwave_extreme,2025,checksum-only://simulation_traces/beijing_ssp245_baseline_2020s_heatwave_extreme_2025_diagnostic_reference.csv,70779205,1781603774051993149,f41638845eb57abe1b03f2c9249b7264602f55f6ba371a3f2b4d46a7723fec53,16704,False,checksum-only://corrected_zone_npz/f41638845eb57abe1b03f2c9249b7264602f55f6ba371a3f2b4d46a7723fec53.npz,bd336199fbe43450c3d36491f9a0591f86695636629a309950e506f9a5749789
beijing_ssp245_baseline_2020s_hot_2025,Beijing,ssp245,baseline_2020s,hot,2025,checksum-only://simulation_traces/beijing_ssp245_baseline_2020s_hot_2025_diagnostic_reference.csv,70323685,1781603833912316994,f41638845eb57abe1b03f2c9249b7264602f55f6ba371a3f2b4d46a7723fec53,16704,True,checksum-only://corrected_zone_npz/f41638845eb57abe1b03f2c9249b7264602f55f6ba371a3f2b4d46a7723fec53.npz,bd336199fbe43450c3d36491f9a0591f86695636629a309950e506f9a5749789
beijing_ssp245_baseline_2020s_typical_2026,Beijing,ssp245,baseline_2020s,typical,2026,checksum-only://simulation_traces/beijing_ssp245_baseline_2020s_typical_2026_diagnostic_reference.csv,70560096,1781603893044887190,54cffa022e03e1253d0a64acfde9cb2ad01163e0a6efbb9a5a4b071dd9ec70d6,16704,False,checksum-only://corrected_zone_npz/54cffa022e03e1253d0a64acfde9cb2ad01163e0a6efbb9a5a4b071dd9ec70d6.npz,f4f2dc55028c054b674f1f1b8b986d01e9d7f43aba33d3a7a2c11d5d26ec91df
beijing_ssp245_late_2080s_heatwave_extreme_2084,Beijing,ssp245,late_2080s,heatwave_extreme,2084,checksum-only://simulation_traces/beijing_ssp245_late_2080s_heatwave_extreme_2084_diagnostic_reference.csv,70572137,1781603952087751443,55f30099243d212003ebe7a5c04fff9306df81159d60e512cd78ea7a2a5a6558,16704,False,checksum-only://corrected_zone_npz/55f30099243d212003ebe7a5c04fff9306df81159d60e512cd78ea7a2a5a6558.npz,0ee3109b2fc0793871ee84b87ee1845f3e0005e042a0c6c88b9af2ffa6dd26c3
beijing_ssp245_late_2080s_hot_2084,Beijing,ssp245,late_2080s,hot,2084,checksum-only://simulation_traces/beijing_ssp245_late_2080s_hot_2084_diagnostic_reference.csv,70116617,1781604010982504609,55f30099243d212003ebe7a5c04fff9306df81159d60e512cd78ea7a2a5a6558,16704,True,checksum-only://corrected_zone_npz/55f30099243d212003ebe7a5c04fff9306df81159d60e512cd78ea7a2a5a6558.npz,0ee3109b2fc0793871ee84b87ee1845f3e0005e042a0c6c88b9af2ffa6dd26c3
beijing_ssp245_late_2080s_typical_2083,Beijing,ssp245,late_2080s,typical,2083,checksum-only://simulation_traces/beijing_ssp245_late_2080s_typical_2083_diagnostic_reference.csv,70292072,1781604071532882062,f5c8c4568aa865e644f6e3976364a74ea604558cc4b44d33ab5b322ba97ef3ec,16704,False,checksum-only://corrected_zone_npz/f5c8c4568aa865e644f6e3976364a74ea604558cc4b44d33ab5b322ba97ef3ec.npz,cfd2cc67dc0dab39f3f8109ce451548c8eb8260287ea3c65dd56f0daebc19189
beijing_ssp245_mid_2050s_heatwave_extreme_2050,Beijing,ssp245,mid_2050s,heatwave_extreme,2050,checksum-only://simulation_traces/beijing_ssp245_mid_2050s_heatwave_extreme_2050_diagnostic_reference.csv,70553609,1781604130664441305,b393995a38e165e399eee3579acd4bb70ad4eacaf3d784d63c4f12dd1252b11f,16704,False,checksum-only://corrected_zone_npz/b393995a38e165e399eee3579acd4bb70ad4eacaf3d784d63c4f12dd1252b11f.npz,acd633e178bffa9cbde3940b32f1f47eb63d5fd64330c96bd96257392cd5f40f
beijing_ssp245_mid_2050s_hot_2050,Beijing,ssp245,mid_2050s,hot,2050,checksum-only://simulation_traces/beijing_ssp245_mid_2050s_hot_2050_diagnostic_reference.csv,70098089,1781604189744829823,b393995a38e165e399eee3579acd4bb70ad4eacaf3d784d63c4f12dd1252b11f,16704,True,checksum-only://corrected_zone_npz/b393995a38e165e399eee3579acd4bb70ad4eacaf3d784d63c4f12dd1252b11f.npz,acd633e178bffa9cbde3940b32f1f47eb63d5fd64330c96bd96257392cd5f40f
beijing_ssp245_mid_2050s_typical_2056,Beijing,ssp245,mid_2050s,typical,2056,checksum-only://simulation_traces/beijing_ssp245_mid_2050s_typical_2056_diagnostic_reference.csv,70325845,1781604249047661205,2cb806956e74805c11ec3ff09283a73fe7afa607e7976ec3036dd46a2fcd01a7,16704,False,checksum-only://corrected_zone_npz/2cb806956e74805c11ec3ff09283a73fe7afa607e7976ec3036dd46a2fcd01a7.npz,0e4b3299b7c126d2361f22be32c7529e644e54ae1d63a0e173cbce35d04b5e85
beijing_ssp245_near_2030s_heatwave_extreme_2039,Beijing,ssp245,near_2030s,heatwave_extreme,2039,checksum-only://simulation_traces/beijing_ssp245_near_2030s_heatwave_extreme_2039_diagnostic_reference.csv,70713152,1781604308418462859,d04f212755242b6a78c5565d142d684c87b263be6ce0094b814f2f49b68bc710,16704,False,checksum-only://corrected_zone_npz/d04f212755242b6a78c5565d142d684c87b263be6ce0094b814f2f49b68bc710.npz,8f359262a22bc06dc63eaca21e129f93074baeb73a97276a806d8e1e8a8779b3
beijing_ssp245_near_2030s_hot_2034,Beijing,ssp245,near_2030s,hot,2034,checksum-only://simulation_traces/beijing_ssp245_near_2030s_hot_2034_diagnostic_reference.csv,70222142,1781604369081849682,ad1141d1413227533fd44aa8c3312c7131ff62d58571a016015c68c60950b7c3,16704,False,checksum-only://corrected_zone_npz/ad1141d1413227533fd44aa8c3312c7131ff62d58571a016015c68c60950b7c3.npz,2a63e1fc7feb041ce8e59cfe5bc7c93ad7f88944da1d32f7ae1b04a74cf26af7
