group_scope,model,event,threshold,n_steps,n_zone_steps,area_zone_time_mass,unweighted_zone_high_count,equal_zone_mean_high_count,area_weighted_mean_high_count,zone_p90_high_count,any_zone_high_count,hidden_any_zone_count,hidden_p90_count,equal_zone_mean_high_pct,area_weighted_mean_high_pct,zone_p90_high_pct,any_zone_high_pct,hidden_any_zone_pct,hidden_p90_pct,area_weighted_zone_time_high_pct,unweighted_zone_time_high_pct
global,nominal,broad_tail,0.06,2405376,36080640,2309742.365714675,34222749,2371660,2388085,2403160,2405121,33461,31545,98.59830646019583,99.28115188644104,99.90787303107706,99.98939874680715,1.391092286611324,1.3114373802681993,96.02417109485897,94.85072604033631
global,nominal,broad_tail,0.07,2405376,36080640,1978947.2440212024,29348742,2147284,2192607,2346739,2389318,242034,199551,89.27020141549595,91.15443905651341,97.56225222169009,99.3324120636441,10.062210648148149,8.296041866219667,82.27184623199044,81.34207708067262
global,nominal,broad_tail,0.08,2405376,36080640,1300036.4422934498,19790241,1554321,1547331,1983961,2196407,642086,431274,64.61862927043423,64.32803021232439,82.4802858264155,91.31241851585781,26.69378924542358,17.929587723499363,54.04711954777339,54.850027604831844
global,nominal,broad_tail,0.09,2405376,36080640,986566.0095921675,15274531,1202029,1152760,1628175,1911531,709502,428276,49.97260303586633,47.924316198382286,67.68900163633461,79.46911418422732,29.496511148361005,17.804950244785015,41.015043369193315,42.334423668759754
global,nominal,broad_tail,0.1,2405376,36080640,788980.8904578107,12434809,975657,898001,1422237,1713351,737694,447771,40.56151720146871,37.33308222914006,59.12742955779054,71.23006964399745,30.668552442528735,18.61542644476373,32.80073013357623,34.46393689247198
global,nominal,broad_tail,0.11,2405376,36080640,651530.9126287842,10360224,808782,732117,1255250,1550111,741329,446601,33.62393239144317,30.43669679916986,52.18518851106854,64.4436046588974,30.819672267454234,18.566785400702425,27.08644771664738,28.714080459770113
global,nominal,broad_tail,0.12,2405376,36080640,535083.9540764203,8523160,696542,603164,1081435,1381726,685184,384954,28.957718044912728,25.075663846317582,44.959083320029805,57.443243800553425,28.4855257556407,16.003901261174967,22.245335202330956,23.622529977295304
global,nominal,broad_tail,0.13,2405376,36080640,464962.96639831096,7440112,620375,514925,950030,1221075,600700,329723,25.791186076521928,21.407256079714774,39.49611204235845,50.76441271551724,24.973226638995317,13.707752966687952,19.33015738073012,20.620787214417483
global,nominal,broad_tail,0.14,2405376,36080640,424991.95739825256,6842576,556976,458654,890421,1116148,559172,333458,23.15546509152831,19.067871301617707,37.01795478128991,46.40222568114091,23.2467605896126,13.863030145806727,17.668420961972373,18.964674684262807
global,nominal,broad_tail,0.15,2405376,36080640,410364.3986379486,6695428,500187,417364,851022,1078798,578611,350836,20.794545218710088,17.351299755214985,35.379998802681996,44.849453889953175,24.054908671243084,14.585495157513837,17.060301534477297,18.55684378104158
global,nominal,broad_tail,0.16,2405376,36080640,396832.69144693407,6540447,454408,386250,801897,1049291,594883,347489,18.891350042571307,16.057780571519796,33.33769855523627,43.62274338814389,24.731393345572585,14.446348512664963,16.49774053815013,18.127303174223076
global,nominal,broad_tail,0.17,2405376,36080640,372132.40511702694,6188716,418226,361448,767491,997698,579472,349265,17.387136148361005,15.026673584504044,31.90731927149851,41.47783963920818,24.09070349084717,14.520183123137507,15.470862148663118,17.152456275720166
global,nominal,broad_tail,0.18,2405376,36080640,331978.54873258556,5551007,388964,340876,716721,903243,514279,327757,16.170611164325244,14.17142267986377,29.796630547573432,37.551010735951465,21.380399571626224,13.626019383248192,13.80152411650343,15.385001485561231
global,nominal,broad_tail,0.19,2405376,36080640,319147.3001330741,5344986,365281,322935,690572,868551,503270,325291,15.186024970732227,13.425551764048532,28.709523999574287,36.10874141922095,20.922716448488718,13.523499028842059,13.268083664802264,14.813999973392933
global,nominal,broad_tail,0.2,2405376,36080640,310959.25966091204,5212103,344903,306403,670249,845751,500848,325346,14.338839333226904,12.73825796881652,27.864624906875267,35.160864663154534,20.82202532992763,13.52578557364836,12.927677820885883,14.44570550854974
global,nominal,broad_tail,0.21,2405376,36080640,304796.6710181666,5108654,326388,291119,650795,821670,495282,324407,13.569105204342275,12.10284795391656,27.055853222115793,34.15973219987228,20.590626995530013,13.48674801777352,12.671477183532495,14.158989419256422
global,nominal,broad_tail,0.22,2405376,36080640,295859.4120256352,4969563,308897,276824,633598,802269,493372,324701,12.841942382396764,11.50855417198808,26.34091302149851,33.35316391283525,20.511221530438483,13.498970639101746,12.299923672042757,13.773489051191998
global,nominal,broad_tail,0.23,2405376,36080640,288421.5239422823,4850604,292406,262968,615671,779972,487566,323265,12.156353102383994,10.93251117496807,25.595624135270327,32.426198648361,20.26984554597701,13.439271032886335,11.990704319918478,13.443785919540229
global,nominal,broad_tail,0.24,2405376,36080640,283615.4236630879,4769232,276648,249897,596214,762877,486229,319566,11.501237228607918,10.389103408365262,24.786727729885058,31.71549894902086,20.214261720412942,13.285490501277138,11.79089770842845,13.218257769263516
global,nominal,broad_tail,0.25,2405376,36080640,274035.7273387808,4619392,261635,237020,578848,741427,479792,317213,10.877093643571731,9.853760908897403,24.06476160068114,30.823746474563645,19.946652830991912,13.187667957109408,11.39263580158698,12.802965801050092
global,nominal,broad_tail,0.26,2405376,36080640,263867.88053245656,4470743,247352,224368,562290,725828,478476,314938,10.283298744146444,9.32777245636441,23.376386893358873,30.17524079395487,19.891942049808428,13.09308814921243,10.969922396018609,12.390974772066127
global,nominal,broad_tail,0.27,2405376,36080640,242615.21186466183,4157712,233204,212163,542575,695052,461848,309371,9.695116272882078,8.820367377075351,22.55676451415496,28.89577346743295,19.20065719455087,12.861648241272883,10.086373683975472,11.52338761174968
global,nominal,broad_tail,0.28,2405376,36080640,233331.2481017384,4015980,219254,200145,528493,674577,455323,309239,9.115165362920392,8.320736550127714,21.971325896658154,28.044555196360154,18.92938983343976,12.856160533737762,9.70040642717556,11.130567528735632
global,nominal,broad_tail,0.29,2405376,36080640,225908.9457929143,3897903,205651,188496,514977,655291,449640,309326,8.549640472009367,7.836446360153257,21.409417903895275,27.24276786664538,18.693127394636015,12.859777431885908,9.39183503090221,10.803308921349512
global,nominal,broad_tail,0.3,2405376,36080640,219795.3969258498,3798254,191965,176972,500650,640797,448832,308685,7.9806649771179226,7.357352862920391,20.813793768624947,26.640200949872284,18.659535972754362,12.833128791507024,9.137673150719463,10.527124796012489
global,nominal,broad_tail,0.31,2405376,36080640,214320.9654388933,3709437,178758,165866,486515,630353,451595,307757,7.431603208812261,6.8956371062154105,20.226151753405706,26.20600687792678,18.774403669114516,12.794548544593445,8.910081643738579,10.280962311089825
