group_scope,event,threshold,aggregator,n_steps,ordinal_high_count,nominal_high_count,both_high_count,union_high_count,ordinal_only_count,nominal_only_count,disagreement_count,ordinal_high_pct,nominal_high_pct,nominal_minus_ordinal_pp,disagreement_pct,jaccard
global,broad_tail,0.19,any_zone,2405376,927806,868551,842112,954245,85694,26439,112133,38.572181646445294,36.10874141922095,-2.4634402272243507,4.661765977543635,0.8824903457707403
global,broad_tail,0.19,area_weighted_mean,2405376,312197,322935,301253,333879,10944,21682,32626,12.979135070774797,13.425551764048532,0.44641669327373346,1.3563783790974882,0.9022819644242375
global,broad_tail,0.19,equal_zone_mean,2405376,338980,365281,331891,372370,7089,33390,40479,14.092599244359302,15.186024970732227,1.0934257263729246,1.6828554038952745,0.8912936058221661
global,broad_tail,0.19,zone_p90,2405376,711882,690572,664113,738341,47769,26459,74228,29.595456178160916,28.709523999574287,-0.8859321785866326,3.085920870583227,0.8994665066683281
global,broad_tail,0.2,any_zone,2405376,881406,845751,806425,920732,74981,39326,114307,36.64316930076628,35.160864663154534,-1.4823046376117497,4.752146857705407,0.8758520394642524
global,broad_tail,0.2,area_weighted_mean,2405376,291773,306403,282109,316067,9664,24294,33958,12.13003705034057,12.73825796881652,0.6082209184759473,1.4117543369518946,0.8925607545235662
global,broad_tail,0.2,equal_zone_mean,2405376,316242,344903,310255,350890,5987,34648,40635,13.14730004789272,14.338839333226904,1.1915392853341846,1.6893408764367819,0.8841944769015931
global,broad_tail,0.2,zone_p90,2405376,669417,670249,628781,710885,40636,41468,82104,27.83003571998723,27.864624906875267,0.034589186888037464,3.413354086845466,0.884504526048517
global,broad_tail,0.21,any_zone,2405376,811934,821670,765589,868015,46345,56081,102426,33.75497219561516,34.15973219987228,0.4047600042571307,4.258211606002554,0.8819997350276205
global,broad_tail,0.21,area_weighted_mean,2405376,271505,291119,263376,299248,8129,27743,35872,11.28742450244785,12.10284795391656,0.8154234514687102,1.4913260962111536,0.8801261829652997
global,broad_tail,0.21,equal_zone_mean,2405376,294923,326388,289955,331356,4968,36433,41401,12.260993707428693,13.569105204342275,1.3081114969135803,1.7211862095572583,0.8750558311906228
global,broad_tail,0.21,zone_p90,2405376,637299,650795,602365,685729,34934,48430,83364,26.49477670019157,27.055853222115793,0.5610765219242231,3.4657367496807154,0.8784301086872511
global,broad_tail,0.22,any_zone,2405376,811904,802269,754421,859752,57483,47848,105331,33.753724989357174,33.35316391283525,-0.4005610765219242,4.378982745317156,0.8774867636248592
global,broad_tail,0.22,area_weighted_mean,2405376,252581,276824,246295,283110,6286,30529,36815,10.50068679491273,11.50855417198808,1.0078673770753512,1.530529946253725,0.8699622055031613
global,broad_tail,0.22,equal_zone_mean,2405376,274939,308897,271061,312775,3878,37836,41714,11.43018804544487,12.841942382396764,1.4117543369518946,1.734198728182205,0.8666325633442571
global,broad_tail,0.22,zone_p90,2405376,630903,633598,592536,671965,38367,41062,79429,26.228872325989784,26.34091302149851,0.11204069550872713,3.3021448621753935,0.8817959268711912
global,broad_tail,0.23,any_zone,2405376,811753,779972,739485,852240,72268,40487,112755,33.74744738452533,32.426198648361,-1.3212487361643253,4.687624720625798,0.8676957195156294
global,broad_tail,0.23,area_weighted_mean,2405376,234151,262968,229478,267641,4673,33490,38163,9.734486417092379,10.93251117496807,1.198024757875692,1.5865710807790547,0.857409739165524
