weather,city,scenario,time_slice,severity,weather_year,event,threshold,aggregator,n_steps,ordinal_high_count,nominal_high_count,both_high_count,union_high_count,ordinal_only_count,nominal_only_count,disagreement_count,ordinal_high_pct,nominal_high_pct,nominal_minus_ordinal_pp,disagreement_pct,jaccard
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.12,equal_zone_mean,16704,7314,7714,7154,7874,160,560,720,43.785919540229884,46.18055555555556,2.3946360153256743,4.310344827586207,0.9085598171196343
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.12,area_weighted_mean,16704,5816,6557,5633,6740,183,924,1107,34.81800766283525,39.254070881226056,4.436063218390807,6.627155172413793,0.8357566765578635
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.12,zone_p90,16704,9838,10150,9382,10606,456,768,1224,58.89607279693486,60.763888888888886,1.867816091954022,7.327586206896551,0.8845936262492928
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.12,any_zone,16704,12097,12432,11557,12972,540,875,1415,72.41977969348659,74.42528735632183,2.0055076628352486,8.47102490421456,0.8909189022510021
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.13,equal_zone_mean,16704,6573,7045,6441,7177,132,604,736,39.349856321839084,42.17552681992337,2.8256704980842873,4.406130268199234,0.8974501881008778
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.13,area_weighted_mean,16704,5016,5450,4755,5711,261,695,956,30.028735632183906,32.62691570881226,2.5981800766283536,5.723180076628352,0.8326037471546139
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.13,zone_p90,16704,9270,9542,8975,9837,295,567,862,55.495689655172406,57.12404214559387,1.6283524904214586,5.16044061302682,0.9123716580258209
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.13,any_zone,16704,11089,11778,10884,11983,205,894,1099,66.3852969348659,70.51005747126436,4.124760536398464,6.579262452107279,0.9082867395476926
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.14,equal_zone_mean,16704,5863,6378,5770,6471,93,608,701,35.099377394636015,38.18247126436782,3.083093869731801,4.196599616858237,0.8916705300571782
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.14,area_weighted_mean,16704,4493,4696,4241,4948,252,455,707,26.89774904214559,28.11302681992337,1.215277777777779,4.232519157088123,0.8571139854486661
