weather,zone,zone_label,floor,position,position_name,high_tail_pct__COMP-Lo,high_tail_pct__S-real,high_tail_pct__COMP-Med,high_tail_pct__EQ-Max,high_tail_pct__COMP-Hi,high_tail_pct__LEGACY,mean_p_tail__COMP-Lo,mean_p_tail__S-real,mean_p_tail__COMP-Med,mean_p_tail__EQ-Max,mean_p_tail__COMP-Hi,mean_p_tail__LEGACY,high_tail_pct_profile_spread,mean_p_tail_profile_spread,sreal_high_tail_gap_to_max_profile,sreal_mean_p_tail_gap_to_max_profile
phoenix_ssp245_late_2080s_heatwave_extreme_2086,core_mid,Core middle,middle,core,Core,0.4968869731800767,0.8022030651340997,8.836206896551724,14.643199233716475,11.985153256704981,14.319923371647509,0.10419630167363002,0.10463705597398222,0.14034310323739296,0.1524316741593389,0.11139303224258316,0.14125387568668113,14.146312260536398,0.048235372485708874,13.840996168582375,0.04779461818535667
phoenix_ssp245_late_2080s_heatwave_extreme_2086,perimeter_mid_zn_1,Middle P1,middle,P1,P1 south,10.847701149425287,13.236350574712644,28.35249042145594,43.63625478927203,37.122844827586206,42.53472222222222,0.14256006013124037,0.14689727131455238,0.18644813725001724,0.2559093166330939,0.19743724589285,0.22439967669657357,32.78855363984674,0.11334925650185354,30.399904214559385,0.10901204531854153
phoenix_ssp245_late_2080s_heatwave_extreme_2086,perimeter_mid_zn_2,Middle P2,middle,P2,P2 east,3.8254310344827585,4.388170498084292,11.386494252873563,19.03735632183908,14.804837164750959,18.26508620689655,0.1134827075440532,0.11534354581182069,0.15070848869243672,0.17777768372487274,0.12830969071479725,0.15756849032478235,15.211925287356323,0.06429497618081954,14.649185823754788,0.06243413791305205
phoenix_ssp245_late_2080s_heatwave_extreme_2086,perimeter_mid_zn_3,Middle P3,middle,P3,P3 north,4.932950191570881,6.124281609195402,14.182231800766285,22.22222222222222,19.785680076628353,21.755268199233715,0.11244771484668514,0.11446616567992371,0.15025551034051488,0.18566881371331342,0.1375936624720081,0.16735134551354236,17.28927203065134,0.07322109886662828,16.097940613026818,0.07120264803338971
phoenix_ssp245_late_2080s_heatwave_extreme_2086,perimeter_mid_zn_4,Middle P4,middle,P4,P4 west,5.609434865900384,6.022509578544062,11.446360153256704,17.53472222222222,13.427921455938696,17.097701149425287,0.11791754541765732,0.1185415632443895,0.1534855033083811,0.17821118512879716,0.12926615865411922,0.15650157541903661,11.925287356321839,0.06029363971113984,11.51221264367816,0.059669621884407664
phoenix_ssp245_late_2080s_heatwave_extreme_2086,core_top,Core top,top,core,Core,0.8979885057471264,1.1314655172413792,9.961685823754788,13.942768199233715,11.619971264367816,13.781130268199234,0.10494835582046484,0.10560466486532884,0.14197935828932765,0.15350484545442492,0.11233626257559923,0.14158164249192456,13.04477969348659,0.04855648963396007,12.811302681992336,0.04790018058909608
phoenix_ssp245_late_2080s_heatwave_extreme_2086,perimeter_top_zn_1,Top P1,top,P1,P1 south,10.099377394636015,11.88338122605364,25.909961685823756,41.89415708812261,35.32088122605364,40.76867816091954,0.14034119492630964,0.1445314698918689,0.1828169044690088,0.25059752933304824,0.19060307769161489,0.21937111661701084,31.794779693486596,0.1102563344067386,30.01077586206897,0.10606605944117933
phoenix_ssp245_late_2080s_heatwave_extreme_2086,perimeter_top_zn_2,Top P2,top,P2,P2 east,5.172413793103448,6.010536398467433,13.76317049808429,21.623563218390803,17.12763409961686,21.048850574712645,0.1156501769090011,0.11833809190241008,0.15387661805798425,0.187793747084319,0.1355941268032127,0.16633017047118032,16.451149425287355,0.0721435701753179,15.61302681992337,0.06945565518190892
phoenix_ssp245_late_2080s_heatwave_extreme_2086,perimeter_top_zn_3,Top P3,top,P3,P3 north,5.238266283524904,6.381704980842912,14.409722222222221,21.551724137931032,19.23491379310345,20.893199233716476,0.11356248852247733,0.11528692023322043,0.15155300619062584,0.1852989066173697,0.13792936656223329,0.16775981607996768,16.313457854406128,0.07173641809489237,15.17001915708812,0.07001198638414927
phoenix_ssp245_late_2080s_heatwave_extreme_2086,perimeter_top_zn_4,Top P4,top,P4,P4 west,6.202107279693487,6.920498084291188,12.871168582375478,19.01939655172414,14.619252873563218,18.57638888888889,0.12029657195476234,0.1209367351289654,0.15687460360050787,0.18375644446896017,0.13389413331156477,0.1613901229315714,12.817289272030653,0.06345987251419782,12.098898467432951,0.06281970933999477
phoenix_ssp245_late_2080s_hot_2086,core_bottom,Core bottom,bottom,core,Core,0.005986590038314176,0.04190613026819923,7.034243295019158,6.172174329501916,3.436302681992337,5.717193486590038,0.10827918800324682,0.10926006041535055,0.14392104841600703,0.1412875634469451,0.09804896545225673,0.12757893304482773,7.028256704980843,0.045872082963750296,6.992337164750959,0.03466098800065648
