city,year,occupied_probability_steps,mean_p_disc_mean,max_zone_p_disc_mean,p90_zone_p_disc_mean,mean_high_tail_020_pct,max_zone_high_tail_020_pct,p90_zone_high_tail_020_pct,hidden_tail_020_pct,mean_low_but_any_zone_above_disc_low_pct,mean_below_disc_up_but_any_zone_above_disc_up_pct,max_zone_more_severe_pct,p90_zone_more_severe_pct,mean_zone_p_disc_spread,p95_zone_p_disc_spread,mean_zones_above_tail_020,zone_mu_both_signs_pct,zone_d_tail_both_signs_pct,mu_d_tail_sign_conflict_pct_of_comparable,mu_d_tail_sign_comparable_steps,mean_abs_mu,mean_abs_d_tail
Ahmedabad,2081,33408,0.14090964774487727,0.27255889632363073,0.22468057100419708,20.402298850574713,62.565852490421456,49.9161877394636,42.16355363984675,9.913793103448276,32.14200191570881,42.05579501915709,29.076867816091955,0.19354952794786554,0.46517609556736295,3.6016522988505746,19.689894636015325,51.281130268199234,0.8273493599750233,25624,0.37140166489774606,0.09167719057107256
Ahmedabad,2086,16704,0.12640237323696626,0.24179313227636917,0.20136808454272195,14.75095785440613,51.16738505747126,40.25981800766284,36.41642720306513,17.00191570881226,24.533045977011493,41.53496168582376,30.058668582375482,0.16829644688407513,0.46060905135837504,2.733896072796935,21.551724137931032,56.65708812260536,1.1996800853105838,11253,0.32008434967769234,0.07525224628110923
Ahmedabad,2087,16704,0.1359633749340694,0.26472347194248397,0.21599691308336577,18.36685823754789,55.24425287356321,43.07950191570881,36.877394636015325,14.200191570881227,28.520114942528735,42.72030651340996,30.705220306513407,0.18650360868840474,0.47695106175146695,3.1428400383141764,21.80316091954023,54.507902298850574,1.349186272029682,11859,0.3477142838086058,0.08676101532213847
Ahmedabad,2088,33408,0.1676992998034794,0.29786459292640227,0.2498314722797797,30.070641762452105,64.70306513409962,53.84937739463601,34.632423371647505,12.116858237547893,33.97389846743295,46.09075670498085,33.34530651340996,0.19389322548838117,0.46948599249750955,4.900742337164751,21.93486590038314,51.32902298850575,0.6313938618925832,25024,0.4467951696871773,0.12137892620078125
Beijing,2025,33408,0.08951181296864191,0.1376616861405934,0.11591236504221712,3.5380747126436782,12.158764367816092,7.26772030651341,8.620689655172415,10.29094827586207,3.723659003831418,14.014607279693486,9.925766283524904,0.07279469176363414,0.2045100420822752,0.6059027777777778,43.16930076628353,54.04693486590039,12.233207059040932,21646,0.18378866513147654,0.038925817732485254
Beijing,2026,33408,0.08031400462880024,0.12513340516288882,0.10370606478630147,0.24844348659003834,7.153975095785441,3.723659003831418,6.9055316091954015,14.95749521072797,2.6760057471264367,17.633500957854405,11.613984674329501,0.06499854409821654,0.18826277956701648,0.1531669061302682,54.36422413793104,61.17696360153256,16.452282157676347,19280,0.13817074514045502,0.028142244755285
Beijing,2029,33408,0.08896337116186696,0.1402668359082319,0.11605279904140407,2.921455938697318,13.721264367816092,7.704741379310345,10.799808429118773,10.578304597701148,3.6518199233716477,14.230124521072796,9.66235632183908,0.07671760843768083,0.2238254466228149,0.5510656130268199,49.06609195402299,56.43558429118774,14.357844487285412,21786,0.17461836930804098,0.03722274526276724
Beijing,2030,16704,0.09276638127260826,0.1510976421286622,0.122491392171932,3.5859674329501914,17.385057471264368,10.53639846743295,13.799090038314176,8.477011494252872,5.992576628352491,14.469588122605364,8.566810344827585,0.08530478504243111,0.2458930583090368,0.709470785440613,48.473419540229884,54.80723180076629,15.764302472477892,11082,0.18740011224587122,0.04083551680292125
Beijing,2032,16704,0.08648559814886642,0.1363733411196243,0.11385812325019795,2.0534003831417627,12.937021072796934,6.728927203065134,10.883620689655173,11.254789272030653,2.8376436781609193,14.092432950191572,10.27897509578544,0.0748089794200638,0.2065973496004837,0.4542025862068966,47.12045019157088,57.315613026819925,9.038142620232174,10854,0.17154400281314383,0.036081434983167064
Beijing,2034,16704,0.08507214126610697,0.13284339315394517,0.11183293196410928,1.5385536398467432,10.482519157088124,5.214319923371648,8.943965517241379,11.009339080459771,1.9097222222222223,12.919061302681992,9.656369731800767,0.07177663494897156,0.198931924321119,0.3453065134099617,48.946360153256705,60.290948275862064,13.052434456928838,10680,0.16175263509318216,0.03365797321640712
