dataset,analysis,metric,level,contrast,estimate,ci_lower_2_5,ci_upper_97_5,bootstrap_mean,bootstrap_sd,n_bootstrap_valid,resampling_unit,n_resampling_units
role_weighted_144,time_slice_contrast,any_zone_high_tail_pct,,mid_2050s minus baseline_2020s,5.640199286930603,2.0308758381226073,10.031001390219249,5.650833499627503,2.0642562136100038,10000,city × scenario_raw,12
role_weighted_144,time_slice_contrast,any_zone_high_tail_pct,,late_2080s minus baseline_2020s,13.347435078756916,8.779808229565766,18.664973792039167,13.33765152724564,2.534826565402621,10000,city × scenario_raw,12
role_weighted_144,time_slice_level,hidden_any_zone_high_tail_pct,baseline_2020s,,22.981022509578544,17.336046422679864,28.724411484940397,22.935088468497234,2.9214355192623818,10000,city × scenario_raw,12
role_weighted_144,time_slice_level,hidden_any_zone_high_tail_pct,near_2030s,,23.037562526607065,17.97440400170285,28.328884964346525,22.995390375558745,2.65363305180929,10000,city × scenario_raw,12
role_weighted_144,time_slice_level,hidden_any_zone_high_tail_pct,mid_2050s,,23.569870157513837,18.458257669487015,28.73204854459344,23.520256242683057,2.6340957627453947,10000,city × scenario_raw,12
role_weighted_144,time_slice_level,hidden_any_zone_high_tail_pct,late_2080s,,24.39502181779481,18.963675533471694,29.84555013436568,24.34905383607386,2.776687962527576,10000,city × scenario_raw,12
role_weighted_144,time_slice_contrast,hidden_any_zone_high_tail_pct,,near_2030s minus baseline_2020s,0.05654001702852085,-1.0182940213920841,1.0473414551404778,0.060301907061512894,0.526245750978726,10000,city × scenario_raw,12
role_weighted_144,time_slice_contrast,hidden_any_zone_high_tail_pct,,mid_2050s minus baseline_2020s,0.5888476479352924,-0.7080805661983868,1.9378633527564852,0.5851677741858219,0.6705394467989769,10000,city × scenario_raw,12
role_weighted_144,time_slice_contrast,hidden_any_zone_high_tail_pct,,late_2080s minus baseline_2020s,1.4139993082162654,-0.29085681406982083,3.1744434134206054,1.4139653675766277,0.8851376754319281,10000,city × scenario_raw,12
role_weighted_144,scenario_raw_level,mean_p_tail,ssp245,,0.11100223689164178,0.10047957163767648,0.12086625050543301,0.11096868685862207,0.0055199525351057295,10000,city,6
role_weighted_144,scenario_raw_level,mean_p_tail,ssp585,,0.12015239706427966,0.10794000766472994,0.13072779729532666,0.12013147179188285,0.005918363650226134,10000,city,6
role_weighted_144,scenario_raw_contrast,mean_p_tail,,ssp585 minus ssp245,0.00915016017263788,0.006323064285873883,0.011832494456470222,0.009162784933260764,0.0013872279224712001,10000,city,6
role_weighted_144,scenario_raw_level,high_tail_pct,ssp245,,11.448688271604938,8.293422733077906,14.745969029374201,11.443876948967645,1.6740203158155254,10000,city,6
role_weighted_144,scenario_raw_level,high_tail_pct,ssp585,,14.845911824180503,10.785257689442316,18.442522083865473,14.845589055515646,1.9111924549891082,10000,city,6
role_weighted_144,scenario_raw_contrast,high_tail_pct,,ssp585 minus ssp245,3.3972235525755643,2.2810570987654337,4.371374787143466,3.4017121065479996,0.5394340802748551,10000,city,6
role_weighted_144,scenario_raw_level,any_zone_high_tail_pct,ssp245,,35.123656343124736,24.183745077692635,45.74270301191997,35.08805943020966,5.4824756754001935,10000,city,6
role_weighted_144,scenario_raw_level,any_zone_high_tail_pct,ssp585,,38.162682258407834,27.87227235991379,47.65467020540656,38.136066644050665,5.071538769022357,10000,city,6
role_weighted_144,scenario_raw_contrast,any_zone_high_tail_pct,,ssp585 minus ssp245,3.039025915283098,1.769785680076616,4.465829874414645,3.048007213840995,0.6977437306010312,10000,city,6
role_weighted_144,scenario_raw_level,hidden_any_zone_high_tail_pct,ssp245,,23.674968071519796,15.637721503831418,31.686771631545337,23.64418248124202,4.079877517342854,10000,city,6
role_weighted_144,scenario_raw_level,hidden_any_zone_high_tail_pct,ssp585,,23.316770434227333,16.638238678693057,30.187712856534695,23.29047758853502,3.4901972386614206,10000,city,6
role_weighted_144,scenario_raw_contrast,hidden_any_zone_high_tail_pct,,ssp585 minus ssp245,-0.3581976372924629,-1.5341468444018709,0.9070515378884636,-0.35370489270700334,0.631208731870555,10000,city,6
