city,mu_bin,year_a,weather_a,month_a,day_a,time_a,expected_tsv_a,p_tail_a,d_tail_a,year_b,weather_b,month_b,day_b,time_b,expected_tsv_b,p_tail_b,d_tail_b,mu_gap,tail_gap,d_tail_gap
beijing,0.08,2025,beijing_ssp585_cmip_direct_2025,5,14,6.75,0.0794316080632251,0.054873487079462,-0.0008196293671252,2075,beijing_ssp585_cmip_direct_2075,12,25,14.0,0.0751226053835159,0.1477107668513818,0.079852059527316,0.004309002679709212,0.0928372797719198,0.0806716888944412
phoenix,1.2,2025,phoenix_ssp585_cmip_direct_2025,9,24,6.0,1.1963138699462514,0.357566581628666,0.3400959457544536,2075,phoenix_ssp585_cmip_direct_2075,8,20,11.0,1.2040540463770866,0.4503898936216406,0.4218078870615626,0.007740176430835133,0.09282331199297461,0.08171194130710896
phoenix,0.46,2025,phoenix_ssp585_cmip_direct_2025,4,23,6.0,0.4503266531875326,0.1216698960122463,0.0947033351394803,2075,phoenix_ssp585_cmip_direct_2075,9,28,9.5,0.4693755893390772,0.2144756035824769,0.1509551231051235,0.01904893615154457,0.09280570757023059,0.05625178796564319
phoenix,0.24,2025,phoenix_ssp585_cmip_direct_2025,11,19,17.75,0.2382674210397265,0.0789174490691671,0.0396451481293031,2075,phoenix_ssp585_cmip_direct_2075,10,4,13.25,0.2492400675214894,0.1710396395573055,0.0839755723175073,0.010972646481762882,0.0921221904881384,0.044330424188204196
phoenix,0.8,2025,phoenix_ssp585_cmip_direct_2025,10,29,6.0,0.8018911159931411,0.218001879771207,0.1893009201972904,2075,phoenix_ssp585_cmip_direct_2075,7,26,8.75,0.8092939599872083,0.3099167147955547,0.2726238935417264,0.00740284399406721,0.09191483502434772,0.083322973344436
phoenix,0.86,2025,phoenix_ssp585_cmip_direct_2025,10,22,6.0,0.8515224142864569,0.2479817854564248,0.2230746919701335,2075,phoenix_ssp585_cmip_direct_2075,7,31,6.75,0.8510758490733016,0.339552423520601,0.3037512772832443,0.0004465652131553366,0.0915706380641762,0.08067658531311081
phoenix,0.12,2025,phoenix_ssp585_cmip_direct_2025,4,2,18.75,0.11343089236234,0.058862641653916,-0.0006270962777291,2075,phoenix_ssp585_cmip_direct_2075,10,5,11.75,0.1229393450818923,0.1503213234052561,0.0507528736672823,0.009508452719552307,0.09145868175134012,0.0513799699450114
beijing,0.04,2025,beijing_ssp585_cmip_direct_2025,5,9,6.75,0.0475969624851294,0.0512855985006062,-0.0083663965329429,2075,beijing_ssp585_cmip_direct_2075,1,1,14.25,0.0439835996279565,0.1426560822303543,0.0737173025806797,0.003613362857172904,0.09137048372974811,0.0820836991136226
phoenix,0.16,2025,phoenix_ssp585_cmip_direct_2025,4,26,13.5,0.1554975641143033,0.0596828053661512,0.0033610961088793,2075,phoenix_ssp585_cmip_direct_2075,10,4,12.25,0.1676259767065817,0.1495414699788579,0.0507847868783579,0.012128412592278398,0.0898586646127067,0.047423690769478596
phoenix,0.18,2025,phoenix_ssp585_cmip_direct_2025,3,22,16.25,0.1704168623702155,0.0699394497912698,-0.0006158424246209,2075,phoenix_ssp585_cmip_direct_2075,10,3,11.75,0.1860485784306891,0.1590388182506082,0.0616843057115762,0.01563171606047359,0.0890993684593384,0.0623001481361971
