scope,case_label,eps,direction_threshold,tail_threshold,rows,modest_mu_directional_tail_pct,sign_conflict_pct_of_comparable,sign_comparable_rows,high_tail_rows,high_tail_ambiguous_direction_pct_of_all,high_tail_ambiguous_direction_pct_of_high_tail,warm_directional_tail_pct,cold_directional_tail_pct,mean_abs_d_tail,p95_abs_d_tail
weather_case,houston ssp585 cmip direct 2025,0.35,0.06,0.2,16704,3.0471743295019156,0.0,3550,1741,0.0,0.0,24.299568965517242,0.0,0.051010667781258706,0.22634623806365636
weather_case,houston ssp585 cmip direct 2025,0.35,0.08,0.2,16704,0.407088122605364,0.0,3471,1741,0.0,0.0,21.18654214559387,0.0,0.051010667781258706,0.22634623806365636
weather_case,houston ssp585 cmip direct 2025,0.35,0.1,0.2,16704,0.0,0.0,3158,1741,0.0,0.0,18.90565134099617,0.0,0.051010667781258706,0.22634623806365636
weather_case,houston ssp585 cmip direct 2050,0.15,0.04,0.2,16704,0.05986590038314176,0.0,3686,1479,0.0,0.0,21.77322796934866,0.3532088122605364,0.04502558556514928,0.229569362504051
weather_case,houston ssp585 cmip direct 2050,0.15,0.06,0.2,16704,0.0,0.0,3166,1479,0.0,0.0,18.953544061302683,0.0,0.04502558556514928,0.229569362504051
weather_case,houston ssp585 cmip direct 2050,0.15,0.08,0.2,16704,0.0,0.0,2771,1479,0.0,0.0,16.58884099616858,0.0,0.04502558556514928,0.229569362504051
weather_case,houston ssp585 cmip direct 2050,0.15,0.1,0.2,16704,0.0,0.0,2457,1479,0.0,0.0,14.70905172413793,0.0,0.04502558556514928,0.229569362504051
weather_case,houston ssp585 cmip direct 2050,0.25,0.04,0.2,16704,1.4068486590038316,0.0,3461,1479,0.0,0.0,21.77322796934866,0.3532088122605364,0.04502558556514928,0.229569362504051
weather_case,houston ssp585 cmip direct 2050,0.25,0.06,0.2,16704,0.005986590038314176,0.0,3165,1479,0.0,0.0,18.953544061302683,0.0,0.04502558556514928,0.229569362504051
weather_case,houston ssp585 cmip direct 2050,0.25,0.08,0.2,16704,0.0,0.0,2771,1479,0.0,0.0,16.58884099616858,0.0,0.04502558556514928,0.229569362504051
weather_case,houston ssp585 cmip direct 2050,0.25,0.1,0.2,16704,0.0,0.0,2457,1479,0.0,0.0,14.70905172413793,0.0,0.04502558556514928,0.229569362504051
weather_case,houston ssp585 cmip direct 2050,0.35,0.04,0.2,16704,5.381944444444445,0.0,2797,1479,0.0,0.0,21.77322796934866,0.3532088122605364,0.04502558556514928,0.229569362504051
weather_case,houston ssp585 cmip direct 2050,0.35,0.06,0.2,16704,2.227011494252874,0.0,2794,1479,0.0,0.0,18.953544061302683,0.0,0.04502558556514928,0.229569362504051
weather_case,houston ssp585 cmip direct 2050,0.35,0.08,0.2,16704,0.2813697318007663,0.0,2724,1479,0.0,0.0,16.58884099616858,0.0,0.04502558556514928,0.229569362504051
weather_case,houston ssp585 cmip direct 2050,0.35,0.1,0.2,16704,0.005986590038314176,0.0,2456,1479,0.0,0.0,14.70905172413793,0.0,0.04502558556514928,0.229569362504051
weather_case,houston ssp585 cmip direct 2075,0.15,0.04,0.2,16704,0.005986590038314176,0.0,4989,2382,0.0,0.0,29.801245210727966,0.07183908045977011,0.06094168784586459,0.2776144783474985
weather_case,houston ssp585 cmip direct 2075,0.15,0.06,0.2,16704,0.0,0.0,4351,2382,0.0,0.0,26.047653256704983,0.0,0.06094168784586459,0.2776144783474985
weather_case,houston ssp585 cmip direct 2075,0.15,0.08,0.2,16704,0.0,0.0,3838,2382,0.0,0.0,22.97653256704981,0.0,0.06094168784586459,0.2776144783474985
