strategy,bin_width,mu_bin_left,mu_bin_right,mu_bin_center,rows,p_tail_q05,p_tail_q25,p_tail_median,p_tail_q75,p_tail_q95,p_tail_iqr,p_tail_90pct_spread,high_tail_pct
ordinal,0.05,0.75,0.8,0.775,1380,0.23270294982320108,0.24522537276052928,0.2567518418629714,0.2752313958541752,0.2919809480633483,0.030006023093645945,0.059277998240147206,100.0
ordinal,0.05,0.8,0.8500000000000001,0.8250000000000001,1368,0.2487716656223751,0.26091359350948584,0.2728971828470455,0.2910783182187099,0.30776158438693124,0.030164724709224044,0.05898991876455614,100.0
ordinal,0.05,0.8500000000000001,0.9000000000000001,0.8750000000000001,1278,0.2637013513872806,0.2773383336998997,0.28882722295836083,0.3082358326024288,0.326016052480188,0.03089749890252913,0.062314701092907376,100.0
ordinal,0.05,0.9,0.9500000000000001,0.925,1322,0.27970274686898694,0.2922443649648492,0.30297908931663886,0.32487496865196236,0.3418198993634051,0.03263060368711318,0.06211715249441818,100.0
ordinal,0.05,0.9500000000000001,1.0,0.9750000000000001,1072,0.2917596501033299,0.30474491272022314,0.31624615457607297,0.3430152203619868,0.36015044288644726,0.038270307641763646,0.06839079278311738,100.0
ordinal,0.05,1.0,1.05,1.025,969,0.30586869175950454,0.3196994700971478,0.3338582665106293,0.3607682276007235,0.37572089768044287,0.04106875750357575,0.06985220592093833,100.0
ordinal,0.05,1.05,1.1,1.075,742,0.3177011400917692,0.33442974987645535,0.35526671693027434,0.38199773947611615,0.3951180776984241,0.0475679895996608,0.07741693760665491,100.0
ordinal,0.05,1.1,1.1500000000000001,1.125,491,0.3357244734124454,0.3507851995172854,0.38243646308563223,0.40189421627063193,0.4145275708694372,0.05110901675334656,0.07880309745699182,100.0
ordinal,0.05,1.1500000000000001,1.2000000000000002,1.175,330,0.36104047438766246,0.3940130133362584,0.41016313478342553,0.42082575318415094,0.43402657917347626,0.026812739847892564,0.0729861047858138,100.0
ordinal,0.05,1.2000000000000002,1.2500000000000002,1.225,253,0.3680464304825631,0.41021868087330066,0.4279440280452458,0.4378052198909087,0.4500533231423127,0.027586539017608047,0.08200689265974964,100.0
ordinal,0.05,1.25,1.3,1.275,169,0.40012964235067816,0.4349717362578847,0.4481581653493797,0.4566114797960139,0.46997033657140075,0.021639743538129197,0.06984069422072259,100.0
ordinal,0.05,1.3,1.35,1.325,144,0.4182426335616454,0.45086355876646866,0.4671343402279502,0.4802428254317194,0.49004588644041863,0.02937926666525076,0.0718032528787732,100.0
ordinal,0.05,1.35,1.4000000000000001,1.375,89,0.385732636084139,0.45447249690072317,0.47544073083574745,0.4887204266818347,0.50592719281955,0.03424792978111152,0.12019455673541102,100.0
ordinal,0.05,1.4000000000000001,1.4500000000000002,1.425,63,0.4451557759523634,0.4863731061448295,0.5051458237406156,0.514935830833424,0.5370219296158623,0.0285627246885945,0.09186615366349887,100.0
ordinal,0.05,1.4500000000000002,1.5000000000000002,1.475,30,0.4810852397479809,0.4949139788414477,0.5112580593949696,0.5339862272049796,0.5431176564398134,0.03907224836353185,0.06203241669183246,100.0
ordinal,0.05,1.5,1.55,1.525,21,0.5026459536798696,0.5312461715618283,0.5421449597628781,0.5528775491355279,0.5572931769715536,0.021631377573699595,0.05464722329168392,100.0
ordinal,0.1,-0.4,-0.30000000000000004,-0.35000000000000003,119,0.06430161085803497,0.07966905475121255,0.0826816952361714,0.0845879490177326,0.08789790916797056,0.004918894266520049,0.023596298309935593,0.0
ordinal,0.1,-0.30000000000000004,-0.20000000000000004,-0.25000000000000006,643,0.06347321391751133,0.07585724778546954,0.08231543366428709,0.0892273371086192,0.10003616576797247,0.013370089323149661,0.03656295185046114,0.0
ordinal,0.1,-0.2,-0.1,-0.15000000000000002,6950,0.04539561582798755,0.048235187261343904,0.06044147215940665,0.07710571811923331,0.0957341660437897,0.028870530857889404,0.05033855021580216,0.0
ordinal,0.1,-0.1,0.0,-0.05,26037,0.04825205960315476,0.05309425992548,0.0607035690243624,0.0752799607107786,0.09754890017939831,0.022185700785298593,0.04929684057624355,0.0
ordinal,0.1,0.0,0.1,0.05,49052,0.0565322043262023,0.061012152992164524,0.06759709443208994,0.08088079545459625,0.09838451636826225,0.01986864246243173,0.04185231204205995,0.0
ordinal,0.1,0.1,0.2,0.15000000000000002,28215,0.06237931523695764,0.07125829761648439,0.079730832824404,0.08864001760521115,0.10795229351009604,0.017381719988726757,0.0455729782731384,0.0
ordinal,0.1,0.2,0.30000000000000004,0.25,11629,0.08100439935175484,0.0906719180435127,0.1012978380083628,0.1143548388019765,0.13899040426108,0.023682920758463802,0.057986004909325164,0.0
ordinal,0.1,0.30000000000000004,0.4,0.35000000000000003,5908,0.10436453299817348,0.11585810792457271,0.1258205724022069,0.13935855194524144,0.16843993135037305,0.023500444020668726,0.06407539835219957,0.08463100880162493
ordinal,0.1,0.4,0.5,0.45,3862,0.13120936515702297,0.14487495966105346,0.15696924271393445,0.17456929903845583,0.1979606581973125,0.029694339377402373,0.06675129304028954,3.961677887105127
ordinal,0.1,0.5,0.6,0.55,3604,0.15889997483759064,0.17214655259365505,0.1853067876988902,0.20435859882730445,0.22754447355459545,0.0322120462336494,0.06864449871700481,29.52275249722531
ordinal,0.1,0.6000000000000001,0.7000000000000001,0.6500000000000001,3168,0.18721197775272153,0.20302515559258827,0.21770514183824535,0.2372073786963159,0.25764891587697436,0.03418222310372762,0.07043693812425283,79.22979797979798
ordinal,0.1,0.7000000000000001,0.8,0.7500000000000001,2789,0.22052105523606377,0.23627623659922312,0.25046453675935043,0.2681801525157734,0.2873147635525084,0.03190391591655026,0.06679370831644463,100.0
ordinal,0.1,0.8,0.9,0.8500000000000001,2646,0.252694896003116,0.26795374862336596,0.28179445025802397,0.29841879290791556,0.3210114449756384,0.030465044284549603,0.06831654897252237,100.0
ordinal,0.1,0.9,1.0,0.9500000000000001,2394,0.28198108456255383,0.2972307961644233,0.31025413538005264,0.3314602429735473,0.3548142208169817,0.03422944680912399,0.07283313625442789,100.0
ordinal,0.1,1.0,1.1,1.05,1711,0.3079546637697901,0.32537049117647465,0.3444612868648654,0.36961229240686855,0.3895888720631589,0.044241801230393896,0.08163420829336882,100.0
ordinal,0.1,1.1,1.2000000000000002,1.1500000000000001,821,0.3373336691185207,0.36351472809903007,0.39554448695531624,0.4110354773803153,0.4279020558142117,0.047520749281285246,0.090568386695691,100.0
