weather,city,scenario_raw,time_slice,severity,weather_year,rows,weather_cases,mean_mu,mean_abs_mu,mean_p_tail,p95_p_tail,high_tail_pct,near_mean_pct,near_mean_high_tail_pct,near_mean_directional_tail_pct,warm_tail_dominant_pct,cold_tail_dominant_pct,sign_conflict_pct_of_comparable,sign_comparable_rows
ahmedabad_ssp585_late_2080s_typical_2087,Ahmedabad,ssp585,late_2080s,typical,2087,16704,1,0.34538948330110536,0.3477142838086058,0.1359633749340694,0.34918291224532144,18.36685823754789,33.075909961685824,0.0,0.0,30.513649425287355,0.0,0.0,5097
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,Ahmedabad,ssp585,mid_2050s,heatwave_extreme,2051,16704,1,0.3535509727487397,0.356246039052414,0.1352635843534086,0.31625406062151035,18.13936781609195,27.580220306513407,0.0,0.0,31.968390804597703,0.0,0.0,5340
ahmedabad_ssp585_mid_2050s_hot_2050,Ahmedabad,ssp585,mid_2050s,hot,2050,16704,1,0.3432930067793473,0.34538533155509377,0.13366461922035347,0.32381006083978703,17.64248084291188,29.950909961685824,0.0,0.0,29.837164750957857,0.0,0.0,4984
ahmedabad_ssp585_mid_2050s_typical_2055,Ahmedabad,ssp585,mid_2050s,typical,2055,16704,1,0.2536766143172598,0.2563883945360919,0.10831349969821462,0.24061347232492095,7.95617816091954,40.64894636015325,0.0,0.0,18.259099616858236,0.0,0.0,3050
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,Ahmedabad,ssp585,near_2030s,heatwave_extreme,2037,16704,1,0.30363630251625995,0.3055216539276095,0.1199428821858967,0.27606704868861365,11.907327586206897,32.38146551724138,0.0,0.0,23.299808429118773,0.0,0.0,3892
ahmedabad_ssp585_near_2030s_hot_2037,Ahmedabad,ssp585,near_2030s,hot,2037,16704,1,0.30363630251625995,0.3055216539276095,0.1199428821858967,0.27606704868861365,11.907327586206897,32.38146551724138,0.0,0.0,23.299808429118773,0.0,0.0,3892
ahmedabad_ssp585_near_2030s_typical_2031,Ahmedabad,ssp585,near_2030s,typical,2031,16704,1,0.3061254512841087,0.3079196584427984,0.12131784259927529,0.29962965246271167,14.499521072796934,35.207136015325666,0.0,0.0,23.904454022988507,0.0,0.0,3993
beijing_ssp245_baseline_2020s_heatwave_extreme_2025,Beijing,ssp245,baseline_2020s,heatwave_extreme,2025,16704,1,0.15673064569965428,0.1837886651314765,0.0895118129686419,0.15442219331369914,3.5380747126436782,47.21024904214559,0.0,0.005986590038314176,5.998563218390805,0.0,0.0,1001
beijing_ssp245_baseline_2020s_hot_2025,Beijing,ssp245,baseline_2020s,hot,2025,16704,1,0.15673064569965428,0.1837886651314765,0.0895118129686419,0.15442219331369914,3.5380747126436782,47.21024904214559,0.0,0.005986590038314176,5.998563218390805,0.0,0.0,1001
beijing_ssp245_baseline_2020s_typical_2026,Beijing,ssp245,baseline_2020s,typical,2026,16704,1,0.10149509754329968,0.13840501297012842,0.08064578766594828,0.11490229224780868,0.44300766283524906,57.77658045977011,0.0,0.0,1.5146072796934866,0.0,0.0,253
beijing_ssp245_late_2080s_heatwave_extreme_2084,Beijing,ssp245,late_2080s,heatwave_extreme,2084,16704,1,0.234165968171892,0.24901333804656095,0.10729017202675344,0.3239773722947801,10.075431034482758,45.2705938697318,0.0,0.005986590038314176,13.014846743295019,0.0,0.0,2173
beijing_ssp245_late_2080s_hot_2084,Beijing,ssp245,late_2080s,hot,2084,16704,1,0.234165968171892,0.24901333804656095,0.10729017202675344,0.3239773722947801,10.075431034482758,45.2705938697318,0.0,0.005986590038314176,13.014846743295019,0.0,0.0,2173
beijing_ssp245_late_2080s_typical_2083,Beijing,ssp245,late_2080s,typical,2083,16704,1,0.2150509356362836,0.24044187625542293,0.10566030971110739,0.3005148131616369,10.739942528735632,45.258620689655174,0.0,0.0,13.823036398467433,0.0,0.0,2309
beijing_ssp245_mid_2050s_heatwave_extreme_2050,Beijing,ssp245,mid_2050s,heatwave_extreme,2050,16704,1,0.20970479490657973,0.2292266129729211,0.10090207338937462,0.28158855625767265,7.770593869731801,44.79765325670498,0.0,0.0,11.314655172413794,0.0,0.0,1890
beijing_ssp245_mid_2050s_hot_2050,Beijing,ssp245,mid_2050s,hot,2050,16704,1,0.20970479490657973,0.2292266129729211,0.10090207338937462,0.28158855625767265,7.770593869731801,44.79765325670498,0.0,0.0,11.314655172413794,0.0,0.0,1890
beijing_ssp245_mid_2050s_typical_2056,Beijing,ssp245,mid_2050s,typical,2056,16704,1,0.14657722492725989,0.17705819737370992,0.0890978594626758,0.1534335855257021,3.3045977011494254,52.502394636015325,0.0,0.017959770114942528,6.27993295019157,0.0,0.0,1046
beijing_ssp245_near_2030s_heatwave_extreme_2039,Beijing,ssp245,near_2030s,heatwave_extreme,2039,16704,1,0.09670114637846888,0.14390689315586214,0.0808726863829322,0.11393384860341314,0.19157088122605362,56.65110153256705,0.0,0.0,1.1733716475095786,0.0,0.0,196
beijing_ssp245_near_2030s_hot_2034,Beijing,ssp245,near_2030s,hot,2034,16704,1,0.13080726233453183,0.16175263509318216,0.08507214126610697,0.12391231960790582,1.5385536398467432,52.58620689655172,0.0,0.0,3.807471264367816,0.0,0.0,636
beijing_ssp245_near_2030s_typical_2035,Beijing,ssp245,near_2030s,typical,2035,16704,1,0.11575780116187283,0.1642164123873534,0.0862141766429484,0.12750591835794625,1.628352490421456,49.10201149425287,0.0,0.0,3.7595785440613025,0.0,0.0,628
beijing_ssp585_baseline_2020s_heatwave_extreme_2029,Beijing,ssp585,baseline_2020s,heatwave_extreme,2029,16704,1,0.13585168975535014,0.17461836930804098,0.08896337116186696,0.1431843029305614,2.921455938697318,49.87428160919541,0.0,0.011973180076628351,5.693247126436781,0.0,0.0,949
beijing_ssp585_baseline_2020s_hot_2029,Beijing,ssp585,baseline_2020s,hot,2029,16704,1,0.13585168975535014,0.17461836930804098,0.08896337116186696,0.1431843029305614,2.921455938697318,49.87428160919541,0.0,0.011973180076628351,5.693247126436781,0.0,0.0,949
beijing_ssp585_baseline_2020s_typical_2026,Beijing,ssp585,baseline_2020s,typical,2026,16704,1,0.09654021993710468,0.13793647731078168,0.0799822215916522,0.11506367559973317,0.05387931034482758,57.24377394636016,0.0,0.017959770114942528,0.8680555555555556,0.0,0.0,142
beijing_ssp585_late_2080s_heatwave_extreme_2089,Beijing,ssp585,late_2080s,heatwave_extreme,2089,16704,1,0.25059104998634785,0.2674071198828461,0.11249406651730191,0.3225491535729133,12.27250957854406,43.30699233716475,0.0,0.0,17.283285440613028,0.0,0.0,2887
beijing_ssp585_late_2080s_hot_2089,Beijing,ssp585,late_2080s,hot,2089,16704,1,0.25059104998634785,0.2674071198828461,0.11249406651730191,0.3225491535729133,12.27250957854406,43.30699233716475,0.0,0.0,17.283285440613028,0.0,0.0,2887
beijing_ssp585_late_2080s_typical_2084,Beijing,ssp585,late_2080s,typical,2084,16704,1,0.22936862169176922,0.25064890824723757,0.1079934767431977,0.3089720350422132,10.344827586206897,46.587643678160916,0.0,0.0,14.816810344827585,0.0,0.0,2475
beijing_ssp585_mid_2050s_heatwave_extreme_2052,Beijing,ssp585,mid_2050s,heatwave_extreme,2052,16704,1,0.2026044797960636,0.23829970199024345,0.10623960084836623,0.2986877674773499,9.464798850574713,46.21647509578544,0.0,0.0,13.07471264367816,0.0,0.0,2184
beijing_ssp585_mid_2050s_hot_2052,Beijing,ssp585,mid_2050s,hot,2052,16704,1,0.2026044797960636,0.23829970199024345,0.10623960084836623,0.2986877674773499,9.464798850574713,46.21647509578544,0.0,0.0,13.07471264367816,0.0,0.0,2184
beijing_ssp585_mid_2050s_typical_2053,Beijing,ssp585,mid_2050s,typical,2053,16704,1,0.1441998479906736,0.1668998298589849,0.08600481911900322,0.13246028443707122,1.8498563218390804,52.25095785440613,0.0,0.0,5.166427203065134,0.0,0.0,863
beijing_ssp585_near_2030s_heatwave_extreme_2030,Beijing,ssp585,near_2030s,heatwave_extreme,2030,16704,1,0.13839966677136847,0.18740011224587122,0.09276638127260826,0.1619607366291779,3.5859674329501914,47.6772030651341,0.0,0.0,6.7828065134099615,0.0,0.0,1133
beijing_ssp585_near_2030s_hot_2037,Beijing,ssp585,near_2030s,hot,2037,16704,1,0.1386507381606753,0.1915689931999715,0.09214890078808503,0.1653200916946215,3.5859674329501914,45.66570881226053,0.0,0.005986590038314176,7.159961685823754,0.0,0.0,1195
beijing_ssp585_near_2030s_typical_2032,Beijing,ssp585,near_2030s,typical,2032,16704,1,0.14958793341454565,0.17154400281314383,0.08648559814886642,0.13580154877338468,2.0534003831417627,49.964080459770116,0.0,0.0,4.920977011494252,0.0,0.0,822
guangzhou_ssp245_baseline_2020s_heatwave_extreme_2028,Guangzhou,ssp245,baseline_2020s,heatwave_extreme,2028,16704,1,0.1905370030072379,0.20184553635596691,0.09036720894934,0.22370454436986512,6.357758620689655,56.75287356321839,0.0,0.0,11.925287356321839,0.0,0.0,1992
guangzhou_ssp245_baseline_2020s_hot_2027,Guangzhou,ssp245,baseline_2020s,hot,2027,16704,1,0.17425213681630353,0.18353947472181145,0.0847343592638457,0.1901545197585775,4.2923850574712645,56.094348659003835,0.0,0.0,8.536877394636015,0.0,0.0,1426
guangzhou_ssp245_baseline_2020s_typical_2025,Guangzhou,ssp245,baseline_2020s,typical,2025,16704,1,0.21036754711289568,0.21708817229872843,0.09380468543740982,0.23650616824361032,7.764607279693486,52.68797892720306,0.0,0.0,13.595545977011495,0.0,0.0,2271
guangzhou_ssp245_late_2080s_heatwave_extreme_2088,Guangzhou,ssp245,late_2080s,heatwave_extreme,2088,16704,1,0.335225812598266,0.34189378818707594,0.12890855195362153,0.32426578984659976,20.88122605363985,37.547892720306514,0.0,0.0,29.909003831417625,0.0,0.0,4996
guangzhou_ssp245_late_2080s_hot_2083,Guangzhou,ssp245,late_2080s,hot,2083,16704,1,0.30853714115595154,0.3122006986175379,0.11858023211677877,0.2942302569064736,15.906369731800766,36.70378352490422,0.0,0.0,25.58668582375479,0.0,0.0,4274
guangzhou_ssp245_late_2080s_typical_2084,Guangzhou,ssp245,late_2080s,typical,2084,16704,1,0.23920220213379761,0.2467176855508443,0.10228114809853599,0.2585404417904379,9.698275862068966,46.88697318007663,0.0,0.0,17.325191570881227,0.0,0.0,2894
guangzhou_ssp245_mid_2050s_heatwave_extreme_2055,Guangzhou,ssp245,mid_2050s,heatwave_extreme,2055,16704,1,0.2622337056207979,0.26645703747729105,0.10658370264337896,0.28720680236778207,11.949233716475096,43.88170498084291,0.0,0.0,18.845785440613028,0.0,0.0,3148
guangzhou_ssp245_mid_2050s_hot_2051,Guangzhou,ssp245,mid_2050s,hot,2051,16704,1,0.2521393848786928,0.2590802469137618,0.1057996459233252,0.2777254724412998,11.835488505747128,45.89918582375479,0.0,0.0,19.40852490421456,0.0,0.0,3242
guangzhou_ssp245_mid_2050s_typical_2054,Guangzhou,ssp245,mid_2050s,typical,2054,16704,1,0.2360686080180464,0.24436275689626052,0.10119243524116467,0.25281735048758897,9.536637931034484,45.88721264367816,0.0,0.0,17.211446360153257,0.0,0.0,2875
guangzhou_ssp245_near_2030s_heatwave_extreme_2034,Guangzhou,ssp245,near_2030s,heatwave_extreme,2034,16704,1,0.19424338043463,0.2018939841989525,0.09021198321565294,0.21240085426844663,5.938697318007663,55.938697318007655,0.0,0.0,12.092911877394636,0.0,0.0,2020
guangzhou_ssp245_near_2030s_hot_2038,Guangzhou,ssp245,near_2030s,hot,2038,16704,1,0.2407747441119095,0.24822619983465288,0.10142612830480008,0.2608990927233395,9.812021072796934,45.28256704980843,0.0,0.0,17.89990421455939,0.0,0.0,2990
guangzhou_ssp245_near_2030s_typical_2031,Guangzhou,ssp245,near_2030s,typical,2031,16704,1,0.1835721524312284,0.19470400132613053,0.08940962482374495,0.2136931736786003,5.92073754789272,57.57303639846744,0.0,0.0,10.955459770114942,0.0,0.0,1830
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,Guangzhou,ssp585,baseline_2020s,heatwave_extreme,2026,16704,1,0.21616159086018638,0.22799179813343445,0.09616095792843381,0.24978077277483648,8.147749042145595,51.263170498084285,0.0,0.0,14.28999042145594,0.0,0.0,2387
guangzhou_ssp585_baseline_2020s_hot_2028,Guangzhou,ssp585,baseline_2020s,hot,2028,16704,1,0.2038685191348154,0.21445041318895772,0.09367806930942289,0.23378817067619345,7.52514367816092,51.31106321839081,0.0,0.0,13.284243295019158,0.0,0.0,2219
guangzhou_ssp585_baseline_2020s_typical_2025,Guangzhou,ssp585,baseline_2020s,typical,2025,16704,1,0.18433708160194326,0.20044862282183482,0.08979140706357824,0.19851670736991325,4.932950191570881,54.46000957854407,0.0,0.0,11.41044061302682,0.0,0.0,1906
guangzhou_ssp585_late_2080s_heatwave_extreme_2086,Guangzhou,ssp585,late_2080s,heatwave_extreme,2086,16704,1,0.49711906480796725,0.5025784061530405,0.1757109829415866,0.3704801693679184,38.18247126436782,30.56154214559387,0.0,0.0,45.08500957854406,0.0,0.0,7531
guangzhou_ssp585_late_2080s_hot_2086,Guangzhou,ssp585,late_2080s,hot,2086,16704,1,0.49711906480796725,0.5025784061530405,0.1757109829415866,0.3704801693679184,38.18247126436782,30.56154214559387,0.0,0.0,45.08500957854406,0.0,0.0,7531
guangzhou_ssp585_late_2080s_typical_2087,Guangzhou,ssp585,late_2080s,typical,2087,16704,1,0.3478559410297751,0.3498223502363567,0.13025543781862098,0.30971967505569165,19.86949233716475,31.04645593869732,0.0,0.0,31.645114942528735,0.0,0.0,5286
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,Guangzhou,ssp585,mid_2050s,heatwave_extreme,2059,16704,1,0.28495343184584415,0.29216531743594376,0.11411674882310983,0.2878825633744299,13.709291187739463,41.44516283524904,0.0,0.0,23.467432950191572,0.0,0.0,3920
guangzhou_ssp585_mid_2050s_hot_2057,Guangzhou,ssp585,mid_2050s,hot,2057,16704,1,0.25758181213456033,0.263754675844578,0.1068187490976045,0.261410286160703,11.673850574712644,43.98946360153257,0.0,0.0,20.52801724137931,0.0,0.0,3429
guangzhou_ssp585_mid_2050s_typical_2050,Guangzhou,ssp585,mid_2050s,typical,2050,16704,1,0.2538709528303983,0.2648385133273925,0.10757308791423269,0.2810596216639697,12.990900383141762,45.97102490421456,0.0,0.0,20.08500957854406,0.0,0.0,3355
guangzhou_ssp585_near_2030s_heatwave_extreme_2033,Guangzhou,ssp585,near_2030s,heatwave_extreme,2033,16704,1,0.2295531495689644,0.24070480040571413,0.10138717299573388,0.25596099555444335,9.90780651340996,51.16738505747126,0.0,0.0,18.157327586206897,0.0,0.0,3033
guangzhou_ssp585_near_2030s_hot_2033,Guangzhou,ssp585,near_2030s,hot,2033,16704,1,0.2295531495689644,0.24070480040571413,0.10138717299573388,0.25596099555444335,9.90780651340996,51.16738505747126,0.0,0.0,18.157327586206897,0.0,0.0,3033
guangzhou_ssp585_near_2030s_typical_2039,Guangzhou,ssp585,near_2030s,typical,2039,16704,1,0.19117579515097896,0.20157382306783195,0.0898174643874171,0.20578864066647962,5.4238505747126435,51.89774904214559,0.0,0.0,11.272749042145595,0.0,0.0,1883
houston_ssp245_baseline_2020s_heatwave_extreme_2026,Houston,ssp245,baseline_2020s,heatwave_extreme,2026,16704,1,0.2106155671577635,0.235520686464203,0.09756101243017874,0.23533724107663362,8.536877394636015,47.76700191570881,0.0,0.0,16.894157088122604,0.0,0.0,2822
houston_ssp245_baseline_2020s_hot_2026,Houston,ssp245,baseline_2020s,hot,2026,16704,1,0.2106155671577635,0.235520686464203,0.09756101243017874,0.23533724107663362,8.536877394636015,47.76700191570881,0.0,0.0,16.894157088122604,0.0,0.0,2822
houston_ssp245_baseline_2020s_typical_2027,Houston,ssp245,baseline_2020s,typical,2027,16704,1,0.17110460692640403,0.18668501659163197,0.08484949442957729,0.18488296338415383,4.130747126436781,54.90900383141762,0.0,0.0,8.961925287356323,0.0,0.0,1497
houston_ssp245_late_2080s_heatwave_extreme_2081,Houston,ssp245,late_2080s,heatwave_extreme,2081,16704,1,0.27364008175709464,0.2925140205927015,0.11576699526119207,0.3087573020537748,17.828065134099617,45.61781609195402,0.0,0.0,24.257662835249043,0.0,0.0,4052
houston_ssp245_late_2080s_hot_2085,Houston,ssp245,late_2080s,hot,2085,16704,1,0.25970659414687003,0.2733807203617709,0.11001420016173492,0.2918326671385915,14.493534482758621,46.74329501915709,0.0,0.0,21.970785440613028,0.0,0.0,3670
houston_ssp245_late_2080s_typical_2086,Houston,ssp245,late_2080s,typical,2086,16704,1,0.21762634804053807,0.23364123948984925,0.09739014491645903,0.24865557941504893,8.97389846743295,48.45545977011494,0.0,0.0,16.00814176245211,0.0,0.0,2674
houston_ssp245_mid_2050s_heatwave_extreme_2058,Houston,ssp245,mid_2050s,heatwave_extreme,2058,16704,1,0.23012559806552998,0.2514340018443312,0.10257876052019886,0.2893800644113763,12.679597701149426,47.41379310344828,0.0,0.0,17.66044061302682,0.0,0.0,2950
houston_ssp245_mid_2050s_hot_2056,Houston,ssp245,mid_2050s,hot,2056,16704,1,0.219563423522859,0.22668255157375983,0.09409103723407533,0.21051237526932354,5.974616858237548,45.3125,0.0,0.0,13.918821839080458,0.0,0.0,2325
houston_ssp245_mid_2050s_typical_2052,Houston,ssp245,mid_2050s,typical,2052,16704,1,0.21794370374768612,0.23407068935343273,0.09918203355254253,0.27044828354282907,10.859674329501916,54.028975095785434,0.0,0.0,17.367097701149426,0.0,0.0,2901
houston_ssp245_near_2030s_heatwave_extreme_2039,Houston,ssp245,near_2030s,heatwave_extreme,2039,16704,1,0.22682078877324097,0.2443220573492939,0.10115641586173661,0.2656524814474828,10.949473180076629,50.299329501915715,0.0,0.0,18.17528735632184,0.0,0.0,3036
houston_ssp245_near_2030s_hot_2038,Houston,ssp245,near_2030s,hot,2038,16704,1,0.2509636875705746,0.25796723839709057,0.10262302708821766,0.2534692229619192,9.722222222222223,41.96000957854406,0.0,0.0,18.797892720306514,0.0,0.0,3140
houston_ssp245_near_2030s_typical_2033,Houston,ssp245,near_2030s,typical,2033,16704,1,0.20858283039968623,0.2334879958001681,0.09903529914997707,0.2570433520880166,9.997605363984674,51.49066091954023,0.0,0.0,17.325191570881227,0.0,0.0,2894
houston_ssp585_baseline_2020s_heatwave_extreme_2025,Houston,ssp585,baseline_2020s,heatwave_extreme,2025,16704,1,0.22777337781670023,0.2473719683431986,0.10187654248733166,0.26582768278838065,11.38050766283525,50.8441091954023,0.0,0.0,19.989224137931032,0.0,0.0,3339
houston_ssp585_baseline_2020s_hot_2026,Houston,ssp585,baseline_2020s,hot,2026,16704,1,0.2081756816616611,0.23184509592619823,0.096431431814508,0.2377155393928927,8.381226053639846,48.359674329501914,0.0,0.0,15.780651340996169,0.0,0.0,2636
houston_ssp585_baseline_2020s_typical_2025,Houston,ssp585,baseline_2020s,typical,2025,16704,1,0.22777337781670023,0.2473719683431986,0.10187654248733166,0.26582768278838065,11.38050766283525,50.8441091954023,0.0,0.0,19.989224137931032,0.0,0.0,3339
