scope,rows,weather_cases,mean_mu,mean_abs_mu,mean_p_tail,p95_p_tail,high_tail_pct,near_mean_pct,near_mean_high_tail_pct,near_mean_directional_tail_pct,warm_tail_dominant_pct,cold_tail_dominant_pct,sign_conflict_pct_of_comparable,sign_comparable_rows,city,scenario_raw,time_slice,severity
city_scenario_time_slice,50112,3,0.25014723283917906,0.2566333470957712,0.10452526126928963,0.2722964986621381,11.107120051085568,45.22270114942529,0.0,0.0,18.488585568326947,0.0,0.0,9265,Guangzhou,ssp245,mid_2050s,
city_scenario_time_slice,50112,3,0.2061967589925893,0.21494139511991198,0.09368257878139932,0.23294140857084383,7.22381864623244,52.93143358876118,0.0,0.0,13.649425287356323,0.0,0.0,6840,Guangzhou,ssp245,near_2030s,
city_scenario_time_slice,50112,3,0.20145573053231502,0.2142969447147423,0.09321014476714495,0.22816594727414333,6.8686143039591325,52.34474776500638,0.0,0.0,12.994891443167306,0.0,0.0,6512,Guangzhou,ssp585,baseline_2020s,
city_scenario_time_slice,50112,3,0.4473646902152365,0.45165972084747924,0.16055913456726473,0.3623705929487893,32.078144955300125,30.723180076628353,0.0,0.0,40.60504469987228,0.0,0.0,20348,Guangzhou,ssp585,late_2080s,
city_scenario_time_slice,50112,3,0.26546873227026757,0.27358616886930476,0.10950286194498235,0.2777485228162452,12.791347381864624,43.801883780332055,0.0,0.0,21.36015325670498,0.0,0.0,10704,Guangzhou,ssp585,mid_2050s,
city_scenario_time_slice,50112,3,0.21676069809630255,0.22766114129308668,0.0975306034596283,0.2405485447929461,8.413154533844189,51.410839719029376,0.0,0.0,15.862468071519794,0.0,0.0,7949,Guangzhou,ssp585,near_2030s,
city_scenario_time_slice,50112,3,0.19744524708064368,0.21924212984001262,0.09332383976331157,0.2231790172475727,7.068167305236271,50.147669220945076,0.0,0.0,14.250079821200512,0.0,0.0,7141,Houston,ssp245,baseline_2020s,
city_scenario_time_slice,50112,3,0.2503243413148343,0.2665119934814405,0.10772378011312868,0.2914765205946948,13.765166028097061,46.938856960408685,0.0,0.0,20.745530012771393,0.0,0.0,10396,Houston,ssp245,late_2080s,
city_scenario_time_slice,50112,3,0.2225442417786917,0.23739574759050794,0.09861727710227224,0.26043817282708226,9.837962962962964,48.918422733077904,0.0,0.0,16.315453384418902,0.0,0.0,8176,Houston,ssp245,mid_2050s,
city_scenario_time_slice,50112,3,0.22878910224783394,0.2452590971821842,0.10093824736664378,0.2581331159770981,10.223100255427841,47.91666666666667,0.0,0.0,18.099457215836527,0.0,0.0,9070,Houston,ssp245,near_2030s,
