mu_bin_left,mu_bin_right,mu_bin_center,rows,p_tail_q05,p_tail_q25,p_tail_median,p_tail_q75,p_tail_q95,p_tail_iqr,p_tail_90pct_spread,high_tail_pct
0.15000000000000002,0.2,0.17500000000000002,316610,0.0686745225756404,0.0735374354514968,0.0773307922993875,0.08286287325409379,0.0945104526779594,0.009325437802596995,0.025835930102319007,0.0
0.2,0.25,0.225,225307,0.07543216827120004,0.0807794273876424,0.0863771527845478,0.09296210021578,0.10559655318753901,0.012182672828137592,0.030164384916338965,0.0
0.25,0.3,0.275,151359,0.0847180811832574,0.0925280019146052,0.0997643316079001,0.10710126273261139,0.11977764897939074,0.014573260818006195,0.03505956779613334,0.0
0.30000000000000004,0.35000000000000003,0.32500000000000007,116066,0.09768702214584644,0.10793930577561037,0.1149471920737788,0.1221066297598031,0.134638486314063,0.014167323984192737,0.036951464168216555,0.007754208812227526
0.35000000000000003,0.4,0.37500000000000006,91274,0.11283949052192875,0.1223546619779428,0.1292687716885827,0.13690274146513726,0.1520291451843246,0.014548079487194457,0.03918965466239584,0.05916252163814449
0.4,0.45,0.42500000000000004,71931,0.12636759175531737,0.1363220256178431,0.1441028816793448,0.15325985220299082,0.1684908900596514,0.016937826585147725,0.042123298304334034,0.24884959197008244
0.45,0.5,0.47500000000000003,51937,0.13937994355283395,0.1498623254504918,0.1583145564738882,0.16819903830951,0.18480790907208175,0.018336712859018195,0.0454279655192478,1.3400851031056857
0.5,0.55,0.525,42597,0.15396054081224367,0.1643649038752312,0.1730993798036746,0.1827089523324823,0.20175110040301622,0.0183440484572511,0.04779055959077255,5.784444913961077
0.55,0.6000000000000001,0.5750000000000001,36721,0.1693383578490916,0.1797256725966697,0.1886663519459884,0.1992133468098642,0.2180097244519503,0.0194876742131945,0.0486713666028587,23.55872661419896
0.6000000000000001,0.6500000000000001,0.6250000000000001,34881,0.1844354490250604,0.1951894079058937,0.2050295961114923,0.2161124197721224,0.2347266043539601,0.02092301186622869,0.05029115532889969,62.85656947908603
0.65,0.7000000000000001,0.675,33771,0.19962322898105506,0.2114713513808266,0.2220255360458708,0.2337512658744845,0.2515640617769695,0.022279914493657904,0.05194083279591444,94.57226614550946
0.7000000000000001,0.7500000000000001,0.7250000000000001,31879,0.21568544912470583,0.22811433173604584,0.2385219907995305,0.2511453472640398,0.2677017776309399,0.02303101552799397,0.052016328506234055,99.88393613350482
0.75,0.8,0.775,29861,0.2322860095144287,0.2447485006153328,0.255198858910847,0.2678068149332308,0.284924726929616,0.023058314317897982,0.0526387174151873,100.0
0.8,0.8500000000000001,0.8250000000000001,28378,0.24931912085725938,0.2608124814866677,0.2711870872276192,0.2838739346596973,0.3013441728831267,0.0230614531730296,0.052025052025867324,100.0
0.8500000000000001,0.9000000000000001,0.8750000000000001,28175,0.26465051833248715,0.27675531439731793,0.2871402166675878,0.2995683210850974,0.3176294281653442,0.02281300668777947,0.052978909832857024,100.0
0.9,0.9500000000000001,0.925,26748,0.2784153646880112,0.29196535635901316,0.3029945738185075,0.31624744441950103,0.33542702681523917,0.024282088060487872,0.05701166212722797,100.0
0.9500000000000001,1.0,0.9750000000000001,24165,0.2914722990879678,0.3061515063302492,0.3180871878917893,0.3316375527305796,0.3521279624459557,0.02548604640033042,0.06065566335798789,100.0
1.0,1.05,1.025,22032,0.30253242650627915,0.31923907625799824,0.3310266271095156,0.3457299455614128,0.3687488957086083,0.026490869303414544,0.06621646920232915,100.0
1.05,1.1,1.075,20660,0.3084558734294204,0.3291216548777516,0.3424072550341246,0.3591363853093428,0.38563988501331287,0.030014730431591197,0.07718401158389249,100.0
1.1,1.1500000000000001,1.125,17594,0.3156917197347962,0.33866368177736705,0.3550450342558179,0.37398500223191466,0.4035693874163445,0.03532132045454761,0.08787766768154831,100.0
1.1500000000000001,1.2000000000000002,1.175,11127,0.31291583712173443,0.3467590041240606,0.3727650108284315,0.3986163911961204,0.4257777478323776,0.051857387072059835,0.11286191071064317,100.0
1.2000000000000002,1.2500000000000002,1.225,6499,0.317991862810142,0.3559378530728611,0.3978187754136705,0.4228333779065097,0.44615012004025356,0.06689552483364863,0.12815825723011154,100.0
1.25,1.3,1.275,3924,0.33395315545465193,0.3727535149251917,0.4248437715185563,0.4486485629483878,0.4691652808470836,0.07589504802319608,0.13521212539243166,100.0
1.3,1.35,1.325,2234,0.3486465941208466,0.3814046940580362,0.4462755646244781,0.4736063270595988,0.4918632705334326,0.09220163300156264,0.143216676412586,100.0
1.35,1.4000000000000001,1.375,1462,0.3673881262028978,0.4160649216228756,0.46923174659345646,0.4953861500425189,0.5102095105851184,0.07932122841964329,0.14282138438222064,100.0
1.4000000000000001,1.4500000000000002,1.425,1058,0.3860429755518195,0.4256381445025357,0.49537876829529315,0.5150266786922865,0.5277189217438021,0.08938853418975079,0.1416759461919826,100.0
1.4500000000000002,1.5000000000000002,1.475,635,0.4063275532931598,0.4241007360582494,0.4997494358133982,0.5278934871047226,0.5472563522287105,0.10379275104647323,0.14092879893555071,100.0
1.5,1.55,1.525,437,0.4282501317460744,0.4399407254962589,0.4755700681214271,0.5421155867397371,0.5617622389912544,0.10217486124347824,0.13351210724518003,100.0
1.55,1.6,1.575,275,0.44695704806529873,0.46295543675946016,0.4823405740605362,0.5553366411655649,0.572465222557157,0.09238120440610476,0.1255081744918583,100.0
1.6,1.6500000000000001,1.625,115,0.4774280401136575,0.48774261163612853,0.4976173127702923,0.512897112474372,0.5913302918314266,0.025154500838243443,0.11390225171776908,100.0
1.6500000000000001,1.7000000000000002,1.675,72,0.5122040992363958,0.5192075430948911,0.5257858745040807,0.5396539810806983,0.5970374359800933,0.020446437985807142,0.08483333674369753,100.0
1.7000000000000002,1.7500000000000002,1.725,66,0.5290173862053427,0.5431711639525595,0.5518356451709996,0.5639298244446627,0.5744148447199778,0.020758660492103176,0.04539745851463517,100.0
1.75,1.8,1.775,39,0.5614756179633625,0.5718649199025289,0.5780824706174593,0.5869176472281913,0.5981973424648646,0.01505272732566243,0.03672172450150202,100.0
1.8,1.85,1.825,47,0.5862444234927052,0.5993841602478561,0.6026134382941248,0.6084484821757679,0.6242167688497612,0.009064321927911734,0.03797234535705596,100.0
1.85,1.9000000000000001,1.875,29,0.5966162095415383,0.6208871173562671,0.6338360612420724,0.6424527624768046,0.6512935037381825,0.02156564512053749,0.054677294196644244,100.0
1.9000000000000001,1.9500000000000002,1.925,28,0.6434817835534817,0.650047257513034,0.6554705785039525,0.6621385366882635,0.6704771285678556,0.012091279175229452,0.02699534501437384,100.0
1.9500000000000002,2.0,1.975,16,0.6413852470056555,0.6687259398808043,0.6749929875398151,0.6925388712800856,0.7006728615813588,0.023812931399281312,0.05928761457570331,100.0
2.0,2.05,2.025,9,0.6848979051777407,0.6907138333802421,0.6968861206701724,0.7070899148046702,0.7169991276371159,0.016376081424428146,0.03210122245937519,100.0
2.0500000000000003,2.1,2.075,7,0.7056120512399536,0.7102596027579149,0.7168314963811393,0.7310892251965346,0.7321500174207102,0.020829622438619744,0.026537966180756545,100.0
2.1,2.15,2.125,12,0.7158299976470673,0.7173994821459858,0.729658828550519,0.7315957509182276,0.748154307069353,0.014196268772241782,0.0323243094222857,100.0
2.15,2.1999999999999997,2.175,9,0.732977191960282,0.7332448559833533,0.7553500072933413,0.7693357966834895,0.7736305875991348,0.03609094070013619,0.04065339563885284,100.0
2.2,2.25,2.225,10,0.7526288275613527,0.7559214140857233,0.7669099257466945,0.7688896899783706,0.7716091217514042,0.012968275892647263,0.018980294190051428,100.0
