case_id,condition,left,right,spearman_rho,n_hours
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,outdoor_temp_ge_20_c,mean_operative_temp_c,warm_discomfort_probability,0.9598117830351981,4088
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,outdoor_temp_ge_20_c,mean_operative_temp_c,cold_discomfort_probability,-0.9495728576255051,4088
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,outdoor_temp_ge_20_c,zone_cooling_rate_w,discomfort_probability,0.3335107566041345,4088
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,outdoor_temp_ge_25_c,outdoor_temp_c,mean_operative_temp_c,0.3851777633871599,3614
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,outdoor_temp_ge_25_c,mean_operative_temp_c,discomfort_probability,0.9536755530926054,3614
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,outdoor_temp_ge_25_c,mean_operative_temp_c,warm_discomfort_probability,0.9658644987983435,3614
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,outdoor_temp_ge_25_c,mean_operative_temp_c,cold_discomfort_probability,-0.9590071976291866,3614
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,outdoor_temp_ge_25_c,zone_cooling_rate_w,discomfort_probability,0.267909565929127,3614
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,may_through_september,outdoor_temp_c,mean_operative_temp_c,0.3897487379530373,1853
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,may_through_september,mean_operative_temp_c,discomfort_probability,0.9891765186902665,1853
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,may_through_september,mean_operative_temp_c,warm_discomfort_probability,0.9924748951776889,1853
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,may_through_september,mean_operative_temp_c,cold_discomfort_probability,-0.9746281085596282,1853
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,may_through_september,zone_cooling_rate_w,discomfort_probability,0.1508556682526946,1853
ahmedabad_ssp245_late_2080s_hot_2081,all_occupied_hours,outdoor_temp_c,mean_operative_temp_c,0.5752520683691621,4437
ahmedabad_ssp245_late_2080s_hot_2081,all_occupied_hours,mean_operative_temp_c,discomfort_probability,0.9435974902259445,4437
ahmedabad_ssp245_late_2080s_hot_2081,all_occupied_hours,mean_operative_temp_c,warm_discomfort_probability,0.9548130113803814,4437
ahmedabad_ssp245_late_2080s_hot_2081,all_occupied_hours,mean_operative_temp_c,cold_discomfort_probability,-0.9414776056681429,4437
ahmedabad_ssp245_late_2080s_hot_2081,all_occupied_hours,zone_cooling_rate_w,discomfort_probability,0.41072393221506115,4437
ahmedabad_ssp245_late_2080s_hot_2081,outdoor_temp_ge_20_c,outdoor_temp_c,mean_operative_temp_c,0.4885066811286518,4088
ahmedabad_ssp245_late_2080s_hot_2081,outdoor_temp_ge_20_c,mean_operative_temp_c,discomfort_probability,0.9475282769205933,4088
ahmedabad_ssp245_late_2080s_hot_2081,outdoor_temp_ge_20_c,mean_operative_temp_c,warm_discomfort_probability,0.9598117830351981,4088
ahmedabad_ssp245_late_2080s_hot_2081,outdoor_temp_ge_20_c,mean_operative_temp_c,cold_discomfort_probability,-0.9495728576255051,4088
ahmedabad_ssp245_late_2080s_hot_2081,outdoor_temp_ge_20_c,zone_cooling_rate_w,discomfort_probability,0.3335107566041345,4088
ahmedabad_ssp245_late_2080s_hot_2081,outdoor_temp_ge_25_c,outdoor_temp_c,mean_operative_temp_c,0.3851777633871599,3614
ahmedabad_ssp245_late_2080s_hot_2081,outdoor_temp_ge_25_c,mean_operative_temp_c,discomfort_probability,0.9536755530926054,3614
ahmedabad_ssp245_late_2080s_hot_2081,outdoor_temp_ge_25_c,mean_operative_temp_c,warm_discomfort_probability,0.9658644987983435,3614
ahmedabad_ssp245_late_2080s_hot_2081,outdoor_temp_ge_25_c,mean_operative_temp_c,cold_discomfort_probability,-0.9590071976291866,3614
ahmedabad_ssp245_late_2080s_hot_2081,outdoor_temp_ge_25_c,zone_cooling_rate_w,discomfort_probability,0.267909565929127,3614
ahmedabad_ssp245_late_2080s_hot_2081,may_through_september,outdoor_temp_c,mean_operative_temp_c,0.3897487379530373,1853
ahmedabad_ssp245_late_2080s_hot_2081,may_through_september,mean_operative_temp_c,discomfort_probability,0.9891765186902665,1853
ahmedabad_ssp245_late_2080s_hot_2081,may_through_september,mean_operative_temp_c,warm_discomfort_probability,0.9924748951776889,1853
ahmedabad_ssp245_late_2080s_hot_2081,may_through_september,mean_operative_temp_c,cold_discomfort_probability,-0.9746281085596282,1853
ahmedabad_ssp245_late_2080s_hot_2081,may_through_september,zone_cooling_rate_w,discomfort_probability,0.1508556682526946,1853
ahmedabad_ssp245_late_2080s_typical_2086,all_occupied_hours,outdoor_temp_c,mean_operative_temp_c,0.6285357729901123,4437
