weather,analysis_state_sha256,floor,area_weighted_high_tail_pct,unweighted_zone_time_high_tail_pct,any_zone_within_floor_high_tail_pct,mean_p_tail_area_weighted,mean_warm_tail_area_weighted,mean_cold_tail_area_weighted,mean_expected_tsv_area_weighted
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,fb6d6335ff6678fe333abc3a6e5c05bff8b29b7c81c3f92a26cfe467e02670e3,middle,23.253963123830992,24.800047892720308,47.18630268199234,0.13561297951328422,0.10908147317460674,0.02653150633867749,0.34460159725007655
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,fb6d6335ff6678fe333abc3a6e5c05bff8b29b7c81c3f92a26cfe467e02670e3,top,20.81600508713186,22.549090038314176,41.906130268199234,0.12743888571432394,0.09992813652789491,0.02751074918642902,0.3113093331551687
ahmedabad_ssp245_mid_2050s_hot_2059,fb6d6335ff6678fe333abc3a6e5c05bff8b29b7c81c3f92a26cfe467e02670e3,bottom,18.508151754941906,22.57662835249042,53.54406130268199,0.12560811460167615,0.09793816340448198,0.027669951197194155,0.3126495257198214
ahmedabad_ssp245_mid_2050s_hot_2059,fb6d6335ff6678fe333abc3a6e5c05bff8b29b7c81c3f92a26cfe467e02670e3,middle,23.253963123830992,24.800047892720308,47.18630268199234,0.13561297951328422,0.10908147317460674,0.02653150633867749,0.34460159725007655
ahmedabad_ssp245_mid_2050s_hot_2059,fb6d6335ff6678fe333abc3a6e5c05bff8b29b7c81c3f92a26cfe467e02670e3,top,20.81600508713186,22.549090038314176,41.906130268199234,0.12743888571432394,0.09992813652789491,0.02751074918642902,0.3113093331551687
ahmedabad_ssp245_mid_2050s_typical_2058,14764b81667bcb7b4cfa1d3386da1ab8feb0fde78546892e0da8f8bcc130f59c,bottom,8.571425418778471,12.138409961685824,41.95402298850575,0.10148370302081655,0.0721414428466188,0.02934226017419773,0.239894569958848
ahmedabad_ssp245_mid_2050s_typical_2058,14764b81667bcb7b4cfa1d3386da1ab8feb0fde78546892e0da8f8bcc130f59c,middle,12.166548380388415,14.195402298850574,36.07519157088122,0.10781455263688812,0.0796480609432816,0.028166491693606514,0.2613601875575597
ahmedabad_ssp245_mid_2050s_typical_2058,14764b81667bcb7b4cfa1d3386da1ab8feb0fde78546892e0da8f8bcc130f59c,top,10.067280306186268,12.092911877394636,30.62140804597701,0.10035279399465462,0.07104526168077856,0.02930753231387606,0.2300441087159835
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,6efe6eca3f3ac504d6d33de946f3048d2957eede94e1946fd3c3e7be4c65a86d,bottom,11.05309717379974,14.668342911877394,45.40229885057471,0.10665602908544561,0.07787247167538722,0.02878355741005839,0.24958652057965414
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,6efe6eca3f3ac504d6d33de946f3048d2957eede94e1946fd3c3e7be4c65a86d,middle,15.557277846966755,17.194683908045977,39.002634099616856,0.1149569712986794,0.08712681267789674,0.027830158620782676,0.27537822701635384
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,6efe6eca3f3ac504d6d33de946f3048d2957eede94e1946fd3c3e7be4c65a86d,top,13.176199463004465,14.858716475095784,32.56704980842912,0.10710091675594678,0.07808163016253769,0.029019286593409074,0.24231445981051095
ahmedabad_ssp245_near_2030s_hot_2034,6efe6eca3f3ac504d6d33de946f3048d2957eede94e1946fd3c3e7be4c65a86d,bottom,11.05309717379974,14.668342911877394,45.40229885057471,0.10665602908544561,0.07787247167538722,0.02878355741005839,0.24958652057965414
ahmedabad_ssp245_near_2030s_hot_2034,6efe6eca3f3ac504d6d33de946f3048d2957eede94e1946fd3c3e7be4c65a86d,middle,15.557277846966755,17.194683908045977,39.002634099616856,0.1149569712986794,0.08712681267789674,0.027830158620782676,0.27537822701635384
ahmedabad_ssp245_near_2030s_hot_2034,6efe6eca3f3ac504d6d33de946f3048d2957eede94e1946fd3c3e7be4c65a86d,top,13.176199463004465,14.858716475095784,32.56704980842912,0.10710091675594678,0.07808163016253769,0.029019286593409074,0.24231445981051095
ahmedabad_ssp245_near_2030s_typical_2032,cfb16e95b84f46ca8126be0b92e7563c97a93a373a228d3388dc116b98f75b9f,bottom,7.687109537332898,11.154214559386972,40.08022030651341,0.10044226831693054,0.07150696745158734,0.02893530086534316,0.2383406351691749
