weather,city,scenario_raw,time_slice,severity,weather_year,bottom_area_weighted_high_tail_pct,bottom_unweighted_high_tail_pct,bottom_any_zone_high_tail_pct,middle_area_weighted_high_tail_pct,middle_unweighted_high_tail_pct,middle_any_zone_high_tail_pct,top_area_weighted_high_tail_pct,top_unweighted_high_tail_pct,top_any_zone_high_tail_pct,P1_bottom_high_tail_pct,P1_middle_high_tail_pct,P1_top_high_tail_pct,P2_bottom_high_tail_pct,P2_middle_high_tail_pct,P2_top_high_tail_pct,P3_bottom_high_tail_pct,P3_middle_high_tail_pct,P3_top_high_tail_pct,P4_bottom_high_tail_pct,P4_middle_high_tail_pct,P4_top_high_tail_pct
ahmedabad_ssp585_near_2030s_hot_2037,Ahmedabad,ssp585,near_2030s,hot,2037,10.675534515438247,14.601293103448276,46.21647509578544,14.945487370554144,16.708572796934863,38.92480842911878,12.712015327908354,14.647988505747126,33.099856321839084,45.45617816091954,36.991139846743295,31.26197318007663,8.435105363984674,10.859674329501916,10.9375,7.902298850574713,14.87667624521073,12.697557471264368,6.417624521072797,9.18941570881226,8.776340996168583
ahmedabad_ssp585_near_2030s_typical_2031,Ahmedabad,ssp585,near_2030s,typical,2031,12.439472800102472,15.720785440613028,40.32567049808429,17.625490077552797,19.07088122605364,37.559865900383144,14.445455863210041,16.08477011494253,31.13026819923372,39.673132183908045,35.428639846743295,28.903256704980844,10.65014367816092,14.00263409961686,13.284243295019158,11.817528735632184,18.75,15.888409961685824,8.926005747126437,12.350335249042145,10.584291187739463
beijing_ssp245_baseline_2020s_heatwave_extreme_2025,Beijing,ssp245,baseline_2020s,heatwave_extreme,2025,3.394020427486847,3.447078544061303,7.38146551724138,4.299446597169925,4.603687739463601,9.129549808429118,3.6929197332507586,4.067289272030651,7.614942528735632,5.926724137931035,7.704741379310345,6.53735632183908,2.544300766283525,3.3465038314176243,3.466235632183908,3.484195402298851,5.591475095785441,4.6515804597701145,2.1611590038314175,2.7298850574712645,2.616139846743295
beijing_ssp245_baseline_2020s_hot_2025,Beijing,ssp245,baseline_2020s,hot,2025,3.394020427486847,3.447078544061303,7.38146551724138,4.299446597169925,4.603687739463601,9.129549808429118,3.6929197332507586,4.067289272030651,7.614942528735632,5.926724137931035,7.704741379310345,6.53735632183908,2.544300766283525,3.3465038314176243,3.466235632183908,3.484195402298851,5.591475095785441,4.6515804597701145,2.1611590038314175,2.7298850574712645,2.616139846743295
beijing_ssp245_baseline_2020s_typical_2026,Beijing,ssp245,baseline_2020s,typical,2026,0.44134675386139227,0.40229885057471265,1.5565134099616857,1.2383880058930832,1.5792624521072798,5.73515325670498,1.1901416913136544,1.453544061302682,4.633620689655173,1.155411877394636,5.112547892720307,4.130747126436781,0.19157088122605362,0.4789272030651341,0.6824712643678161,0.17959770114942528,1.3888888888888888,1.329022988505747,0.05387931034482758,0.29932950191570884,0.4130747126436782
beijing_ssp245_late_2080s_heatwave_extreme_2084,Beijing,ssp245,late_2080s,heatwave_extreme,2084,10.027059489349337,10.0,14.858716475095784,10.803960647481503,11.066810344827587,15.277777777777779,10.147383990394477,10.42624521072797,13.601532567049809,12.547892720306514,13.433908045977011,12.051005747126437,8.698515325670499,9.782088122605364,9.901819923371647,10.416666666666668,12.122844827586206,11.33860153256705,8.548850574712644,9.746168582375478,9.183429118773946
beijing_ssp245_late_2080s_hot_2084,Beijing,ssp245,late_2080s,hot,2084,10.027059489349337,10.0,14.858716475095784,10.803960647481503,11.066810344827587,15.277777777777779,10.147383990394477,10.42624521072797,13.601532567049809,12.547892720306514,13.433908045977011,12.051005747126437,8.698515325670499,9.782088122605364,9.901819923371647,10.416666666666668,12.122844827586206,11.33860153256705,8.548850574712644,9.746168582375478,9.183429118773946
beijing_ssp245_late_2080s_typical_2083,Beijing,ssp245,late_2080s,typical,2083,10.058344706026777,10.294540229885058,16.750478927203066,11.118681936148514,11.392480842911876,16.624760536398465,9.661268214679538,10.214319923371647,14.613266283524903,13.709291187739463,14.499521072796934,12.667624521072796,8.339319923371647,9.500718390804598,9.482758620689655,11.488266283524904,13.038793103448276,11.59602490421456,8.512931034482758,9.48874521072797,8.530890804597702
beijing_ssp245_mid_2050s_heatwave_extreme_2050,Beijing,ssp245,mid_2050s,heatwave_extreme,2050,7.32893284990331,7.7155172413793105,13.691331417624522,8.257577319434814,8.684147509578544,13.84698275862069,7.4366880460383795,7.859195402298851,11.500239463601533,11.721743295019158,11.901340996168583,9.925766283524904,6.004549808429119,6.890565134099617,7.130028735632184,8.267480842911876,10.27897509578544,8.896072796934867,6.028496168582375,6.926484674329501,6.585249042145594
beijing_ssp245_mid_2050s_hot_2050,Beijing,ssp245,mid_2050s,hot,2050,7.32893284990331,7.7155172413793105,13.691331417624522,8.257577319434814,8.684147509578544,13.84698275862069,7.4366880460383795,7.859195402298851,11.500239463601533,11.721743295019158,11.901340996168583,9.925766283524904,6.004549808429119,6.890565134099617,7.130028735632184,8.267480842911876,10.27897509578544,8.896072796934867,6.028496168582375,6.926484674329501,6.585249042145594
beijing_ssp245_mid_2050s_typical_2056,Beijing,ssp245,mid_2050s,typical,2056,3.660538767249863,3.596743295019157,8.698515325670499,4.017182479855314,4.412116858237548,9.979645593869732,3.592344638498885,3.9691091954022992,8.279454022988505,6.453544061302682,8.399185823754788,7.1479885057471275,2.310823754789272,2.8017241379310347,3.059147509578544,3.7954980842911876,5.0826149425287355,4.100814176245211,1.9755747126436782,2.550287356321839,2.5981800766283527
beijing_ssp245_near_2030s_heatwave_extreme_2039,Beijing,ssp245,near_2030s,heatwave_extreme,2039,0.6227878747200978,0.38912835249042144,1.6403256704980842,1.1897248689487125,1.5601053639846743,6.4894636015325675,0.9063976617470049,1.2176724137931034,4.669540229885057,0.814176245210728,5.711206896551724,4.0888409961685825,0.13170498084291188,0.40110153256704983,0.5328065134099617,0.101772030651341,0.8321360153256706,0.7662835249042145,0.06585249042145594,0.3232758620689655,0.305316091954023
