case,err,severe_lines,fatal_lines,warmup_convergence_lines,summary_warnings,summary_severe,completed_successfully,summary
phoenix_ssp245_mid_2050s_typical_2054,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp245_mid_2050s_typical_2054/diagnostic_reference/eplusout.err,0,0,0,20299,0,True,************* EnergyPlus Completed Successfully-- 20299 Warning; 0 Severe Errors; Elapsed Time=00hr 01min  1.12sec
phoenix_ssp245_near_2030s_heatwave_extreme_2039,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp245_near_2030s_heatwave_extreme_2039/diagnostic_reference/eplusout.err,0,0,0,21338,0,True,************* EnergyPlus Completed Successfully-- 21338 Warning; 0 Severe Errors; Elapsed Time=00hr 01min  3.93sec
phoenix_ssp245_near_2030s_hot_2039,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp245_near_2030s_hot_2039/diagnostic_reference/eplusout.err,0,0,0,21338,0,True,************* EnergyPlus Completed Successfully-- 21338 Warning; 0 Severe Errors; Elapsed Time=00hr 01min 10.01sec
phoenix_ssp245_near_2030s_typical_2034,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp245_near_2030s_typical_2034/diagnostic_reference/eplusout.err,0,0,0,20806,0,True,************* EnergyPlus Completed Successfully-- 20806 Warning; 0 Severe Errors; Elapsed Time=00hr 01min 10.89sec
phoenix_ssp585_baseline_2020s_heatwave_extreme_2025,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp585_baseline_2020s_heatwave_extreme_2025/diagnostic_reference/eplusout.err,0,0,0,20863,0,True,************* EnergyPlus Completed Successfully-- 20863 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 57.84sec
phoenix_ssp585_baseline_2020s_hot_2025,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp585_baseline_2020s_hot_2025/diagnostic_reference/eplusout.err,0,0,0,20863,0,True,************* EnergyPlus Completed Successfully-- 20863 Warning; 0 Severe Errors; Elapsed Time=00hr 01min  0.65sec
phoenix_ssp585_baseline_2020s_typical_2029,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp585_baseline_2020s_typical_2029/diagnostic_reference/eplusout.err,0,0,0,20092,0,True,************* EnergyPlus Completed Successfully-- 20092 Warning; 0 Severe Errors; Elapsed Time=00hr 01min  4.96sec
phoenix_ssp585_late_2080s_heatwave_extreme_2085,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp585_late_2080s_heatwave_extreme_2085/diagnostic_reference/eplusout.err,0,0,0,20683,0,True,************* EnergyPlus Completed Successfully-- 20683 Warning; 0 Severe Errors; Elapsed Time=00hr 01min 11.78sec
phoenix_ssp585_late_2080s_hot_2089,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp585_late_2080s_hot_2089/diagnostic_reference/eplusout.err,0,0,0,20528,0,True,************* EnergyPlus Completed Successfully-- 20528 Warning; 0 Severe Errors; Elapsed Time=00hr 01min  9.88sec
phoenix_ssp585_late_2080s_typical_2081,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp585_late_2080s_typical_2081/diagnostic_reference/eplusout.err,0,0,0,20285,0,True,************* EnergyPlus Completed Successfully-- 20285 Warning; 0 Severe Errors; Elapsed Time=00hr 01min  6.78sec
phoenix_ssp585_mid_2050s_heatwave_extreme_2057,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp585_mid_2050s_heatwave_extreme_2057/diagnostic_reference/eplusout.err,0,0,0,21582,0,True,************* EnergyPlus Completed Successfully-- 21582 Warning; 0 Severe Errors; Elapsed Time=00hr 01min  6.26sec
phoenix_ssp585_mid_2050s_hot_2057,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp585_mid_2050s_hot_2057/diagnostic_reference/eplusout.err,0,0,0,21582,0,True,************* EnergyPlus Completed Successfully-- 21582 Warning; 0 Severe Errors; Elapsed Time=00hr 01min  3.81sec
phoenix_ssp585_mid_2050s_typical_2050,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp585_mid_2050s_typical_2050/diagnostic_reference/eplusout.err,2,0,2,28354,2,True,************* EnergyPlus Completed Successfully-- 28354 Warning; 2 Severe Errors; Elapsed Time=00hr 01min  2.37sec
phoenix_ssp585_near_2030s_heatwave_extreme_2033,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp585_near_2030s_heatwave_extreme_2033/diagnostic_reference/eplusout.err,0,0,0,20233,0,True,************* EnergyPlus Completed Successfully-- 20233 Warning; 0 Severe Errors; Elapsed Time=00hr 01min 19.82sec
phoenix_ssp585_near_2030s_hot_2033,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp585_near_2030s_hot_2033/diagnostic_reference/eplusout.err,0,0,0,20233,0,True,************* EnergyPlus Completed Successfully-- 20233 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 58.84sec
phoenix_ssp585_near_2030s_typical_2034,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp585_near_2030s_typical_2034/diagnostic_reference/eplusout.err,0,0,0,20618,0,True,************* EnergyPlus Completed Successfully-- 20618 Warning; 0 Severe Errors; Elapsed Time=00hr 01min  2.71sec
